coin,tf,signal,lev,mode,beat_cnt,total_periods,avg_ret,min_ret,max_dd_avg,avg_trades,bear_2026q1_ret,bear_2025q4_ret,bull_2025q3_ret,bull_2025q2_ret,bear_2025q1_ret,bull_2024h2_ret,bear_2024h1_ret,bull_2023_ret
XRP,4h,ema5/20,3,L+S,5,8,33.07,-293.12,123.84,54.2,28.34,3.81,16.06,10.99,15.65,646.34,-163.54,-293.12
ETH,4h,c>ema100,2,L,5,8,32.92,-72.63,32.42,21.6,-28.7,-17.74,62.41,85.29,-72.63,86.38,98.54,49.79
BTC,1d,c>ema100,3,L+S,5,8,32.8,-33.18,39.95,6.8,58.66,-0.46,-3.29,49.42,-33.18,47.46,82.61,61.21
ETH,4h,st3.0,3,L,5,8,32.55,-138.26,62.03,10.1,-52.43,-44.54,174.9,63.36,-138.26,59.22,103.06,95.05
BTC,1d,ema20/100,2,L,5,8,32.35,-22.05,1.99,1.2,0.0,-8.69,17.97,20.82,-22.05,55.85,75.38,119.53
BTC,1d,ema50/200,2,L+S,5,8,31.92,-36.66,1.17,1.5,52.93,-36.66,17.97,45.36,-25.76,97.24,83.53,20.74
ETH,1d,st3.0,3,L,5,8,31.53,-99.18,26.87,2.1,-27.03,-99.18,169.16,112.23,0.0,-68.88,81.67,84.29
BTC,1d,c>ema200,2,L,5,8,30.91,-45.47,11.28,3.5,0.0,-27.39,17.97,41.68,-45.47,56.13,83.53,120.83
ETH,2h,st4.0,3,L+S,5,8,30.0,-99.79,79.11,25.1,67.41,79.66,145.96,-30.14,-98.49,124.06,51.35,-99.79
BTC,1d,st2.0,2,L,5,8,29.77,-56.36,14.23,3.2,-11.89,-8.01,-15.93,37.35,-56.36,70.34,72.75,149.91
ETH,1d,ema10/30,2,L,5,8,29.58,-46.67,17.19,2.8,-12.54,-46.67,135.56,81.04,-17.34,-23.09,26.28,93.36
BTC,2h,ema20/50,2,L,5,8,29.06,-65.44,31.41,16.6,-65.44,-4.66,-3.97,35.67,-54.35,53.04,87.64,184.56
ETH,1d,macd26/52,2,L+S,5,8,28.98,-80.89,33.94,5.6,21.51,67.5,21.94,44.75,50.74,23.29,-80.89,83.03
ETH,1d,st4.0,2,L,5,8,28.89,-30.93,4.89,1.6,-30.93,-28.99,86.78,28.79,-8.72,33.87,42.25,108.09
ETH,1d,ema5/20,2,L+S,5,8,28.67,-38.25,51.45,7.8,14.32,-15.2,113.7,92.59,53.83,-24.28,-38.25,32.64
BTC,2h,c>ema100,3,L,5,8,28.09,-72.13,56.29,45.2,-72.13,-17.56,-27.37,31.88,-56.36,88.48,61.42,216.33
ETH,1d,ema10/30,2,L+S,5,8,27.66,-52.18,43.49,5.8,34.82,-19.9,109.46,92.03,56.13,-52.18,-39.97,40.91
BTC,1d,c>ema200,3,L+S,5,8,27.52,-99.22,39.01,6.8,79.4,-13.99,26.95,56.37,-99.22,12.34,125.29,33.05
ETH,4h,c>ema200,1,L,5,8,25.7,-14.53,9.07,11.2,-7.64,-10.04,73.25,37.91,-14.53,36.19,33.07,57.39
ETH,1h,ema50/200,3,L+S,5,8,25.05,-140.15,90.15,22.2,7.57,73.89,39.69,103.81,-140.15,61.59,93.87,-39.87
ETH,2h,st4.0,2,L,5,8,23.85,-89.74,33.18,12.5,-13.61,-13.51,121.84,27.78,-89.74,44.92,71.04,42.04
ETH,2h,ema10/30,2,L,5,8,23.71,-97.47,45.36,30.6,-43.6,-12.38,82.1,42.84,-97.47,31.3,121.85,65.01
XRP,2h,st2.0,2,L+S,5,8,23.65,-241.51,98.63,65.2,40.07,-7.25,46.62,-48.59,107.35,405.11,-112.63,-241.51
ETH,4h,st2.0,3,L+S,5,8,23.6,-113.14,110.63,34.0,2.25,86.13,168.8,-85.69,-97.68,140.3,87.82,-113.14
ETH,4h,ema50/200,2,L+S,5,8,23.34,-51.37,47.77,6.0,31.76,-21.59,105.49,80.02,51.75,-51.37,-43.99,34.64
XRP,1d,ema10/30,2,L+S,5,8,22.74,-243.22,61.27,6.0,-9.78,8.5,21.41,-50.64,27.96,411.88,15.8,-243.22
ETH,2h,ema50/200,2,L,5,8,22.67,-54.54,25.55,5.2,-21.2,-54.54,81.83,81.87,-24.2,-15.44,58.48,74.53
ETH,1d,c>ema200,2,L,5,8,22.63,-40.96,6.63,2.5,-2.48,-40.96,133.82,-4.51,-25.48,0.23,91.62,28.81
ETH,1d,st2.0,2,L,5,8,22.38,-45.23,20.44,3.5,-45.23,-44.5,37.19,87.6,-15.44,8.8,52.21,98.42
ETH,1h,st4.0,3,L,5,8,22.22,-131.76,75.5,24.8,-29.41,-11.69,209.29,6.36,-131.76,23.29,50.32,61.37
BTC,1d,ema5/20,2,L+S,5,8,22.17,-44.59,36.84,8.2,33.04,-10.61,-44.59,52.48,-34.08,56.26,59.87,65.0
ETH,4h,ema20/50,3,L+S,5,8,22.17,-123.33,95.17,17.4,60.47,63.56,3.18,145.97,-123.33,27.19,97.93,-97.62
XRP,4h,ema5/20,2,L+S,5,8,22.04,-195.42,82.56,54.2,18.89,2.54,10.7,7.32,10.43,430.89,-109.03,-195.42
BTC,1d,st2.0,3,L+S,5,8,21.92,-135.85,57.11,7.2,40.05,42.33,-76.6,45.17,-135.85,62.66,88.76,108.84
ETH,2h,ema20/100,3,L+S,5,8,21.6,-112.17,95.41,25.8,21.31,56.28,38.21,58.14,-112.17,105.99,100.88,-95.84
ETH,1d,st3.0,2,L,5,8,21.02,-66.12,17.91,2.1,-18.02,-66.12,112.77,74.82,0.0,-45.92,54.45,56.2
ETH,2h,st3.0,3,L,5,8,19.55,-117.58,64.91,19.1,-24.93,-14.33,160.69,4.04,-117.58,55.49,70.72,22.26
ETH,4h,c>ema100,1,L+S,5,8,18.38,-22.89,24.39,43.6,3.02,22.62,-6.88,45.88,-17.76,81.65,41.41,-22.89
BTC,1d,c>ema200,2,L+S,5,8,18.35,-66.14,26.01,6.8,52.93,-9.33,17.97,37.58,-66.14,8.23,83.53,22.04
ETH,1h,ema50/200,2,L+S,5,8,16.7,-93.43,60.1,22.2,5.05,49.26,26.46,69.21,-93.43,41.06,62.58,-26.58
ETH,2h,c>ema200,1,L+S,5,8,16.56,-15.87,26.25,55.5,1.45,15.98,-0.06,47.26,-15.14,72.15,26.7,-15.87
ETH,4h,st2.0,2,L+S,5,8,15.73,-75.42,73.75,34.0,1.5,57.42,112.54,-57.13,-65.12,93.53,58.55,-75.42
ETH,1d,st2.0,2,L+S,5,8,15.34,-63.69,42.82,7.1,-26.16,-15.2,-63.69,102.9,58.53,10.18,8.91,47.27
ETH,2h,c>ema200,1,L,5,8,15.32,-35.61,17.42,27.6,-15.58,-12.05,34.95,43.1,-35.61,38.29,41.09,28.36
ETH,1d,ema5/20,1,L,5,8,14.96,-22.25,10.24,3.8,-11.38,-22.25,66.35,40.69,-9.2,-3.87,13.4,45.98
ETH,1d,ema10/30,1,L,5,8,14.79,-23.34,8.59,2.8,-6.27,-23.34,67.78,40.52,-8.67,-11.54,13.14,46.68
ETH,4h,ema20/50,2,L+S,5,8,14.78,-82.22,63.45,17.4,40.31,42.38,2.12,97.31,-82.22,18.12,65.29,-65.08
ETH,1d,ema20/50,1,L,5,8,14.34,-12.05,3.3,1.8,-10.29,-12.05,81.18,-2.25,-6.8,0.72,16.67,47.56
ETH,4h,ema50/200,1,L,5,8,13.96,-24.88,9.83,2.9,-7.45,-24.88,67.3,39.11,-9.93,-11.94,13.61,45.89
ETH,4h,ema20/100,1,L,5,8,13.62,-23.47,13.16,6.0,-10.9,-23.47,35.71,40.68,-13.52,5.63,39.93,34.9
ETH,1d,ema20/50,1,L+S,5,8,13.51,-38.02,13.98,3.5,7.8,12.78,81.18,-38.02,35.0,-1.55,-10.76,21.61
ETH,4h,ema20/100,1,L+S,5,8,13.36,-7.42,26.99,12.2,9.0,-7.42,4.0,42.69,27.91,10.92,24.87,-5.06
ETH,2h,st3.0,2,L,5,8,13.03,-78.38,43.27,19.1,-16.62,-9.55,107.13,2.7,-78.38,37.0,47.15,14.84
ETH,1d,c>ema200,1,L,5,8,11.32,-20.48,3.32,2.5,-1.24,-20.48,66.91,-2.25,-12.74,0.12,45.81,14.4
ETH,1d,st2.0,1,L,5,8,11.19,-22.61,10.22,3.5,-22.61,-22.25,18.6,43.8,-7.72,4.4,26.11,49.21
ETH,1d,c>ema100,1,L+S,5,8,10.29,-26.82,19.22,7.8,22.2,-26.82,75.82,-1.65,-4.06,19.92,-22.02,18.93
ETH,2h,ema10/30,1,L+S,5,8,9.05,-41.9,33.02,61.5,-9.08,26.53,9.63,2.11,-41.9,26.26,69.41,-10.56
ETH,1d,st2.0,1,L+S,5,8,7.67,-31.85,21.41,7.1,-13.08,-7.6,-31.85,51.45,29.26,5.09,4.46,23.63
ETH,1h,st4.0,1,L,5,8,7.41,-43.92,25.17,24.8,-9.8,-3.9,69.76,2.12,-43.92,7.76,16.77,20.46
ETH,4h,ema20/50,1,L+S,5,8,7.39,-41.11,31.73,17.4,20.16,21.19,1.06,48.66,-41.11,9.06,32.64,-32.54
ETH,2h,ema5/20,3,L+S,5,8,5.53,-153.06,121.27,106.8,44.51,-2.76,145.09,-55.29,9.12,103.0,-46.41,-153.06
ETH,2h,ema5/20,2,L+S,5,8,3.68,-102.04,80.84,106.8,29.67,-1.84,96.73,-36.86,6.08,68.67,-30.94,-102.04
ETH,1h,st4.0,1,L+S,5,8,0.07,-36.96,43.83,50.1,13.83,30.62,67.98,-36.96,-31.98,6.91,-15.19,-34.67
ETH,2h,st3.0,2,L+S,5,8,-1.6,-120.45,78.88,38.9,36.17,57.57,71.32,-76.32,-43.65,65.62,-3.07,-120.45
XRP,1h,st4.0,3,L+S,5,8,-2.11,-569.82,161.97,47.9,37.47,55.87,40.71,-123.9,30.92,644.15,-132.29,-569.82
XRP,1h,st3.0,3,L+S,5,8,-5.53,-568.82,168.51,70.6,42.32,-15.73,51.53,-124.4,171.21,561.6,-161.92,-568.82
XRP,1h,ema10/30,2,L+S,5,8,-10.44,-273.22,120.99,129.8,-12.22,-7.17,89.36,-150.53,66.7,344.24,-140.67,-273.22
XRP,1h,ema10/30,3,L+S,5,8,-15.66,-409.83,181.48,129.8,-18.33,-10.75,134.04,-225.8,100.06,516.36,-211.01,-409.83
SOL,1d,ema5/20,3,L,4,8,164.29,-90.09,36.14,4.5,-15.26,-90.09,117.17,64.51,-73.95,-18.37,13.39,1316.91
SOL,1d,c>ema50,3,L+S,4,8,160.27,-65.86,80.72,12.0,75.22,-65.86,35.33,2.01,96.82,39.06,21.12,1078.46
SOL,1d,st2.0,3,L,4,8,156.16,-159.04,43.81,3.6,-81.74,-78.77,140.69,53.85,-159.04,-60.81,79.19,1355.87
SOL,4h,ema10/30,3,L,4,8,128.01,-86.06,59.03,14.5,-86.06,-49.53,47.34,94.21,-26.13,71.69,96.08,876.46
SOL,2h,ema10/30,3,L,4,8,124.0,-86.25,70.1,27.5,-86.25,-46.98,54.2,0.2,3.94,95.27,111.06,860.58
SOL,1d,macd12/26,3,L,4,8,123.2,-111.32,56.17,5.8,-25.33,-111.32,45.23,34.37,-89.1,97.22,167.96,866.55
SOL,2h,ema10/30,3,L+S,4,8,118.75,-78.97,105.44,55.1,-49.45,65.49,-36.42,-78.97,110.3,79.58,81.5,777.99
SOL,1d,ema20/100,3,L,4,8,118.64,-69.86,10.99,1.6,0.0,-69.86,117.67,-29.41,-0.28,-16.07,66.21,880.89
SOL,1d,st3.0,2,L,4,8,115.84,-38.56,5.96,1.9,-22.03,-18.25,29.94,23.46,-38.56,68.07,53.91,830.17
XRP,1d,macd12/26,3,L,4,8,114.83,-124.21,63.72,5.2,-29.52,-117.39,113.23,1.86,-124.21,999.53,-44.39,119.54
SOL,1h,ema20/50,3,L,4,8,114.64,-80.14,78.83,31.1,-80.14,-64.94,71.48,-2.21,-2.7,127.21,95.55,772.83
SOL,1d,st2.0,3,L+S,4,8,114.28,-226.41,102.5,7.4,-50.39,-12.37,139.79,39.34,-219.17,-226.41,34.32,1209.14
SOL,4h,ema10/30,3,L+S,4,8,113.8,-63.53,95.14,29.2,-63.53,71.07,-53.52,106.21,52.1,35.19,28.36,734.51
SOL,4h,ema20/100,2,L,4,8,113.44,-45.53,23.76,5.8,0.97,-45.53,52.21,45.75,-22.89,9.09,68.06,799.83
SOL,2h,st3.0,3,L,4,8,113.19,-62.59,70.97,19.8,-39.16,-62.59,117.33,-20.04,-33.0,47.5,-2.33,897.83
SOL,1d,st3.0,2,L+S,4,8,110.75,-34.48,30.18,4.0,30.59,56.38,-34.48,2.32,-5.42,73.86,35.74,727.01
XRP,2h,ema20/50,3,L+S,4,8,110.32,-189.79,98.6,33.6,-14.47,88.76,-44.61,7.92,-48.27,1004.73,-189.79,78.28
SOL,4h,st2.0,3,L,4,8,109.95,-79.33,79.38,17.9,-70.22,-79.33,72.48,-21.42,-19.48,74.35,55.47,867.79
SOL,4h,ema20/50,3,L+S,4,8,107.49,-38.16,79.11,18.0,-38.16,21.94,-0.22,100.15,42.49,22.37,-0.73,712.1
SOL,1h,ema20/50,3,L+S,4,8,107.06,-83.99,106.42,62.4,-36.92,28.41,-0.27,-83.99,94.43,138.32,42.66,673.81
SOL,4h,ema20/100,2,L+S,4,8,102.48,-49.36,44.17,11.9,75.14,14.69,8.26,43.11,17.04,-49.36,31.7,679.29
SOL,2h,ema20/100,3,L+S,4,8,101.88,-96.05,86.08,24.2,-89.22,74.48,-96.05,46.41,-37.68,31.01,75.26,810.86
XRP,4h,ema20/100,3,L,4,8,101.71,-101.29,57.02,6.2,1.64,-101.29,68.33,-11.15,-74.62,865.99,-82.59,147.34
XRP,4h,st3.0,3,L,4,8,99.66,-196.76,73.7,9.4,-89.6,-68.29,97.35,6.63,-71.94,918.67,-196.76,201.2
XRP,1h,ema50/200,3,L,4,8,99.1,-113.21,59.89,10.5,-30.97,-70.68,48.17,0.93,-85.94,914.9,-113.21,129.6
XRP,2h,c>ema100,3,L,4,8,98.81,-166.89,78.64,48.6,-39.3,-36.37,81.37,-51.49,27.85,937.76,-166.89,37.56
SOL,2h,macd26/52,3,L+S,4,8,98.44,-104.29,111.74,61.5,-104.29,139.22,101.46,-49.79,168.04,22.23,106.34,404.34
XRP,2h,ema20/100,3,L+S,4,8,96.64,-153.72,90.9,24.5,59.25,-28.39,-2.28,11.88,-153.72,973.87,-124.92,37.47
SOL,1d,c>ema200,2,L,4,8,90.96,-95.92,13.14,3.1,0.0,-95.92,69.64,-10.41,-9.39,18.97,54.9,699.85
XRP,1d,st2.0,3,L,4,8,90.77,-79.64,36.41,2.8,-2.83,-14.94,61.2,2.93,-61.13,853.57,-33.01,-79.64
SOL,2h,ema20/50,3,L+S,4,8,89.9,-88.59,109.08,32.5,-71.58,69.32,-88.59,107.14,47.05,33.99,-83.1,705.0
XRP,4h,ema50/200,3,L,4,8,89.52,-46.43,23.6,3.1,-46.43,-33.31,86.01,-17.08,31.76,752.18,-17.61,-39.33
SOL,2h,c>ema200,2,L,4,8,88.9,-45.94,42.06,28.8,-25.21,-45.94,36.18,47.97,2.82,77.49,16.09,601.83
SOL,1h,st4.0,3,L,4,8,87.34,-71.99,83.8,25.5,-68.45,-71.99,53.32,-34.71,-16.76,30.43,66.3,740.57
SOL,4h,ema5/20,3,L+S,4,8,85.67,-106.49,119.34,49.2,-17.78,-12.58,-106.49,-52.33,44.7,58.83,-44.74,815.75
XRP,2h,ema20/50,2,L,4,8,85.55,-84.32,40.05,16.5,-45.6,-2.48,28.04,7.86,-7.48,674.78,-84.32,113.58
XRP,1d,macd12/26,3,L+S,4,8,83.59,-257.04,120.03,10.6,54.63,-146.72,103.26,-4.14,-257.04,972.39,-17.53,-36.16
SOL,2h,st3.0,3,L+S,4,8,83.48,-151.09,127.45,39.6,43.97,31.96,91.16,-119.42,37.29,-16.08,-151.09,750.06
XRP,4h,ema10/30,3,L+S,4,8,83.11,-218.0,103.91,31.1,-14.6,46.99,-37.08,34.49,-46.52,966.42,-218.0,-66.85
SOL,2h,ema10/30,2,L,4,8,82.67,-57.5,46.73,27.5,-57.5,-31.32,36.13,0.14,2.63,63.51,74.04,573.72
SOL,4h,ema20/50,2,L,4,8,82.2,-51.45,32.7,9.0,-51.45,-48.56,48.29,58.16,-20.8,42.07,50.8,579.07
SOL,2h,ema20/100,2,L,4,8,81.12,-69.18,35.69,12.0,-69.18,-29.11,16.37,41.61,-47.81,45.69,75.92,615.49
SOL,4h,c>ema100,2,L+S,4,8,81.04,-84.32,57.22,41.8,36.96,28.18,-10.37,18.15,70.81,81.68,-84.32,507.2
SOL,1h,ema50/200,2,L,4,8,80.46,-77.44,36.93,10.1,-77.44,-26.65,26.35,43.39,-59.89,34.38,81.64,621.92
SOL,1d,ema20/100,2,L,4,8,79.1,-46.57,7.33,1.6,0.0,-46.57,78.45,-19.61,-0.19,-10.71,44.14,587.26
SOL,1d,c>ema200,3,L+S,4,8,78.49,-141.11,46.7,6.2,114.98,-141.11,61.46,-106.6,82.8,-34.98,73.53,577.85
SOL,2h,ema20/50,2,L,4,8,77.51,-62.85,43.75,16.1,-62.85,-32.2,20.44,63.42,-19.07,47.39,19.7,583.25
SOL,1h,ema20/50,2,L,4,8,76.42,-53.43,52.56,31.1,-53.43,-43.29,47.65,-1.47,-1.8,84.81,63.7,515.22
SOL,1d,macd26/52,1,L+S,4,8,76.33,-30.49,20.86,4.8,8.32,26.93,16.43,23.36,-29.79,74.11,-30.49,521.79
SOL,1d,st2.0,2,L+S,4,8,76.19,-150.94,68.33,7.4,-33.59,-8.24,93.19,26.23,-146.11,-150.94,22.88,806.09
SOL,4h,st2.0,3,L+S,4,8,75.38,-120.25,127.33,36.0,-18.54,3.64,-0.41,-120.25,53.93,35.53,-41.49,690.61
SOL,1d,macd26/52,1,L,4,8,73.81,-29.42,5.87,2.4,-15.43,-9.87,31.42,23.36,-29.42,58.63,6.15,525.6
XRP,2h,ema20/50,2,L+S,4,8,73.55,-126.53,65.73,33.6,-9.64,59.18,-29.74,5.28,-32.18,669.82,-126.53,52.19
XRP,4h,macd26/52,3,L+S,4,8,73.27,-123.32,97.66,31.8,-27.33,116.06,-5.74,-75.06,199.92,240.68,-123.32,260.92
SOL,4h,macd12/26,3,L,4,8,72.51,-108.5,94.86,33.5,-108.5,1.82,120.6,4.23,-6.37,87.81,-56.03,536.53
SOL,4h,ema20/50,2,L+S,4,8,71.66,-25.44,52.74,18.0,-25.44,14.63,-0.14,66.76,28.32,14.92,-0.49,474.73
SOL,1h,ema20/50,2,L+S,4,8,71.37,-55.99,70.95,62.4,-24.61,18.94,-0.18,-55.99,62.95,92.21,28.44,449.21
XRP,2h,st2.0,3,L,4,8,70.07,-112.65,76.0,32.4,-25.9,-51.99,103.52,-25.59,97.43,637.8,-112.65,-62.03
XRP,4h,ema5/20,3,L,4,8,68.85,-111.51,67.18,26.8,-44.02,-45.14,73.83,13.74,21.13,668.93,-111.51,-26.12
XRP,2h,st4.0,3,L,4,8,68.14,-142.85,64.86,11.8,-69.95,-70.12,88.29,16.9,-12.19,572.96,-142.85,162.06
SOL,2h,ema20/100,2,L+S,4,8,67.92,-64.03,57.39,24.2,-59.48,49.65,-64.03,30.94,-25.12,20.67,50.18,540.58
XRP,4h,ema20/100,2,L,4,8,67.8,-67.53,38.01,6.2,1.09,-67.53,45.55,-7.44,-49.75,577.33,-55.06,98.22
XRP,4h,st3.0,2,L,4,8,66.44,-131.17,49.13,9.4,-59.73,-45.53,64.9,4.42,-47.96,612.45,-131.17,134.13
XRP,4h,c>ema50,3,L+S,4,8,65.67,-254.76,124.4,71.2,-10.09,-2.36,53.14,-97.55,-14.73,967.4,-254.76,-115.65
SOL,2h,macd26/52,2,L+S,4,8,65.63,-69.53,74.49,61.5,-69.53,92.81,67.64,-33.19,112.03,14.82,70.89,269.56
XRP,2h,ema20/100,2,L+S,4,8,64.43,-102.48,60.6,24.5,39.5,-18.93,-1.52,7.92,-102.48,649.25,-83.28,24.98
XRP,2h,macd12/26,3,L,4,8,62.02,-158.48,88.36,67.5,-82.31,-42.8,121.1,-24.09,114.94,458.26,-158.48,109.55
XRP,4h,ema20/50,3,L+S,4,8,59.61,-247.52,112.4,17.5,-8.64,-25.99,-1.76,-50.41,-247.52,900.85,-172.86,83.17
SOL,1d,st3.0,1,L,4,8,57.92,-19.28,2.98,1.9,-11.02,-9.13,14.97,11.73,-19.28,34.04,26.96,415.08
XRP,1d,st2.0,3,L+S,4,8,57.75,-429.36,90.07,6.2,102.56,58.08,3.37,0.17,-107.17,819.82,14.5,-429.36
SOL,4h,ema5/20,2,L+S,4,8,57.11,-70.99,79.56,49.2,-11.85,-8.39,-70.99,-34.89,29.8,39.22,-29.83,543.83
XRP,1d,macd12/26,2,L+S,4,8,55.72,-171.36,80.02,10.6,36.42,-97.81,68.84,-2.76,-171.36,648.26,-11.69,-24.1
SOL,2h,st3.0,2,L+S,4,8,55.65,-100.73,84.97,39.6,29.31,21.3,60.77,-79.61,24.86,-10.72,-100.73,500.04
XRP,4h,ema10/30,2,L+S,4,8,55.41,-145.33,69.27,31.1,-9.73,31.33,-24.72,22.99,-31.01,644.28,-145.33,-44.56
SOL,1d,st3.0,1,L+S,4,8,55.38,-17.24,15.09,4.0,15.3,28.19,-17.24,1.16,-2.71,36.93,17.87,363.5
BTC,4h,macd26/52,3,L+S,4,8,54.34,-55.04,49.04,30.4,-42.22,95.59,-55.04,-20.98,72.32,111.48,34.14,239.39
XRP,1d,ema50/200,3,L,4,8,54.02,-115.56,7.24,1.2,0.0,-68.62,116.46,4.58,-31.67,527.51,-115.56,-0.52
XRP,2h,c>ema100,3,L+S,4,8,51.81,-265.14,136.57,97.8,44.09,21.52,30.18,-120.35,34.4,848.56,-265.14,-178.81
XRP,4h,macd26/52,2,L+S,4,8,48.84,-82.21,65.11,31.8,-18.22,77.37,-3.83,-50.04,133.28,160.45,-82.21,173.95
XRP,1h,st3.0,3,L,4,8,48.57,-164.76,85.91,35.1,-32.97,-53.75,84.66,-50.62,99.41,618.0,-111.4,-164.76
SOL,4h,macd12/26,2,L,4,8,48.34,-72.33,63.24,33.5,-72.33,1.21,80.4,2.82,-4.25,58.54,-37.35,357.68
XRP,2h,st2.0,2,L,4,8,46.72,-75.1,50.67,32.4,-17.27,-34.66,69.01,-17.06,64.96,425.2,-75.1,-41.35
ETH,2h,c>ema200,3,L,4,8,45.96,-106.82,52.26,27.6,-46.75,-36.14,104.86,129.29,-106.82,114.87,123.26,85.08
SOL,1d,ema20/100,3,L+S,4,8,45.93,-140.15,67.94,3.2,114.98,7.48,80.71,-140.15,107.21,-128.1,38.95,286.34
XRP,2h,st4.0,2,L,4,8,45.43,-95.23,43.24,11.8,-46.63,-46.75,58.86,11.27,-8.13,381.97,-95.23,108.04
ETH,1d,ema5/20,3,L,4,8,44.9,-66.76,30.73,3.8,-34.13,-66.76,199.06,122.06,-27.59,-11.61,40.21,137.93
ETH,4h,macd12/26,3,L,4,8,44.74,-71.62,63.77,33.0,-49.87,-44.86,158.18,110.87,-71.62,107.16,37.88,110.16
XRP,2h,ema10/30,2,L,4,8,44.64,-77.25,46.08,31.6,-31.05,-45.27,76.88,-5.17,4.96,434.2,-77.25,-0.2
SOL,2h,c>ema200,1,L,4,8,44.45,-22.97,21.03,28.8,-12.61,-22.97,18.09,23.99,1.41,38.75,8.04,300.92
SOL,4h,c>ema100,1,L,4,8,43.88,-20.06,18.81,20.8,-9.59,-20.06,21.39,17.19,0.28,38.49,6.15,297.18
SOL,1h,ema10/30,2,L+S,4,8,43.7,-105.87,90.87,121.0,-14.28,-38.86,103.39,-105.87,-35.24,58.72,25.79,355.95
XRP,1d,ema5/20,3,L+S,4,8,43.04,-196.66,105.0,9.5,99.34,-14.15,-33.2,-36.69,-139.05,659.96,4.76,-196.66
SOL,4h,ema10/30,1,L,4,8,42.67,-28.69,19.67,14.5,-28.69,-16.51,15.78,31.4,-8.71,23.9,32.03,292.15
ETH,2h,macd26/52,3,L,4,8,42.26,-92.5,64.69,32.1,-59.2,-51.62,166.39,112.2,-92.5,114.36,29.28,119.2
SOL,2h,c>ema200,1,L+S,4,8,42.04,-38.04,31.9,57.8,13.31,7.96,-11.46,22.24,37.81,41.01,-38.04,263.45
ETH,1d,ema10/30,3,L+S,4,8,41.49,-78.27,65.24,5.8,52.23,-29.85,164.19,138.05,84.19,-78.27,-59.96,61.37
SOL,2h,ema10/30,1,L,4,8,41.34,-28.75,23.37,27.5,-28.75,-15.66,18.07,0.07,1.31,31.76,37.02,286.86
SOL,2h,st4.0,2,L+S,4,8,41.1,-137.84,76.83,27.1,48.8,-36.35,-40.4,-60.68,60.0,29.48,-137.84,465.81
SOL,4h,ema20/50,1,L,4,8,41.1,-25.72,16.35,9.0,-25.72,-24.28,24.15,29.08,-10.4,21.04,25.4,289.53
ETH,1d,ema20/50,3,L+S,4,8,40.52,-114.07,41.94,3.5,23.41,38.33,243.53,-114.07,104.99,-4.64,-32.27,64.84
SOL,4h,c>ema100,1,L+S,4,8,40.52,-42.16,28.61,41.8,18.48,14.09,-5.18,9.08,35.41,40.84,-42.16,253.6
SOL,2h,ema20/50,1,L,4,8,38.76,-31.43,21.88,16.1,-31.43,-16.1,10.22,31.71,-9.53,23.7,9.85,291.63
BTC,4h,st4.0,3,L,4,8,38.68,-33.4,32.83,7.2,-33.4,-17.23,-11.02,52.67,-32.32,37.92,63.99,248.83
XRP,1d,st2.0,2,L+S,4,8,38.49,-286.24,60.04,6.2,68.37,38.72,2.24,0.11,-71.45,546.54,9.67,-286.24
SOL,1h,ema20/50,1,L,4,8,38.21,-26.71,26.28,31.1,-26.71,-21.65,23.83,-0.74,-0.9,42.4,31.85,257.61
BTC,4h,c>ema200,3,L+S,4,8,38.09,-43.53,48.1,28.0,68.11,42.09,-43.53,12.38,-36.33,-7.91,79.82,190.07
SOL,4h,ema10/30,1,L+S,4,8,37.93,-21.18,31.71,29.2,-21.18,23.69,-17.84,35.4,17.37,11.73,9.45,244.84
BTC,2h,ema50/200,3,L+S,4,8,37.85,-39.0,55.98,10.1,30.57,-14.31,-39.0,56.54,-35.02,157.68,1.11,145.2
XRP,2h,ema5/20,2,L,4,8,37.68,-73.82,60.66,54.8,-31.23,-59.07,99.05,-54.34,41.66,393.76,-73.82,-14.59
BTC,4h,macd26/52,2,L+S,4,8,36.22,-36.7,32.69,30.4,-28.15,63.72,-36.7,-13.99,48.21,74.32,22.76,159.59
XRP,2h,st4.0,3,L+S,4,8,35.89,-221.31,98.41,23.6,-13.34,-44.28,42.14,18.1,-42.62,482.17,-221.31,66.29
SOL,4h,ema20/50,1,L+S,4,8,35.83,-12.72,26.37,18.0,-12.72,7.31,-0.07,33.38,14.16,7.46,-0.24,237.37
SOL,1h,ema20/50,1,L+S,4,8,35.68,-28.0,35.47,62.4,-12.31,9.47,-0.09,-28.0,31.48,46.11,14.22,224.6
XRP,1h,ema20/50,2,L,4,8,35.48,-88.79,44.14,34.6,-29.31,-49.42,79.08,-18.39,18.57,376.58,-88.79,-4.5
ETH,1d,c>ema50,3,L,4,8,35.39,-67.46,38.6,6.1,-45.36,-67.46,212.23,43.18,-34.71,-15.51,14.54,176.24
ETH,4h,ema50/200,3,L+S,4,8,35.01,-77.05,71.66,6.0,47.64,-32.38,158.24,120.03,77.62,-77.05,-65.98,51.95
SOL,2h,ema5/20,1,L,4,8,34.94,-33.67,31.94,50.1,-29.36,-33.67,47.59,-15.16,-18.35,54.32,37.34,236.85
ETH,4h,st4.0,2,L+S,4,8,34.74,-105.34,50.11,13.6,44.15,58.25,53.37,110.66,-105.34,137.08,13.71,-33.93
