coin,tf,signal,lev,mode,beat_cnt,total_periods,avg_ret,min_ret,max_dd_avg,avg_trades,bear_2026q1_ret,bear_2025q4_ret,bull_2025q3_ret,bull_2025q2_ret,bear_2025q1_ret,bull_2024h2_ret,bear_2024h1_ret,bull_2023_ret
XRP,1d,macd26/52,2,L+S,6,8,49.77,-221.37,57.1,5.8,49.75,48.4,52.45,7.31,-63.19,432.12,92.69,-221.37
BTC,1d,c>ema100,3,L,6,8,48.04,-36.23,15.89,3.4,-4.63,-33.68,11.62,58.17,-36.23,98.44,100.53,190.11
ETH,4h,st4.0,3,L,6,8,48.0,-164.06,56.12,6.9,-18.81,-16.33,146.34,144.89,-164.06,114.75,89.85,87.38
ETH,4h,macd12/26,3,L+S,6,8,47.71,-72.92,90.33,66.2,5.89,26.87,112.55,105.65,20.48,185.79,-72.92,-2.62
BTC,2h,ema20/100,3,L,6,8,47.38,-73.21,35.26,11.2,-44.15,-13.12,7.28,63.19,-73.21,70.34,135.29,233.46
BTC,1d,c>ema200,3,L,6,8,46.37,-68.2,16.92,3.5,0.0,-41.08,26.95,62.53,-68.2,84.2,125.29,181.25
BTC,2h,c>ema200,3,L+S,6,8,45.59,-37.45,60.62,53.5,-17.83,64.7,-33.8,30.81,-37.45,101.58,77.71,178.97
BTC,1d,st2.0,3,L,6,8,44.65,-84.54,21.34,3.2,-17.84,-12.02,-23.89,56.02,-84.54,105.5,109.13,224.86
BTC,4h,ema50/200,2,L+S,6,8,44.39,-7.64,20.28,5.0,29.97,7.6,-7.64,44.11,-4.36,44.78,71.81,168.85
ETH,2h,macd26/52,3,L+S,6,8,44.11,-81.93,89.51,64.5,-9.66,14.14,128.44,106.84,-22.25,202.64,-81.93,14.64
ETH,1d,macd26/52,3,L+S,6,8,43.47,-121.34,50.91,5.6,32.26,101.26,32.91,67.12,76.1,34.93,-121.34,124.54
ETH,1d,st4.0,3,L,6,8,43.34,-46.4,7.33,1.6,-46.4,-43.48,130.18,43.18,-13.07,50.8,63.37,162.14
ETH,1d,ema20/50,3,L,6,8,43.03,-36.14,9.91,1.8,-30.88,-36.14,243.53,-6.76,-20.4,2.17,50.02,142.67
BTC,1d,ema10/30,2,L,6,8,42.9,-21.06,5.2,2.4,-9.4,-21.06,4.07,45.31,-19.95,68.44,78.48,197.3
ETH,4h,ema20/100,3,L+S,6,8,40.09,-22.26,80.98,12.2,27.0,-22.26,11.99,128.07,83.73,32.75,74.62,-15.18
BTC,1d,st4.0,3,L,6,8,39.2,-32.28,8.68,1.6,-32.28,-20.64,7.33,35.38,-19.32,97.76,59.76,185.57
BTC,4h,ema20/100,2,L,6,8,38.05,-21.64,14.89,4.8,-16.14,-21.64,2.92,42.41,-20.41,101.69,45.25,170.35
BTC,1d,c>ema50,2,L+S,6,8,37.77,-18.91,24.97,9.9,8.81,21.68,-18.91,32.95,3.12,27.0,62.14,165.34
XRP,4h,ema50/200,2,L+S,6,8,37.22,-223.27,54.4,6.5,10.54,16.45,39.83,-30.9,40.3,419.89,24.93,-223.27
ETH,4h,c>ema100,2,L+S,6,8,36.76,-45.77,48.77,43.6,6.03,45.25,-13.76,91.75,-35.52,163.3,82.82,-45.77
BTC,4h,c>ema100,2,L+S,6,8,36.31,-23.17,38.96,39.5,-4.38,34.98,-23.17,32.79,-7.04,70.42,46.12,140.78
BTC,1d,macd12/26,3,L,6,8,36.21,-56.92,23.15,5.8,-25.16,-49.33,21.68,37.52,-56.92,92.05,73.18,196.67
ETH,2h,st4.0,3,L,6,8,35.77,-134.61,49.77,12.5,-20.42,-20.27,182.77,41.68,-134.61,67.38,106.56,63.06
ETH,2h,ema10/30,3,L,6,8,35.56,-146.2,68.05,30.6,-65.41,-18.56,123.14,64.26,-146.2,46.95,182.78,97.52
ETH,2h,ema50/200,3,L,6,8,34.0,-81.81,38.33,5.2,-31.8,-81.81,122.75,122.8,-36.3,-23.15,87.72,111.8
ETH,2h,c>ema200,2,L+S,6,8,33.12,-31.75,52.52,55.5,2.9,31.96,-0.11,94.53,-30.28,144.3,53.41,-31.75
ETH,4h,macd26/52,2,L,6,8,33.02,-82.09,37.86,15.5,-25.58,-20.97,66.16,48.3,-82.09,52.07,93.4,132.85
BTC,1d,c>ema100,2,L,6,8,32.03,-24.15,10.6,3.4,-3.09,-22.46,7.75,38.78,-24.15,65.62,67.02,126.74
ETH,4h,st4.0,2,L,6,8,32.0,-109.37,37.41,6.9,-12.54,-10.89,97.56,96.59,-109.37,76.5,59.9,58.25
ETH,4h,macd12/26,2,L+S,6,8,31.81,-48.62,60.22,66.2,3.93,17.91,75.04,70.43,13.65,123.86,-48.62,-1.74
ETH,2h,c>ema200,2,L,6,8,30.64,-71.22,34.84,27.6,-31.17,-24.09,69.91,86.2,-71.22,76.58,82.17,56.72
ETH,2h,macd26/52,2,L+S,6,8,29.41,-54.62,59.67,64.5,-6.44,9.43,85.63,71.22,-14.83,135.09,-54.62,9.76
ETH,1d,ema20/50,2,L,6,8,28.68,-24.09,6.6,1.8,-20.59,-24.09,162.35,-4.51,-13.6,1.45,33.34,95.11
ETH,4h,ema20/100,2,L,6,8,27.24,-46.94,26.32,6.0,-21.81,-46.94,71.42,81.36,-27.03,11.25,79.85,69.8
ETH,4h,ema20/100,2,L+S,6,8,26.73,-14.84,53.99,12.2,18.0,-14.84,7.99,85.38,55.82,21.83,49.75,-10.12
ETH,1h,ema20/50,3,L,6,8,24.08,-170.51,74.03,34.5,-70.5,-18.03,94.75,46.09,-170.51,72.73,115.44,122.67
ETH,1h,ema50/200,2,L,6,8,22.93,-101.83,35.61,11.0,-28.98,-16.74,85.28,73.76,-101.83,23.9,87.94,60.08
ETH,4h,ema20/50,2,L,6,8,22.73,-96.79,36.19,8.6,-12.31,-19.4,73.15,90.98,-96.79,13.18,91.45,41.62
ETH,1d,c>ema200,3,L+S,6,8,22.31,-132.76,31.28,4.8,65.85,-10.84,159.11,-114.07,69.0,4.76,137.44,-132.76
ETH,4h,ema10/30,3,L,6,8,21.45,-178.97,66.45,16.1,-65.02,-27.89,126.84,48.46,-178.97,17.17,130.32,120.71
ETH,2h,ema20/100,2,L,6,8,21.3,-92.01,37.68,12.8,-28.07,-22.76,85.92,57.34,-92.01,37.53,91.41,41.04
ETH,4h,c>ema100,1,L,6,8,16.46,-36.31,16.21,21.6,-14.35,-8.87,31.21,42.64,-36.31,43.19,49.27,24.9
ETH,1d,c>ema200,2,L+S,6,8,14.87,-88.51,20.86,4.8,43.9,-7.23,106.07,-76.05,46.0,3.17,91.62,-88.51
SOL,1d,macd26/52,3,L+S,5,8,229.0,-91.47,62.57,4.8,24.96,80.79,49.28,70.09,-89.36,222.33,-91.47,1565.38
SOL,1d,macd26/52,3,L,5,8,221.42,-88.25,17.6,2.4,-46.29,-29.61,94.27,70.09,-88.25,175.9,18.44,1576.81
SOL,2h,ema50/200,3,L,5,8,171.58,-88.45,35.21,5.5,-7.02,-88.45,123.41,70.86,-42.95,-6.51,67.22,1256.11
SOL,4h,st4.0,3,L,5,8,164.75,-71.13,39.14,5.8,-48.51,-71.13,33.72,109.3,-14.42,72.78,259.72,976.52
SOL,1d,ema10/30,3,L,5,8,155.77,-100.47,32.12,2.8,-27.31,-100.47,117.31,35.19,-86.45,61.53,17.04,1229.31
SOL,1d,macd26/52,2,L+S,5,8,152.67,-60.98,41.71,4.8,16.64,53.86,32.86,46.72,-59.57,148.22,-60.98,1043.59
SOL,4h,ema50/200,3,L,5,8,145.23,-116.61,33.07,3.0,-25.52,-116.61,119.88,37.75,-76.82,40.67,29.52,1153.01
SOL,1d,c>ema200,3,L,5,8,136.43,-143.88,19.72,3.1,0.0,-143.88,104.45,-15.62,-14.09,28.46,82.35,1049.77
SOL,2h,c>ema200,3,L,5,8,133.36,-68.91,63.09,28.8,-37.82,-68.91,54.27,71.96,4.23,116.24,24.13,902.75
SOL,4h,c>ema100,3,L,5,8,131.64,-60.18,56.43,20.8,-28.77,-60.18,64.16,51.57,0.85,115.47,18.46,891.54
SOL,1d,ema5/20,3,L+S,5,8,130.85,-137.05,97.94,9.5,84.54,-37.05,92.73,59.15,-45.81,-137.05,-114.62,1144.94
XRP,2h,ema20/50,3,L,5,8,128.32,-126.48,60.07,16.5,-68.39,-3.72,42.05,11.79,-11.22,1012.17,-126.48,170.37
SOL,2h,c>ema200,3,L+S,5,8,126.11,-114.12,95.69,57.8,39.93,23.88,-34.39,66.73,113.44,123.04,-114.12,790.34
SOL,4h,c>ema200,2,L,5,8,124.62,-50.97,31.73,14.4,1.92,-50.97,54.29,48.72,12.17,49.91,39.28,841.61
SOL,4h,st4.0,2,L+S,5,8,124.19,-53.82,38.36,11.5,11.31,16.51,-53.82,91.08,48.92,27.01,231.68,620.81
SOL,4h,ema20/50,3,L,5,8,123.3,-77.17,49.05,9.0,-77.17,-72.84,72.44,87.24,-31.21,63.11,76.21,868.6
SOL,2h,ema20/100,3,L,5,8,121.69,-103.77,53.53,12.0,-103.77,-43.66,24.55,62.42,-71.72,68.54,113.89,923.23
SOL,4h,c>ema100,3,L+S,5,8,121.56,-126.48,85.83,41.8,55.44,42.27,-15.55,27.23,106.22,122.52,-126.48,760.8
SOL,1h,ema50/200,3,L,5,8,120.69,-116.16,55.39,10.1,-116.16,-39.98,39.53,65.08,-89.83,51.56,122.46,932.89
SOL,1d,c>ema50,2,L,5,8,120.23,-69.3,24.39,5.8,-9.31,-69.3,61.71,23.05,0.41,47.21,55.69,852.36
SOL,4h,c>ema200,2,L+S,5,8,120.07,-25.04,55.32,29.1,76.29,1.63,8.97,47.67,88.6,31.1,-25.04,731.36
XRP,2h,ema20/100,3,L,5,8,115.16,-97.61,57.45,12.0,-29.83,-63.59,60.85,13.63,-62.32,964.78,-97.61,135.39
SOL,2h,ema50/200,2,L,5,8,114.39,-58.97,23.48,5.5,-4.68,-58.97,82.27,47.24,-28.63,-4.34,44.81,837.41
XRP,4h,ema10/30,3,L,5,8,111.17,-139.94,59.32,15.2,-66.84,-25.49,46.42,24.4,-9.98,974.87,-139.94,85.9
SOL,4h,st4.0,2,L,5,8,109.83,-47.42,26.09,5.8,-32.34,-47.42,22.48,72.86,-9.62,48.52,173.15,651.02
SOL,2h,macd26/52,3,L,5,8,109.65,-117.32,78.88,30.8,-117.32,-8.93,123.92,16.78,38.09,71.76,128.95,623.93
SOL,2h,ema50/200,2,L+S,5,8,101.78,-73.16,48.89,11.5,67.87,-13.09,67.13,43.38,5.94,-73.16,-14.66,730.83
SOL,4h,c>ema100,2,L,5,8,87.76,-40.12,37.62,20.8,-19.18,-40.12,42.77,34.38,0.57,76.98,12.3,594.36
SOL,2h,ema5/20,3,L+S,5,8,87.44,-178.3,124.64,100.4,-43.0,-43.64,141.15,-178.3,-16.45,207.64,75.09,557.01
SOL,1d,ema5/20,2,L+S,5,8,87.23,-91.37,65.3,9.5,56.36,-24.7,61.82,39.43,-30.54,-91.37,-76.41,763.29
