coin,tf,signal,lev,mode,period,bh_ret,ret,beat_bh,n_trades,win_rate,max_dd
BTC,1h,macd12/26,3,L+S,bull_2017h2,221.87,-152.95,False,262,0.317,286.98
BTC,1h,macd26/52,1,L,bull_2017h2,221.87,96.64,False,57,0.474,30.57
BTC,1h,macd26/52,1,L+S,bull_2017h2,221.87,54.39,False,114,0.404,43.4
BTC,1h,macd26/52,2,L,bull_2017h2,221.87,193.29,False,57,0.474,61.14
BTC,1h,macd26/52,2,L+S,bull_2017h2,221.87,108.78,False,114,0.404,86.8
BTC,1h,macd26/52,3,L,bull_2017h2,221.87,289.93,True,57,0.474,91.71
BTC,1h,macd26/52,3,L+S,bull_2017h2,221.87,163.18,False,114,0.404,130.2
BTC,1h,st2.0,1,L,bull_2017h2,221.87,114.8,False,52,0.538,16.46
BTC,1h,st2.0,1,L+S,bull_2017h2,221.87,89.21,False,103,0.417,29.99
BTC,1h,st2.0,2,L,bull_2017h2,221.87,229.6,True,52,0.538,32.93
BTC,1h,st2.0,2,L+S,bull_2017h2,221.87,178.43,False,103,0.417,59.97
BTC,1h,st2.0,3,L,bull_2017h2,221.87,344.4,True,52,0.538,49.39
BTC,1h,st2.0,3,L+S,bull_2017h2,221.87,267.64,True,103,0.417,89.96
BTC,1h,st3.0,1,L,bull_2017h2,221.87,143.95,False,27,0.593,4.34
BTC,1h,st3.0,1,L+S,bull_2017h2,221.87,148.3,False,53,0.509,19.43
BTC,1h,st3.0,2,L,bull_2017h2,221.87,287.89,True,27,0.593,8.67
BTC,1h,st3.0,2,L+S,bull_2017h2,221.87,296.59,True,53,0.509,38.86
BTC,1h,st3.0,3,L,bull_2017h2,221.87,431.84,True,27,0.593,13.01
BTC,1h,st3.0,3,L+S,bull_2017h2,221.87,444.89,True,53,0.509,58.28
BTC,1h,ema10/30,1,L,bear_2018,-73.0,-11.3,True,140,0.243,38.39
BTC,1h,ema10/30,1,L+S,bear_2018,-73.0,75.56,True,280,0.268,46.84
BTC,1h,ema10/30,2,L,bear_2018,-73.0,-22.61,True,140,0.243,76.79
BTC,1h,ema10/30,2,L+S,bear_2018,-73.0,151.11,True,280,0.268,93.69
BTC,1h,ema10/30,3,L,bear_2018,-73.0,-33.91,True,140,0.243,115.18
BTC,1h,ema10/30,3,L+S,bear_2018,-73.0,226.67,True,280,0.268,140.53
BTC,1h,ema20/50,1,L,bear_2018,-73.0,21.17,True,76,0.263,29.69
BTC,1h,ema20/50,1,L+S,bear_2018,-73.0,137.18,True,152,0.336,30.34
BTC,1h,ema20/50,2,L,bear_2018,-73.0,42.35,True,76,0.263,59.38
BTC,1h,ema20/50,2,L+S,bear_2018,-73.0,274.37,True,152,0.336,60.68
BTC,1h,ema20/50,3,L,bear_2018,-73.0,63.52,True,76,0.263,89.07
BTC,1h,ema20/50,3,L+S,bear_2018,-73.0,411.55,True,152,0.336,91.02
BTC,1h,ema20/100,1,L,bear_2018,-73.0,-7.79,True,54,0.204,37.02
BTC,1h,ema20/100,1,L+S,bear_2018,-73.0,79.47,True,109,0.275,33.57
BTC,1h,ema20/100,2,L,bear_2018,-73.0,-15.59,True,54,0.204,74.05
BTC,1h,ema20/100,2,L+S,bear_2018,-73.0,158.94,True,109,0.275,67.15
BTC,1h,ema20/100,3,L,bear_2018,-73.0,-23.38,True,54,0.204,111.07
BTC,1h,ema20/100,3,L+S,bear_2018,-73.0,238.4,True,109,0.275,100.72
BTC,1h,ema50/200,1,L,bear_2018,-73.0,-22.58,True,25,0.2,33.92
BTC,1h,ema50/200,1,L+S,bear_2018,-73.0,52.59,True,51,0.314,67.03
BTC,1h,ema50/200,2,L,bear_2018,-73.0,-45.17,True,25,0.2,67.85
BTC,1h,ema50/200,2,L+S,bear_2018,-73.0,105.18,True,51,0.314,134.05
BTC,1h,ema50/200,3,L,bear_2018,-73.0,-67.75,True,25,0.2,101.77
BTC,1h,ema50/200,3,L+S,bear_2018,-73.0,157.78,True,51,0.314,201.08
BTC,1h,ema5/20,1,L,bear_2018,-73.0,-114.29,False,261,0.199,127.01
BTC,1h,ema5/20,1,L+S,bear_2018,-73.0,-128.66,False,522,0.232,144.46
BTC,1h,ema5/20,2,L,bear_2018,-73.0,-228.59,False,261,0.199,254.02
BTC,1h,ema5/20,2,L+S,bear_2018,-73.0,-257.32,False,522,0.232,288.92
BTC,1h,ema5/20,3,L,bear_2018,-73.0,-342.88,False,261,0.199,381.02
BTC,1h,ema5/20,3,L+S,bear_2018,-73.0,-385.98,False,522,0.232,433.39
BTC,1h,ema10/50,1,L,bear_2018,-73.0,7.39,True,99,0.253,26.89
BTC,1h,ema10/50,1,L+S,bear_2018,-73.0,109.32,True,198,0.293,22.88
BTC,1h,ema10/50,2,L,bear_2018,-73.0,14.78,True,99,0.253,53.78
BTC,1h,ema10/50,2,L+S,bear_2018,-73.0,218.64,True,198,0.293,45.76
BTC,1h,ema10/50,3,L,bear_2018,-73.0,22.17,True,99,0.253,80.67
BTC,1h,ema10/50,3,L+S,bear_2018,-73.0,327.95,True,198,0.293,68.63
BTC,1h,c>ema50,1,L,bear_2018,-73.0,-121.34,False,343,0.149,139.94
BTC,1h,c>ema50,1,L+S,bear_2018,-73.0,-144.64,False,686,0.152,163.41
