coin,tf,signal,lev,mode,period,bh_ret,ret,beat_bh,n_trades,win_rate,max_dd
ETH,1h,macd12/26,3,L+S,bull_2017h2,143.74,-12.51,False,254,0.339,165.26
ETH,1h,macd26/52,1,L,bull_2017h2,143.74,40.79,False,63,0.381,32.73
ETH,1h,macd26/52,1,L+S,bull_2017h2,143.74,-36.35,False,126,0.31,75.6
ETH,1h,macd26/52,2,L,bull_2017h2,143.74,81.59,False,63,0.381,65.45
ETH,1h,macd26/52,2,L+S,bull_2017h2,143.74,-72.71,False,126,0.31,151.2
ETH,1h,macd26/52,3,L,bull_2017h2,143.74,122.38,False,63,0.381,98.18
ETH,1h,macd26/52,3,L+S,bull_2017h2,143.74,-109.06,False,126,0.31,226.8
ETH,1h,st2.0,1,L,bull_2017h2,143.74,57.41,False,56,0.464,37.21
ETH,1h,st2.0,1,L+S,bull_2017h2,143.74,-1.21,False,111,0.405,62.95
ETH,1h,st2.0,2,L,bull_2017h2,143.74,114.83,False,56,0.464,74.42
ETH,1h,st2.0,2,L+S,bull_2017h2,143.74,-2.41,False,111,0.405,125.89
ETH,1h,st2.0,3,L,bull_2017h2,143.74,172.24,True,56,0.464,111.62
ETH,1h,st2.0,3,L+S,bull_2017h2,143.74,-3.62,False,111,0.405,188.84
ETH,1h,st3.0,1,L,bull_2017h2,143.74,-27.59,False,34,0.382,80.61
ETH,1h,st3.0,1,L+S,bull_2017h2,143.74,-228.78,False,68,0.324,249.6
ETH,1h,st3.0,2,L,bull_2017h2,143.74,-55.17,False,34,0.382,161.23
ETH,1h,st3.0,2,L+S,bull_2017h2,143.74,-457.56,False,68,0.324,499.19
ETH,1h,st3.0,3,L,bull_2017h2,143.74,-82.76,False,34,0.382,241.84
ETH,1h,st3.0,3,L+S,bull_2017h2,143.74,-686.33,False,68,0.324,748.79
ETH,1h,ema10/30,1,L,bear_2018,-82.07,22.43,True,136,0.279,71.3
ETH,1h,ema10/30,1,L+S,bear_2018,-82.07,154.03,True,272,0.301,43.23
ETH,1h,ema10/30,2,L,bear_2018,-82.07,44.86,True,136,0.279,142.6
