coin,tf,long_filter,short_filter,params,positive,beat_bh,n_periods,avg_ret,min_ret,avg_sharpe,total_trades,recent_3m_ret,recent_3m_wr,recent_3m_tr,recent_3m_long,recent_3m_sht,bear_2025q4_ret,bear_2025q4_wr,bear_2025q4_tr,bear_2025q4_long,bear_2025q4_sht,bull_2025q3_ret,bull_2025q3_wr,bull_2025q3_tr,bull_2025q3_long,bull_2025q3_sht,bull_2024h2_ret,bull_2024h2_wr,bull_2024h2_tr,bull_2024h2_long,bull_2024h2_sht,bear_2024h1_ret,bear_2024h1_wr,bear_2024h1_tr,bear_2024h1_long,bear_2024h1_sht,bull_2023_ret,bull_2023_wr,bull_2023_tr,bull_2023_long,bull_2023_sht
BTC,1h,Z-Score낮음,RSI과매수,TP6SL2,4,2,6,-0.78,-13.42,-0.228,186,-13.22,30.8,13.0,5.0,8.0,10.83,61.5,13.0,2.0,11.0,1.68,50.0,20.0,7.0,13.0,-13.42,32.1,28,13,15,5.23,38.9,36,16,20,4.19,47.4,76,26,50
ETH,1h,Z-Score낮음,Z+거래량,TP3SL1,4,2,5,-3.81,-26.43,-0.277,133,1.0,30.0,10.0,7.0,3.0,,,,,,3.63,37.5,16.0,13.0,3.0,2.57,32.0,25,16,9,0.2,27.8,18,16,2,-26.43,20.3,64,52,12
BTC,4h,Z+거래량,기본,TP6SL2,4,2,6,-4.58,-43.2,-0.288,141,15.78,50.0,12.0,0.0,12.0,16.55,50.0,14.0,1.0,13.0,0.12,36.4,11.0,0.0,11.0,-43.2,9.4,32,2,30,0.31,30.0,30,0,30,-17.03,28.6,42,0,42
BTC,1h,EMA200위+RSI,RSI과매수,TP5SL2,4,2,6,-0.25,-24.21,-0.354,149,-2.99,44.4,9.0,1.0,8.0,13.2,72.7,11.0,0.0,11.0,0.28,52.9,17.0,3.0,14.0,-24.21,15.8,19,4,15,9.9,44.8,29,8,21,2.3,48.4,64,9,55
BTC,1h,RSI과매도,RSI과매수,TP6SL2,4,2,6,-2.62,-22.45,-0.358,221,-16.85,30.0,20.0,14.0,6.0,8.22,52.4,21.0,12.0,9.0,0.88,52.2,23.0,12.0,11.0,-22.45,25.0,32,18,14,13.83,40.5,42,22,20,0.64,48.2,83,31,52
BTC,1h,RSI+깊은피보,RSI과매수,TP6SL2,4,2,6,-0.3,-17.62,-0.36,180,-17.62,21.4,14.0,8.0,6.0,6.81,53.3,15.0,6.0,9.0,1.61,52.4,21.0,8.0,13.0,-12.52,26.9,26,13,13,18.16,45.9,37,17,20,1.75,52.2,67,14,53
BTC,4h,RSI+거래량,기본,TP6SL2,4,2,6,-5.63,-45.3,-0.362,144,15.78,50.0,12.0,0.0,12.0,14.45,46.7,15.0,2.0,13.0,0.12,36.4,11.0,0.0,11.0,-45.3,9.1,33,3,30,0.31,30.0,30,0,30,-19.13,27.9,43,1,42
BTC,1h,RSI+거래량,RSI+깊은피보,TP3SL1,4,2,6,-1.36,-14.1,-0.367,162,-5.85,21.4,14.0,7.0,7.0,1.49,44.4,9.0,4.0,5.0,0.61,31.6,19.0,7.0,12.0,-14.1,19.2,26,8,18,6.2,31.6,38,13,25,3.46,35.7,56,16,40
BTC,4h,RSI+깊은피보,기본,TP6SL2,4,2,6,-7.73,-55.8,-0.484,152,13.68,46.2,13.0,1.0,12.0,8.55,42.9,14.0,2.0,12.0,4.3,45.5,11.0,1.0,10.0,-55.8,7.9,38,8,30,0.31,30.0,30,0,30,-17.43,28.3,46,6,40
BTC,1h,Z+거래량,RSI+깊은피보,TP5SL2,4,1,5,2.58,-8.3,0.098,110,-8.3,12.5,8.0,2.0,6.0,,,,,,2.61,57.1,14.0,3.0,11.0,4.53,45.0,20,8,12,10.34,50.0,22,4,18,3.74,52.2,46,13,33
BTC,1h,Z+거래량,RSI+깊은피보,TP6SL2,4,1,5,3.06,-10.14,-0.029,110,-10.14,12.5,8.0,2.0,6.0,,,,,,2.61,57.1,14.0,3.0,11.0,3.29,45.0,20,8,12,14.34,50.0,22,4,18,5.2,52.2,46,13,33
BTC,1h,Z+거래량,RSI+거래량,TP4SL1,4,0,4,6.45,3.71,0.676,77,,,,,,,,,,,3.71,50.0,8.0,3.0,5.0,4.16,41.2,17,9,8,6.95,46.2,13,4,9,10.97,43.6,39,13,26
