iteration,coin,timeframe,strategy,trend_filter,tp_pct,sl_pct,signal_count,total_trades,win_rate,total_return,avg_return,max_drawdown,sharpe_ratio
iter3_tp40sl15,BTC,15m,candle_pattern,True,0.04,0.015,449,91,31.87,-169.54,-1.86,168.3,-2.6461
iter3_tp40sl15,BTC,1h,rsi_oversold,True,0.04,0.015,1,1,0.0,-8.0,-8.0,0.0,0.0
iter3_tp40sl15,BTC,1h,macd_cross,True,0.04,0.015,29,18,22.22,-57.83,-3.21,55.55,-1.7199
iter3_tp40sl15,BTC,1h,ema_cross,True,0.04,0.015,17,13,23.08,-48.13,-3.7,40.13,-1.545
iter3_tp40sl15,BTC,1h,bollinger_bounce,True,0.04,0.015,7,5,20.0,-7.37,-1.47,18.87,-0.3088
iter3_tp40sl15,BTC,1h,support_bounce,True,0.04,0.015,47,14,21.43,-44.18,-3.16,42.87,-1.4465
iter3_tp40sl15,BTC,1h,candle_pattern,True,0.04,0.015,77,23,21.74,-79.13,-3.44,71.13,-2.146
iter3_tp40sl15,BTC,4h,macd_cross,True,0.04,0.015,1,1,100.0,19.5,19.5,0.0,0.0
iter3_tp40sl15,BTC,4h,ema_cross,True,0.04,0.015,1,1,0.0,-8.0,-8.0,0.0,0.0
iter3_tp40sl15,BTC,4h,bollinger_bounce,True,0.04,0.015,1,1,0.0,-8.0,-8.0,0.0,0.0
iter3_tp40sl15,BTC,4h,support_bounce,True,0.04,0.015,4,3,33.33,3.5,1.17,8.0,0.1559
iter3_tp40sl15,BTC,4h,candle_pattern,True,0.04,0.015,17,5,20.0,-12.5,-2.5,24.0,-0.5082
iter3_tp40sl15,ETH,5m,rsi_oversold,True,0.04,0.015,40,24,45.83,-22.99,-0.96,35.67,-1.1651
iter3_tp40sl15,ETH,5m,macd_cross,True,0.04,0.015,496,218,42.66,-80.61,-0.37,168.3,-0.8806
iter3_tp40sl15,ETH,5m,ema_cross,True,0.04,0.015,324,190,41.05,-147.78,-0.78,158.32,-1.8238
iter3_tp40sl15,ETH,5m,bollinger_bounce,True,0.04,0.015,204,120,40.0,-131.76,-1.1,152.08,-1.9729
iter3_tp40sl15,ETH,5m,support_bounce,True,0.04,0.015,2945,275,41.82,-162.92,-0.59,225.68,-1.6796
iter3_tp40sl15,ETH,5m,candle_pattern,True,0.04,0.015,1599,301,40.2,-215.38,-0.72,304.71,-2.0818
iter3_tp40sl15,ETH,15m,rsi_oversold,True,0.04,0.015,16,7,42.86,-13.71,-1.96,16.0,-0.7284
iter3_tp40sl15,ETH,15m,macd_cross,True,0.04,0.015,149,65,46.15,-13.21,-0.2,37.79,-0.2164
iter3_tp40sl15,ETH,15m,ema_cross,True,0.04,0.015,99,55,36.36,-70.62,-1.28,91.47,-1.4261
iter3_tp40sl15,ETH,15m,bollinger_bounce,True,0.04,0.015,58,35,51.43,-28.53,-0.82,51.91,-0.8023
iter3_tp40sl15,ETH,15m,support_bounce,True,0.04,0.015,485,76,46.05,-104.57,-1.38,97.38,-1.6765
iter3_tp40sl15,ETH,15m,candle_pattern,True,0.04,0.015,476,97,36.08,-114.48,-1.18,125.9,-1.4843
iter3_tp40sl15,ETH,1h,rsi_oversold,True,0.04,0.015,3,2,0.0,-16.0,-8.0,8.0,0.0
iter3_tp40sl15,ETH,1h,macd_cross,True,0.04,0.015,26,18,16.67,-67.99,-3.78,59.99,-1.7821
iter3_tp40sl15,ETH,1h,ema_cross,True,0.04,0.015,8,7,28.57,-20.16,-2.88,24.0,-0.7954
iter3_tp40sl15,ETH,1h,bollinger_bounce,True,0.04,0.015,6,6,16.67,-30.65,-5.11,22.65,-1.9348
iter3_tp40sl15,ETH,1h,support_bounce,True,0.04,0.015,28,14,28.57,-12.15,-0.87,35.15,-0.2818
iter3_tp40sl15,ETH,1h,candle_pattern,True,0.04,0.015,77,28,17.86,-106.46,-3.8,100.76,-2.2852
iter3_tp40sl15,ETH,4h,macd_cross,True,0.04,0.015,1,1,100.0,19.5,19.5,0.0,0.0
iter3_tp40sl15,ETH,4h,ema_cross,True,0.04,0.015,2,2,50.0,11.5,5.75,0.0,0.5914
iter3_tp40sl15,ETH,4h,bollinger_bounce,True,0.04,0.015,1,1,0.0,-8.0,-8.0,0.0,0.0
iter3_tp40sl15,ETH,4h,support_bounce,True,0.04,0.015,3,3,0.0,-24.0,-8.0,16.0,0.0
iter3_tp40sl15,ETH,4h,candle_pattern,True,0.04,0.015,12,5,40.0,15.0,3.0,16.0,0.4979
iter3_tp50sl20,BTC,5m,rsi_oversold,True,0.05,0.02,34,15,60.0,-1.55,-0.1,18.73,-0.104
iter3_tp50sl20,BTC,5m,macd_cross,True,0.05,0.02,489,210,36.67,-130.57,-0.62,168.11,-1.7754
iter3_tp50sl20,BTC,5m,ema_cross,True,0.05,0.02,292,155,39.35,-138.19,-0.89,147.15,-2.6448
iter3_tp50sl20,BTC,5m,bollinger_bounce,True,0.05,0.02,219,115,40.0,-81.46,-0.71,116.85,-1.5336
iter3_tp50sl20,BTC,5m,support_bounce,True,0.05,0.02,3427,265,35.09,-247.67,-0.93,286.38,-3.424
iter3_tp50sl20,BTC,5m,candle_pattern,True,0.05,0.02,1665,273,35.9,-244.93,-0.9,272.95,-3.0948
iter3_tp50sl20,BTC,15m,rsi_oversold,True,0.05,0.02,2,2,50.0,-2.0,-1.0,0.0,-0.3229
iter3_tp50sl20,BTC,15m,macd_cross,True,0.05,0.02,138,66,37.88,-139.04,-2.11,131.93,-2.5381
iter3_tp50sl20,BTC,15m,ema_cross,True,0.05,0.02,86,47,44.68,-56.09,-1.19,55.66,-1.2992
iter3_tp50sl20,BTC,15m,bollinger_bounce,True,0.05,0.02,55,31,64.52,56.4,1.82,16.56,1.4237
iter3_tp50sl20,BTC,15m,support_bounce,True,0.05,0.02,538,71,36.62,-81.33,-1.15,94.25,-1.262
iter3_tp50sl20,BTC,15m,candle_pattern,True,0.05,0.02,449,88,34.09,-175.11,-1.99,182.08,-2.6211
iter3_tp50sl20,BTC,1h,rsi_oversold,True,0.05,0.02,1,1,0.0,-10.5,-10.5,0.0,0.0
iter3_tp50sl20,BTC,1h,macd_cross,True,0.05,0.02,29,17,29.41,-51.46,-3.03,62.26,-1.2865
iter3_tp50sl20,BTC,1h,ema_cross,True,0.05,0.02,17,12,25.0,-48.25,-4.02,37.88,-1.3015
iter3_tp50sl20,BTC,1h,bollinger_bounce,True,0.05,0.02,7,5,20.0,-9.87,-1.97,23.87,-0.3255
iter3_tp50sl20,BTC,1h,support_bounce,True,0.05,0.02,47,14,28.57,-57.33,-4.09,51.02,-1.4963
iter3_tp50sl20,BTC,1h,candle_pattern,True,0.05,0.02,77,20,35.0,-81.97,-4.1,71.47,-2.2569
iter3_tp50sl20,BTC,4h,macd_cross,True,0.05,0.02,1,1,100.0,24.5,24.5,0.0,0.0
iter3_tp50sl20,BTC,4h,ema_cross,True,0.05,0.02,1,1,100.0,24.5,24.5,0.0,0.0
iter3_tp50sl20,BTC,4h,bollinger_bounce,True,0.05,0.02,1,1,0.0,-10.5,-10.5,0.0,0.0
iter3_tp50sl20,BTC,4h,support_bounce,True,0.05,0.02,4,3,33.33,3.5,1.17,10.5,0.1225
iter3_tp50sl20,BTC,4h,candle_pattern,True,0.05,0.02,17,5,20.0,-17.5,-3.5,31.5,-0.559
iter3_tp50sl20,ETH,5m,rsi_oversold,True,0.05,0.02,40,24,45.83,-32.99,-1.37,45.67,-1.4054
iter3_tp50sl20,ETH,5m,macd_cross,True,0.05,0.02,496,214,42.99,-32.84,-0.15,122.81,-0.3386
iter3_tp50sl20,ETH,5m,ema_cross,True,0.05,0.02,324,186,42.47,-142.97,-0.77,153.51,-1.7045
iter3_tp50sl20,ETH,5m,bollinger_bounce,True,0.05,0.02,204,116,40.52,-130.42,-1.12,150.74,-1.816
iter3_tp50sl20,ETH,5m,support_bounce,True,0.05,0.02,2945,267,42.7,-181.06,-0.68,232.65,-1.8478
iter3_tp50sl20,ETH,5m,candle_pattern,True,0.05,0.02,1599,291,40.55,-223.05,-0.77,289.39,-2.0772
iter3_tp50sl20,ETH,15m,rsi_oversold,True,0.05,0.02,16,7,42.86,-23.71,-3.39,21.0,-1.0757
iter3_tp50sl20,ETH,15m,macd_cross,True,0.05,0.02,149,63,46.03,-35.49,-0.56,48.25,-0.5307
iter3_tp50sl20,ETH,15m,ema_cross,True,0.05,0.02,99,54,38.89,-71.06,-1.32,86.91,-1.2477
iter3_tp50sl20,ETH,15m,bollinger_bounce,True,0.05,0.02,58,34,55.88,-32.54,-0.96,57.32,-0.8379
iter3_tp50sl20,ETH,15m,support_bounce,True,0.05,0.02,485,73,47.95,-96.91,-1.33,91.55,-1.3327
iter3_tp50sl20,ETH,15m,candle_pattern,True,0.05,0.02,476,88,37.5,-92.34,-1.05,109.57,-1.0866
iter3_tp50sl20,ETH,1h,rsi_oversold,True,0.05,0.02,3,2,0.0,-21.0,-10.5,10.5,0.0
iter3_tp50sl20,ETH,1h,macd_cross,True,0.05,0.02,26,16,25.0,-74.83,-4.68,64.33,-1.7993
iter3_tp50sl20,ETH,1h,ema_cross,True,0.05,0.02,8,7,28.57,-27.66,-3.95,31.5,-0.8567
iter3_tp50sl20,ETH,1h,bollinger_bounce,True,0.05,0.02,6,6,16.67,-43.15,-7.19,32.65,-2.3809
iter3_tp50sl20,ETH,1h,support_bounce,True,0.05,0.02,28,14,21.43,-34.16,-2.44,62.16,-0.6425
iter3_tp50sl20,ETH,1h,candle_pattern,True,0.05,0.02,77,23,26.09,-92.54,-4.02,82.04,-1.7768
iter3_tp50sl20,ETH,4h,macd_cross,True,0.05,0.02,1,1,100.0,24.5,24.5,0.0,0.0
iter3_tp50sl20,ETH,4h,ema_cross,True,0.05,0.02,2,2,50.0,14.0,7.0,0.0,0.5657
iter3_tp50sl20,ETH,4h,bollinger_bounce,True,0.05,0.02,1,1,0.0,-10.5,-10.5,0.0,0.0
iter3_tp50sl20,ETH,4h,support_bounce,True,0.05,0.02,3,3,33.33,3.5,1.17,10.5,0.1225
iter3_tp50sl20,ETH,4h,candle_pattern,True,0.05,0.02,12,4,50.0,28.0,7.0,21.0,0.8
iter4_combined_best,BTC,5m,rsi_oversold,True,0.05,0.02,34,15,60.0,-1.55,-0.1,18.73,-0.104
iter4_combined_best,BTC,5m,macd_cross,True,0.05,0.02,489,210,36.67,-130.57,-0.62,168.11,-1.7754
iter4_combined_best,BTC,5m,ema_cross,True,0.05,0.02,292,155,39.35,-138.19,-0.89,147.15,-2.6448
iter4_combined_best,BTC,5m,bollinger_bounce,True,0.05,0.02,219,115,40.0,-81.46,-0.71,116.85,-1.5336
iter4_combined_best,BTC,5m,support_bounce,True,0.05,0.02,3427,265,35.09,-247.67,-0.93,286.38,-3.424
iter4_combined_best,BTC,5m,candle_pattern,True,0.05,0.02,1665,273,35.9,-244.93,-0.9,272.95,-3.0948
iter4_combined_best,BTC,5m,rsi_oversold+bollinger_bounce,True,0.05,0.02,4,4,100.0,10.97,2.74,0.0,5.0002
iter4_combined_best,BTC,5m,rsi_oversold+support_bounce,True,0.05,0.02,5,5,100.0,14.69,2.94,0.0,6.2214
iter4_combined_best,BTC,5m,macd_cross+ema_cross,True,0.05,0.02,47,40,37.5,-42.94,-1.07,56.54,-1.2387
iter4_combined_best,BTC,5m,macd_cross+bollinger_bounce,True,0.05,0.02,2,2,50.0,-4.3,-2.15,0.0,-0.4333
iter4_combined_best,BTC,5m,macd_cross+support_bounce,True,0.05,0.02,286,150,38.67,-131.67,-0.88,139.17,-2.4583
iter4_combined_best,BTC,5m,macd_cross+candle_pattern,True,0.05,0.02,91,75,37.33,-98.05,-1.31,110.59,-2.2945
iter4_combined_best,BTC,5m,ema_cross+bollinger_bounce,True,0.05,0.02,2,2,50.0,-7.78,-3.89,0.0,-1.0428
iter4_combined_best,BTC,5m,ema_cross+support_bounce,True,0.05,0.02,168,101,38.61,-51.03,-0.51,66.28,-1.1855
iter4_combined_best,BTC,5m,ema_cross+candle_pattern,True,0.05,0.02,59,50,36.0,-82.46,-1.65,87.63,-2.5862
iter4_combined_best,BTC,5m,bollinger_bounce+support_bounce,True,0.05,0.02,199,109,39.45,-89.92,-0.82,125.32,-1.6945
iter4_combined_best,BTC,5m,bollinger_bounce+candle_pattern,True,0.05,0.02,47,40,32.5,-44.49,-1.11,53.84,-1.2012
iter4_combined_best,BTC,5m,support_bounce+candle_pattern,True,0.05,0.02,765,204,33.82,-242.71,-1.19,254.86,-4.0621
iter4_combined_best,BTC,15m,rsi_oversold,True,0.05,0.02,2,2,50.0,-2.0,-1.0,0.0,-0.3229
iter4_combined_best,BTC,15m,macd_cross,True,0.05,0.02,138,66,37.88,-139.04,-2.11,131.93,-2.5381
iter4_combined_best,BTC,15m,ema_cross,True,0.05,0.02,86,47,44.68,-56.09,-1.19,55.66,-1.2992
iter4_combined_best,BTC,15m,bollinger_bounce,True,0.05,0.02,55,31,64.52,56.4,1.82,16.56,1.4237
iter4_combined_best,BTC,15m,support_bounce,True,0.05,0.02,538,71,36.62,-81.33,-1.15,94.25,-1.262
iter4_combined_best,BTC,15m,candle_pattern,True,0.05,0.02,449,88,34.09,-175.11,-1.99,182.08,-2.6211
iter4_combined_best,BTC,15m,macd_cross+ema_cross,True,0.05,0.02,11,10,40.0,-1.45,-0.14,19.71,-0.0618
iter4_combined_best,BTC,15m,macd_cross+support_bounce,True,0.05,0.02,38,27,37.04,-44.37,-1.64,36.68,-1.4626
iter4_combined_best,BTC,15m,macd_cross+candle_pattern,True,0.05,0.02,31,28,28.57,-111.14,-3.97,100.64,-3.3387
iter4_combined_best,BTC,15m,ema_cross+support_bounce,True,0.05,0.02,23,21,42.86,-2.46,-0.12,25.08,-0.0767
iter4_combined_best,BTC,15m,ema_cross+candle_pattern,True,0.05,0.02,12,11,45.45,-12.26,-1.11,20.38,-0.5581
iter4_combined_best,BTC,15m,bollinger_bounce+support_bounce,True,0.05,0.02,47,28,60.71,19.96,0.71,18.74,0.6443
iter4_combined_best,BTC,15m,bollinger_bounce+candle_pattern,True,0.05,0.02,17,16,56.25,9.62,0.6,18.55,0.3643
iter4_combined_best,BTC,15m,support_bounce+candle_pattern,True,0.05,0.02,135,46,30.43,-78.46,-1.71,68.45,-1.5906
iter4_combined_best,BTC,1h,rsi_oversold,True,0.05,0.02,1,1,0.0,-10.5,-10.5,0.0,0.0
iter4_combined_best,BTC,1h,macd_cross,True,0.05,0.02,29,17,29.41,-51.46,-3.03,62.26,-1.2865
iter4_combined_best,BTC,1h,ema_cross,True,0.05,0.02,17,12,25.0,-48.25,-4.02,37.88,-1.3015
iter4_combined_best,BTC,1h,bollinger_bounce,True,0.05,0.02,7,5,20.0,-9.87,-1.97,23.87,-0.3255
