coin,tf,signal,lev,mode,period,bh_ret,ret,beat_bh,n_trades,win_rate,max_dd
SOL,1h,macd12/26,3,L+S,bull_2020,-47.11,-45.29,True,248,0.339,412.07
SOL,1h,macd26/52,1,L,bull_2020,-47.11,-16.26,True,62,0.339,64.89
SOL,1h,macd26/52,1,L+S,bull_2020,-47.11,-5.08,True,125,0.384,80.05
SOL,1h,macd26/52,2,L,bull_2020,-47.11,-32.51,True,62,0.339,129.78
SOL,1h,macd26/52,2,L+S,bull_2020,-47.11,-10.16,True,125,0.384,160.09
SOL,1h,macd26/52,3,L,bull_2020,-47.11,-48.77,False,62,0.339,194.68
SOL,1h,macd26/52,3,L+S,bull_2020,-47.11,-15.24,True,125,0.384,240.14
SOL,1h,st2.0,1,L,bull_2020,-47.11,-58.64,False,82,0.28,99.99
SOL,1h,st2.0,1,L+S,bull_2020,-47.11,-91.12,False,163,0.356,143.84
SOL,1h,st2.0,2,L,bull_2020,-47.11,-117.27,False,82,0.28,199.98
SOL,1h,st2.0,2,L+S,bull_2020,-47.11,-182.23,False,163,0.356,287.67
SOL,1h,st2.0,3,L,bull_2020,-47.11,-175.91,False,82,0.28,299.97
SOL,1h,st2.0,3,L+S,bull_2020,-47.11,-273.35,False,163,0.356,431.51
SOL,1h,st3.0,1,L,bull_2020,-47.11,-80.75,False,44,0.318,108.31
SOL,1h,st3.0,1,L+S,bull_2020,-47.11,-130.04,False,88,0.375,184.53
SOL,1h,st3.0,2,L,bull_2020,-47.11,-161.5,False,44,0.318,216.61
SOL,1h,st3.0,2,L+S,bull_2020,-47.11,-260.07,False,88,0.375,369.06
SOL,1h,st3.0,3,L,bull_2020,-47.11,-242.25,False,44,0.318,324.92
SOL,1h,st3.0,3,L+S,bull_2020,-47.11,-390.11,False,88,0.375,553.59
SOL,1h,ema10/30,1,L,bull_2021,11166.57,428.12,False,138,0.42,56.96
SOL,1h,ema10/30,1,L+S,bull_2021,11166.57,278.38,False,277,0.343,108.94
SOL,1h,ema10/30,2,L,bull_2021,11166.57,856.24,False,138,0.42,113.92
SOL,1h,ema10/30,2,L+S,bull_2021,11166.57,556.76,False,277,0.343,217.88
SOL,1h,ema10/30,3,L,bull_2021,11166.57,1284.36,False,138,0.42,170.87
SOL,1h,ema10/30,3,L+S,bull_2021,11166.57,835.14,False,277,0.343,326.82
SOL,1h,ema20/50,1,L,bull_2021,11166.57,432.83,False,78,0.385,70.99
SOL,1h,ema20/50,1,L+S,bull_2021,11166.57,237.46,False,157,0.306,122.58
SOL,1h,ema20/50,2,L,bull_2021,11166.57,865.67,False,78,0.385,141.98
SOL,1h,ema20/50,2,L+S,bull_2021,11166.57,474.92,False,157,0.306,245.17
SOL,1h,ema20/50,3,L,bull_2021,11166.57,1298.5,False,78,0.385,212.97
SOL,1h,ema20/50,3,L+S,bull_2021,11166.57,712.38,False,157,0.306,367.75
SOL,1h,ema20/100,1,L,bull_2021,11166.57,571.23,False,53,0.358,42.85
SOL,1h,ema20/100,1,L+S,bull_2021,11166.57,435.75,False,106,0.302,74.6
SOL,1h,ema20/100,2,L,bull_2021,11166.57,1142.46,False,53,0.358,85.7
SOL,1h,ema20/100,2,L+S,bull_2021,11166.57,871.51,False,106,0.302,149.2
SOL,1h,ema20/100,3,L,bull_2021,11166.57,1713.69,False,53,0.358,128.56
SOL,1h,ema20/100,3,L+S,bull_2021,11166.57,1307.26,False,106,0.302,223.8
SOL,1h,ema50/200,1,L,bull_2021,11166.57,867.17,False,23,0.391,60.09
SOL,1h,ema50/200,1,L+S,bull_2021,11166.57,761.73,False,46,0.326,95.21
SOL,1h,ema50/200,2,L,bull_2021,11166.57,1734.34,False,23,0.391,120.19
SOL,1h,ema50/200,2,L+S,bull_2021,11166.57,1523.47,False,46,0.326,190.42
SOL,1h,ema50/200,3,L,bull_2021,11166.57,2601.51,False,23,0.391,180.28
SOL,1h,ema50/200,3,L+S,bull_2021,11166.57,2285.2,False,46,0.326,285.64
SOL,1h,ema5/20,1,L,bull_2021,11166.57,332.69,False,257,0.362,37.94
SOL,1h,ema5/20,1,L+S,bull_2021,11166.57,83.89,False,514,0.319,95.04
SOL,1h,ema5/20,2,L,bull_2021,11166.57,665.37,False,257,0.362,75.88
SOL,1h,ema5/20,2,L+S,bull_2021,11166.57,167.79,False,514,0.319,190.07
SOL,1h,ema5/20,3,L,bull_2021,11166.57,998.06,False,257,0.362,113.82
SOL,1h,ema5/20,3,L+S,bull_2021,11166.57,251.68,False,514,0.319,285.11
SOL,1h,ema10/50,1,L,bull_2021,11166.57,448.93,False,105,0.333,36.28
SOL,1h,ema10/50,1,L+S,bull_2021,11166.57,302.59,False,211,0.284,55.57
SOL,1h,ema10/50,2,L,bull_2021,11166.57,897.85,False,105,0.333,72.56
SOL,1h,ema10/50,2,L+S,bull_2021,11166.57,605.18,False,211,0.284,111.15
SOL,1h,ema10/50,3,L,bull_2021,11166.57,1346.78,False,105,0.333,108.84
SOL,1h,ema10/50,3,L+S,bull_2021,11166.57,907.77,False,211,0.284,166.72
SOL,1h,c>ema50,1,L,bull_2021,11166.57,267.98,False,365,0.252,76.92
SOL,1h,c>ema50,1,L+S,bull_2021,11166.57,-35.04,False,730,0.208,198.73
SOL,1h,c>ema50,2,L,bull_2021,11166.57,535.96,False,365,0.252,153.84
SOL,1h,c>ema50,2,L+S,bull_2021,11166.57,-70.08,False,730,0.208,397.46
SOL,1h,c>ema50,3,L,bull_2021,11166.57,803.93,False,365,0.252,230.76
SOL,1h,c>ema50,3,L+S,bull_2021,11166.57,-105.13,False,730,0.208,596.19
SOL,1h,c>ema100,1,L,bull_2021,11166.57,362.27,False,260,0.208,72.53
SOL,1h,c>ema100,1,L+S,bull_2021,11166.57,116.84,False,520,0.167,147.61
SOL,1h,c>ema100,2,L,bull_2021,11166.57,724.53,False,260,0.208,145.06
SOL,1h,c>ema100,2,L+S,bull_2021,11166.57,233.68,False,520,0.167,295.22
SOL,1h,c>ema100,3,L,bull_2021,11166.57,1086.8,False,260,0.208,217.59
SOL,1h,c>ema100,3,L+S,bull_2021,11166.57,350.52,False,520,0.167,442.83
SOL,1h,c>ema200,1,L,bull_2021,11166.57,482.72,False,185,0.141,120.55
SOL,1h,c>ema200,1,L+S,bull_2021,11166.57,267.55,False,370,0.116,208.68
SOL,1h,c>ema200,2,L,bull_2021,11166.57,965.44,False,185,0.141,241.09
SOL,1h,c>ema200,2,L+S,bull_2021,11166.57,535.11,False,370,0.116,417.36
SOL,1h,c>ema200,3,L,bull_2021,11166.57,1448.16,False,185,0.141,361.64
SOL,1h,c>ema200,3,L+S,bull_2021,11166.57,802.66,False,370,0.116,626.04
SOL,1h,macd12/26,1,L,bull_2021,11166.57,338.97,False,328,0.415,31.39
SOL,1h,macd12/26,1,L+S,bull_2021,11166.57,78.74,False,656,0.392,168.92
SOL,1h,macd12/26,2,L,bull_2021,11166.57,677.93,False,328,0.415,62.78
SOL,1h,macd12/26,2,L+S,bull_2021,11166.57,157.48,False,656,0.392,337.84
SOL,1h,macd12/26,3,L,bull_2021,11166.57,1016.9,False,328,0.415,94.17
SOL,1h,macd12/26,3,L+S,bull_2021,11166.57,236.22,False,656,0.392,506.76
SOL,1h,macd26/52,1,L,bull_2021,11166.57,335.13,False,157,0.452,48.09
SOL,1h,macd26/52,1,L+S,bull_2021,11166.57,90.76,False,314,0.411,72.35
SOL,1h,macd26/52,2,L,bull_2021,11166.57,670.25,False,157,0.452,96.18
SOL,1h,macd26/52,2,L+S,bull_2021,11166.57,181.52,False,314,0.411,144.7
SOL,1h,macd26/52,3,L,bull_2021,11166.57,1005.38,False,157,0.452,144.27
SOL,1h,macd26/52,3,L+S,bull_2021,11166.57,272.28,False,314,0.411,217.05
SOL,1h,st2.0,1,L,bull_2021,11166.57,317.72,False,187,0.465,36.96
SOL,1h,st2.0,1,L+S,bull_2021,11166.57,51.07,False,374,0.417,100.38
SOL,1h,st2.0,2,L,bull_2021,11166.57,635.44,False,187,0.465,73.93
SOL,1h,st2.0,2,L+S,bull_2021,11166.57,102.14,False,374,0.417,200.75
SOL,1h,st2.0,3,L,bull_2021,11166.57,953.15,False,187,0.465,110.89
SOL,1h,st2.0,3,L+S,bull_2021,11166.57,153.21,False,374,0.417,301.13
SOL,1h,st3.0,1,L,bull_2021,11166.57,303.95,False,104,0.481,76.73
SOL,1h,st3.0,1,L+S,bull_2021,11166.57,35.71,False,209,0.397,156.58
SOL,1h,st3.0,2,L,bull_2021,11166.57,607.9,False,104,0.481,153.46
SOL,1h,st3.0,2,L+S,bull_2021,11166.57,71.41,False,209,0.397,313.17
SOL,1h,st3.0,3,L,bull_2021,11166.57,911.85,False,104,0.481,230.19
SOL,1h,st3.0,3,L+S,bull_2021,11166.57,107.12,False,209,0.397,469.75
SOL,1h,ema10/30,1,L,bear_2022,-94.14,-104.53,False,156,0.224,107.65
SOL,1h,ema10/30,1,L+S,bear_2022,-94.14,11.88,True,312,0.269,75.81
SOL,1h,ema10/30,2,L,bear_2022,-94.14,-209.06,False,156,0.224,215.29
SOL,1h,ema10/30,2,L+S,bear_2022,-94.14,23.77,True,312,0.269,151.61
SOL,1h,ema10/30,3,L,bear_2022,-94.14,-313.59,False,156,0.224,322.94
SOL,1h,ema10/30,3,L+S,bear_2022,-94.14,35.65,True,312,0.269,227.42
SOL,1h,ema20/50,1,L,bear_2022,-94.14,-38.39,True,75,0.28,47.37
SOL,1h,ema20/50,1,L+S,bear_2022,-94.14,131.57,True,150,0.32,52.44
SOL,1h,ema20/50,2,L,bear_2022,-94.14,-76.78,True,75,0.28,94.74
SOL,1h,ema20/50,2,L+S,bear_2022,-94.14,263.13,True,150,0.32,104.88
SOL,1h,ema20/50,3,L,bear_2022,-94.14,-115.17,False,75,0.28,142.11
SOL,1h,ema20/50,3,L+S,bear_2022,-94.14,394.7,True,150,0.32,157.31
SOL,1h,ema20/100,1,L,bear_2022,-94.14,-36.01,True,51,0.196,60.89
SOL,1h,ema20/100,1,L+S,bear_2022,-94.14,134.6,True,103,0.301,44.49
SOL,1h,ema20/100,2,L,bear_2022,-94.14,-72.03,True,51,0.196,121.79
SOL,1h,ema20/100,2,L+S,bear_2022,-94.14,269.19,True,103,0.301,88.98
SOL,1h,ema20/100,3,L,bear_2022,-94.14,-108.04,False,51,0.196,182.68
SOL,1h,ema20/100,3,L+S,bear_2022,-94.14,403.79,True,103,0.301,133.47
SOL,1h,ema50/200,1,L,bear_2022,-94.14,-47.71,True,20,0.2,62.02
SOL,1h,ema50/200,1,L+S,bear_2022,-94.14,109.41,True,41,0.366,64.12
SOL,1h,ema50/200,2,L,bear_2022,-94.14,-95.42,False,20,0.2,124.04
SOL,1h,ema50/200,2,L+S,bear_2022,-94.14,218.81,True,41,0.366,128.24
SOL,1h,ema50/200,3,L,bear_2022,-94.14,-143.13,False,20,0.2,186.05
SOL,1h,ema50/200,3,L+S,bear_2022,-94.14,328.22,True,41,0.366,192.36
SOL,1h,ema5/20,1,L,bear_2022,-94.14,-126.83,False,259,0.247,134.23
SOL,1h,ema5/20,1,L+S,bear_2022,-94.14,-35.31,True,518,0.276,134.54
SOL,1h,ema5/20,2,L,bear_2022,-94.14,-253.66,False,259,0.247,268.47
SOL,1h,ema5/20,2,L+S,bear_2022,-94.14,-70.63,True,518,0.276,269.08
SOL,1h,ema5/20,3,L,bear_2022,-94.14,-380.49,False,259,0.247,402.7
SOL,1h,ema5/20,3,L+S,bear_2022,-94.14,-105.94,False,518,0.276,403.62
SOL,1h,ema10/50,1,L,bear_2022,-94.14,-65.47,True,113,0.23,78.05
SOL,1h,ema10/50,1,L+S,bear_2022,-94.14,78.94,True,226,0.257,74.45
SOL,1h,ema10/50,2,L,bear_2022,-94.14,-130.95,False,113,0.23,156.11
SOL,1h,ema10/50,2,L+S,bear_2022,-94.14,157.87,True,226,0.257,148.89
SOL,1h,ema10/50,3,L,bear_2022,-94.14,-196.42,False,113,0.23,234.16
SOL,1h,ema10/50,3,L+S,bear_2022,-94.14,236.81,True,226,0.257,223.34
SOL,1h,c>ema50,1,L,bear_2022,-94.14,-93.37,True,333,0.189,110.7
SOL,1h,c>ema50,1,L+S,bear_2022,-94.14,33.74,True,666,0.212,95.91
SOL,1h,c>ema50,2,L,bear_2022,-94.14,-186.74,False,333,0.189,221.39
SOL,1h,c>ema50,2,L+S,bear_2022,-94.14,67.49,True,666,0.212,191.82
SOL,1h,c>ema50,3,L,bear_2022,-94.14,-280.12,False,333,0.189,332.09
SOL,1h,c>ema50,3,L+S,bear_2022,-94.14,101.23,True,666,0.212,287.73
SOL,1h,c>ema100,1,L,bear_2022,-94.14,-41.43,True,195,0.149,75.17
SOL,1h,c>ema100,1,L+S,bear_2022,-94.14,112.76,True,391,0.182,72.92
SOL,1h,c>ema100,2,L,bear_2022,-94.14,-82.86,True,195,0.149,150.34
SOL,1h,c>ema100,2,L+S,bear_2022,-94.14,225.52,True,391,0.182,145.83
SOL,1h,c>ema100,3,L,bear_2022,-94.14,-124.3,False,195,0.149,225.51
SOL,1h,c>ema100,3,L+S,bear_2022,-94.14,338.28,True,391,0.182,218.75
SOL,1h,c>ema200,1,L,bear_2022,-94.14,-44.63,True,134,0.127,58.55
SOL,1h,c>ema200,1,L+S,bear_2022,-94.14,119.97,True,269,0.167,53.48
SOL,1h,c>ema200,2,L,bear_2022,-94.14,-89.25,True,134,0.127,117.1
SOL,1h,c>ema200,2,L+S,bear_2022,-94.14,239.94,True,269,0.167,106.96
SOL,1h,c>ema200,3,L,bear_2022,-94.14,-133.88,False,134,0.127,175.65
SOL,1h,c>ema200,3,L+S,bear_2022,-94.14,359.9,True,269,0.167,160.44
SOL,1h,macd12/26,1,L,bear_2022,-94.14,-138.6,False,334,0.299,157.69
SOL,1h,macd12/26,1,L+S,bear_2022,-94.14,-55.08,True,669,0.356,186.99
SOL,1h,macd12/26,2,L,bear_2022,-94.14,-277.19,False,334,0.299,315.39
SOL,1h,macd12/26,2,L+S,bear_2022,-94.14,-110.16,False,669,0.356,373.99
SOL,1h,macd12/26,3,L,bear_2022,-94.14,-415.79,False,334,0.299,473.08
SOL,1h,macd12/26,3,L+S,bear_2022,-94.14,-165.24,False,669,0.356,560.98
SOL,1h,macd26/52,1,L,bear_2022,-94.14,-101.24,False,157,0.287,105.37
SOL,1h,macd26/52,1,L+S,bear_2022,-94.14,5.25,True,313,0.332,107.44
SOL,1h,macd26/52,2,L,bear_2022,-94.14,-202.49,False,157,0.287,210.73
SOL,1h,macd26/52,2,L+S,bear_2022,-94.14,10.5,True,313,0.332,214.87
SOL,1h,macd26/52,3,L,bear_2022,-94.14,-303.73,False,157,0.287,316.1
