coin,tf,signal,lev,mode,period,ret,bh_ret,beat_bh,n_trades,win_rate,max_dd
BTC,1h,macd26/52,2,L+S,bear_2026q1,16.59,-26.8,True,71,0.352,66.91
BTC,1h,macd26/52,3,L,bear_2026q1,-30.78,-26.8,False,35,0.343,76.08
BTC,1h,macd26/52,3,L+S,bear_2026q1,24.88,-26.8,True,71,0.352,100.36
BTC,1h,st2.0,1,L,bear_2026q1,-25.87,-26.8,True,45,0.222,36.55
BTC,1h,st2.0,1,L+S,bear_2026q1,-23.29,-26.8,True,91,0.275,43.71
BTC,1h,st2.0,2,L,bear_2026q1,-51.73,-26.8,False,45,0.222,73.1
BTC,1h,st2.0,2,L+S,bear_2026q1,-46.57,-26.8,False,91,0.275,87.43
BTC,1h,st2.0,3,L,bear_2026q1,-77.6,-26.8,False,45,0.222,109.65
BTC,1h,st2.0,3,L+S,bear_2026q1,-69.86,-26.8,False,91,0.275,131.14
BTC,1h,st3.0,1,L,bear_2026q1,-24.26,-26.8,True,26,0.269,31.26
BTC,1h,st3.0,1,L+S,bear_2026q1,-21.04,-26.8,True,53,0.283,37.72
BTC,1h,st3.0,2,L,bear_2026q1,-48.53,-26.8,False,26,0.269,62.53
BTC,1h,st3.0,2,L+S,bear_2026q1,-42.07,-26.8,False,53,0.283,75.45
BTC,1h,st3.0,3,L,bear_2026q1,-72.79,-26.8,False,26,0.269,93.79
BTC,1h,st3.0,3,L+S,bear_2026q1,-63.11,-26.8,False,53,0.283,113.17
BTC,1h,st4.0,1,L,bear_2026q1,-17.28,-26.8,True,17,0.235,18.67
BTC,1h,st4.0,1,L+S,bear_2026q1,-5.9,-26.8,True,35,0.314,31.19
BTC,1h,st4.0,2,L,bear_2026q1,-34.56,-26.8,False,17,0.235,37.34
BTC,1h,st4.0,2,L+S,bear_2026q1,-11.8,-26.8,True,35,0.314,62.39
BTC,1h,st4.0,3,L,bear_2026q1,-51.84,-26.8,False,17,0.235,56.0
BTC,1h,st4.0,3,L+S,bear_2026q1,-17.7,-26.8,True,35,0.314,93.58
BTC,1h,ema20/50,1,L,bear_2025q4,2.54,-23.3,True,15,0.333,7.13
BTC,1h,ema20/50,1,L+S,bear_2025q4,26.6,-23.3,True,29,0.414,9.9
BTC,1h,ema20/50,2,L,bear_2025q4,5.07,-23.3,True,15,0.333,14.26
BTC,1h,ema20/50,2,L+S,bear_2025q4,53.2,-23.3,True,29,0.414,19.8
BTC,1h,ema20/50,3,L,bear_2025q4,7.61,-23.3,True,15,0.333,21.38
BTC,1h,ema20/50,3,L+S,bear_2025q4,79.81,-23.3,True,29,0.414,29.7
BTC,1h,ema50/200,1,L,bear_2025q4,-6.53,-23.3,True,5,0.0,5.59
BTC,1h,ema50/200,1,L+S,bear_2025q4,10.41,-23.3,True,9,0.333,2.89
BTC,1h,ema50/200,2,L,bear_2025q4,-13.06,-23.3,True,5,0.0,11.18
