entry_dt,exit_dt,side,regime,entry,exit,tp,sl,result,pnl_pct,hold
2025-03-05 15:15:00+00:00,2025-03-05 17:15:00+00:00,long,trend,88053.3,89798.09954168908,89798.09954168908,87006.42027498655,win,5.8246,8
2025-03-06 07:45:00+00:00,2025-03-06 09:00:00+00:00,long,trend,91311.3,90733.92127343762,92273.59787760397,90733.92127343762,loss,-2.017,5
2025-03-06 09:00:00+00:00,2025-03-06 12:30:00+00:00,long,trend,90797.0,90252.10160782798,91705.16398695337,90252.10160782798,loss,-1.9204,14
2025-03-08 06:00:00+00:00,2025-03-09 09:45:00+00:00,short,trend,86486.9,85542.072060702,85542.072060702,87053.7967635788,win,3.1574,111
2025-03-11 14:15:00+00:00,2025-03-11 15:15:00+00:00,long,trend,79889.9,81487.33614744914,81487.33614744914,78931.43831153051,win,5.8786,4
2025-03-14 14:15:00+00:00,2025-03-14 15:00:00+00:00,long,trend,82757.1,83621.64992810809,83621.64992810809,82238.37004313515,win,3.0141,3
2025-03-16 03:45:00+00:00,2025-03-16 09:15:00+00:00,short,trend,84295.9,83908.10251670326,83908.10251670326,84528.57848997804,win,1.2601,22
2025-03-23 02:30:00+00:00,2025-03-23 10:30:00+00:00,short,trend,84178.5,84334.698751947,83918.168746755,84334.698751947,loss,-0.6767,32
2025-03-24 13:00:00+00:00,2025-03-24 14:00:00+00:00,long,trend,87162.7,87750.48691051004,87750.48691051004,86810.02785369397,win,1.9031,4
2025-03-26 20:00:00+00:00,2025-03-27 01:45:00+00:00,short,trend,86877.9,87415.53717444619,85981.83804258966,87415.53717444619,loss,-1.9765,23
2025-03-29 19:45:00+00:00,2025-03-30 02:00:00+00:00,short,trend,82722.9,83145.17114797806,82019.11475336988,83145.17114797806,loss,-1.6514,25
2025-03-30 06:15:00+00:00,2025-03-30 06:45:00+00:00,long,trend,82821.1,83244.37532159184,83244.37532159184,82567.1348070449,win,1.4132,2
2025-04-02 20:30:00+00:00,2025-04-02 21:15:00+00:00,long,trend,85334.3,84192.16568624816,87237.8571895864,84192.16568624816,loss,-4.1353,3
2025-04-04 10:15:00+00:00,2025-04-04 11:00:00+00:00,long,trend,82891.8,82330.21769383158,83827.77051028071,82330.21769383158,loss,-2.1525,3
2025-04-10 00:30:00+00:00,2025-04-10 03:30:00+00:00,long,trend,82115.9,81468.14053738036,83195.49910436604,81468.14053738036,loss,-2.4865,12
2025-04-11 14:15:00+00:00,2025-04-11 16:30:00+00:00,long,trend,81435.9,82679.04481192523,82679.04481192523,80690.01311284486,win,4.4596,9
2025-04-13 02:15:00+00:00,2025-04-13 03:45:00+00:00,long,trend,84791.5,85605.9897245515,85605.9897245515,84302.8061652691,win,2.7617,6
2025-04-16 17:45:00+00:00,2025-04-16 18:15:00+00:00,long,trend,83237.5,84348.53272883885,84348.53272883885,82570.88036269668,win,3.8843,2
2025-04-21 10:30:00+00:00,2025-04-21 11:15:00+00:00,long,trend,87224.3,86941.98954980154,87694.81741699745,86941.98954980154,loss,-1.091,3
2025-04-22 00:00:00+00:00,2025-04-22 00:30:00+00:00,long,breakout,87475.5,87098.32470018048,88041.26294972928,87098.32470018048,loss,-1.4135,2
2025-04-22 07:30:00+00:00,2025-04-22 12:45:00+00:00,long,breakout,88420.0,88951.95791698614,88951.95791698614,88065.36138867591,win,1.6849,21
2025-04-23 10:00:00+00:00,2025-04-23 13:30:00+00:00,long,trend,93380.1,94163.5378715219,94163.5378715219,92910.03727708687,win,2.3969,14
2025-04-23 13:30:00+00:00,2025-04-23 13:45:00+00:00,long,trend,93396.6,92847.48714791764,94311.78808680396,92847.48714791764,loss,-1.8838,1
2025-04-26 15:00:00+00:00,2025-04-26 22:00:00+00:00,short,trend,94281.1,94543.60698618382,93843.5883563603,94543.60698618382,loss,-0.9553,28
2025-04-28 13:45:00+00:00,2025-04-28 14:15:00+00:00,long,trend,93915.4,94755.39287390656,94755.39287390656,93411.40427565605,win,2.5632,2
