entry_dt,exit_dt,side,entry,exit,tp,sl,result,pnl_pct,hold,funding_at_entry
2025-03-01 13:45:00+00:00,2025-03-01 16:00:00+00:00,short,84484.9,84913.34512941168,83628.0097411766,84913.34512941168,loss,-1.6414,9,-6.108e-05
2025-03-02 15:30:00+00:00,2025-03-02 15:45:00+00:00,long,88031.4,87226.54056464772,89641.11887070455,87226.54056464772,loss,-2.8629,1,-2.783e-05
2025-03-03 09:15:00+00:00,2025-03-03 11:00:00+00:00,short,91844.6,92648.81220817416,90236.17558365171,92648.81220817416,loss,-2.7469,7,7.91e-06
2025-03-03 11:15:00+00:00,2025-03-03 14:30:00+00:00,long,92679.1,91938.36889738211,94160.5622052358,91938.36889738211,loss,-2.5177,13,7.91e-06
2025-03-03 15:00:00+00:00,2025-03-03 18:15:00+00:00,short,90398.0,87966.33587723481,87966.33587723481,91613.83206138259,win,7.9499,13,7.91e-06
2025-03-04 18:15:00+00:00,2025-03-04 19:00:00+00:00,long,85330.0,87889.09861423427,87889.09861423427,84050.45069288286,win,8.8772,3,1.306e-05
2025-03-06 13:00:00+00:00,2025-03-06 15:00:00+00:00,short,90261.6,90877.2410167705,89030.31796645903,90877.2410167705,loss,-2.1662,8,6.413e-05
2025-03-07 16:45:00+00:00,2025-03-07 17:45:00+00:00,short,87220.0,88502.4693097241,84655.06138055181,88502.4693097241,loss,-4.5312,4,2.028e-05
2025-03-10 11:45:00+00:00,2025-03-10 12:30:00+00:00,long,83540.2,82639.12909453372,85342.34181093253,82639.12909453372,loss,-3.3558,3,1.344e-05
2025-03-10 14:00:00+00:00,2025-03-10 18:45:00+00:00,short,80131.3,77954.9955070606,77954.9955070606,81219.45224646971,win,8.0278,19,1.344e-05
2025-03-11 05:30:00+00:00,2025-03-11 09:30:00+00:00,long,80138.0,81685.09369143899,81685.09369143899,79364.4531542805,win,5.6716,16,4.705e-05
2025-03-12 15:15:00+00:00,2025-03-12 16:00:00+00:00,short,81210.1,82098.06579332137,79434.16841335729,82098.06579332137,loss,-3.4003,3,5.815e-05
2025-03-14 02:45:00+00:00,2025-03-14 03:45:00+00:00,long,82195.7,81727.38487614685,83132.33024770628,81727.38487614685,loss,-1.8293,4,5.386e-05
2025-03-15 08:15:00+00:00,2025-03-15 11:30:00+00:00,short,83785.8,84054.23424949529,83248.93150100943,84054.23424949529,loss,-1.0811,13,-2.389e-05
2025-03-16 05:15:00+00:00,2025-03-16 07:00:00+00:00,long,84370.8,84158.29957860851,84795.80084278299,84158.29957860851,loss,-0.8756,7,4.32e-06
2025-03-16 09:15:00+00:00,2025-03-16 11:00:00+00:00,short,83974.9,83546.63614656907,83546.63614656907,84189.03192671546,win,1.41,7,4.236e-05
2025-03-16 18:30:00+00:00,2025-03-16 19:00:00+00:00,long,83872.2,83237.05862562313,85142.48274875371,83237.05862562313,loss,-2.3918,2,1.247e-05
2025-03-16 19:00:00+00:00,2025-03-17 03:45:00+00:00,short,83172.4,83641.0,81842.80977275826,83837.19511362087,cross_exit,-1.8102,35,1.247e-05
2025-03-17 16:15:00+00:00,2025-03-18 01:30:00+00:00,long,83593.8,83005.3,84857.13142587949,82962.13428706025,cross_exit,-2.232,37,8.59e-06
2025-03-18 01:30:00+00:00,2025-03-18 02:15:00+00:00,short,83005.3,83380.6722530358,82254.55549392842,83380.6722530358,loss,-1.4767,3,7.03e-06
2025-03-18 23:30:00+00:00,2025-03-19 08:00:00+00:00,long,82612.5,83361.1108691687,83361.1108691687,82238.19456541564,win,2.5985,34,3.514e-05
2025-03-20 11:15:00+00:00,2025-03-20 13:30:00+00:00,short,85270.2,85661.53472999731,84487.53054000538,85661.53472999731,loss,-1.4968,9,3.79e-05
2025-03-20 14:15:00+00:00,2025-03-20 15:00:00+00:00,long,86299.9,85793.89246763637,87311.91506472725,85793.89246763637,loss,-1.879,3,3.79e-05
2025-03-20 15:45:00+00:00,2025-03-21 13:30:00+00:00,short,84642.1,83302.77568193298,83302.77568193298,85311.76215903352,win,4.627,87,3.79e-05
2025-03-25 00:00:00+00:00,2025-03-25 03:30:00+00:00,short,87293.9,86449.16019394378,86449.16019394378,87716.26990302811,win,2.7831,14,-3.422e-05
2025-03-25 11:45:00+00:00,2025-03-25 12:30:00+00:00,long,87323.3,86995.93630283515,87978.0273943297,86995.93630283515,loss,-1.2447,3,1.15e-05
2025-03-26 00:00:00+00:00,2025-03-26 00:30:00+00:00,short,87262.0,87683.57156926359,86418.85686147283,87683.57156926359,loss,-1.5693,2,-2.99e-05
2025-03-26 00:30:00+00:00,2025-03-26 02:45:00+00:00,long,87705.3,87278.003085686,88559.89382862802,87278.003085686,loss,-1.5816,9,-2.99e-05
2025-03-26 07:00:00+00:00,2025-03-26 13:15:00+00:00,long,87809.9,87514.16153118091,88401.37693763815,87514.16153118091,loss,-1.1304,25,-2.99e-05
2025-03-26 13:45:00+00:00,2025-03-26 14:00:00+00:00,short,86792.1,87220.48013190113,85935.33973619774,87220.48013190113,loss,-1.6007,1,1.659e-05
2025-03-30 14:00:00+00:00,2025-03-30 14:45:00+00:00,short,82647.7,82953.59446495019,82035.91107009961,82953.59446495019,loss,-1.2304,3,4.27e-06
2025-04-02 09:45:00+00:00,2025-04-02 11:45:00+00:00,long,84982.0,84574.80015680118,85796.39968639764,84574.80015680118,loss,-1.5575,8,3.036e-05
