entry_dt,exit_dt,side,entry,exit,tp,sl,result,pnl_pct,hold
2025-03-04 14:30:00+00:00,2025-03-04 14:45:00+00:00,long,84036.1,83128.86147819193,85926.18025376683,83128.86147819193,loss,-3.3587,1
2025-04-02 13:30:00+00:00,2025-04-02 15:00:00+00:00,long,85427.7,86244.31727844613,86244.31727844613,85035.72370634585,win,2.7477,6
2025-04-02 20:15:00+00:00,2025-04-02 22:00:00+00:00,short,85837.5,84026.5922573685,84026.5922573685,86706.73571646312,win,6.2091,7
2025-04-15 13:45:00+00:00,2025-04-15 14:00:00+00:00,short,85537.2,85900.08783547622,84781.1836760912,85900.08783547622,loss,-1.3927,1
2025-04-16 17:30:00+00:00,2025-04-16 17:45:00+00:00,short,84299.9,83315.268599712,83315.268599712,84772.52307213824,win,3.384,1
2025-04-19 15:30:00+00:00,2025-04-19 16:45:00+00:00,short,85227.8,84869.61849191606,84869.61849191606,85399.7271238803,win,1.1408,5
2025-04-23 13:30:00+00:00,2025-04-23 13:45:00+00:00,short,93396.6,93835.89028166591,92481.41191319605,93835.89028166591,loss,-1.531,1
2025-04-26 13:45:00+00:00,2025-04-26 14:00:00+00:00,long,94107.4,93898.09881040078,94543.44414499836,93898.09881040078,loss,-0.7872,1
2025-04-29 01:45:00+00:00,2025-04-29 11:00:00+00:00,short,94804.6,95158.3189059457,94067.68561261313,95158.3189059457,loss,-1.2393,37
2025-06-02 14:00:00+00:00,2025-06-02 20:00:00+00:00,long,104063.3,104851.94204657669,104851.94204657669,103684.75181764319,win,2.1535,24
2025-06-11 12:00:00+00:00,2025-06-11 12:15:00+00:00,long,109340.2,109153.24298065514,109729.69379030178,109153.24298065514,loss,-0.633,1
2025-06-12 13:30:00+00:00,2025-06-12 15:00:00+00:00,long,107077.6,107721.68916945794,107721.68916945794,106768.4371986602,win,1.6845,6
2025-06-17 14:00:00+00:00,2025-06-17 14:15:00+00:00,long,105632.3,105274.2500488313,106378.23739826815,105274.2500488313,loss,-1.1369,1
2025-06-21 23:45:00+00:00,2025-06-22 00:30:00+00:00,long,102079.8,103177.64692900017,103177.64692900017,101552.83347407992,win,3.1064,3
2025-06-23 13:30:00+00:00,2025-06-23 14:30:00+00:00,long,101948.7,101532.74569082518,102815.27147744753,101532.74569082518,loss,-1.344,4
2025-07-02 01:15:00+00:00,2025-07-02 03:15:00+00:00,long,105576.4,106126.0700542155,106126.0700542155,105312.55837397656,win,1.4419,8
2025-07-10 14:15:00+00:00,2025-07-10 14:30:00+00:00,short,110817.2,111114.25770449643,110198.3297822991,111114.25770449643,loss,-0.9242,1
2025-07-22 01:15:00+00:00,2025-07-22 03:15:00+00:00,long,117199.8,116761.9255077441,118112.03852553313,116761.9255077441,loss,-1.2408,8
2025-07-23 08:00:00+00:00,2025-07-23 08:30:00+00:00,long,118525.2,118253.92385374561,119090.35863802997,118253.92385374561,loss,-0.8066,2
2025-07-24 03:30:00+00:00,2025-07-24 04:00:00+00:00,short,118880.0,118243.85161577383,118243.85161577383,119185.35122442855,win,1.4854,2
2025-08-04 13:30:00+00:00,2025-08-04 14:00:00+00:00,long,114746.5,115277.25293812768,115277.25293812768,114491.73858969871,win,1.2676,2
2025-08-14 12:15:00+00:00,2025-08-14 12:30:00+00:00,long,121140.6,120756.39079987616,121941.03583359135,120756.39079987616,loss,-1.0715,1
2025-08-19 13:30:00+00:00,2025-08-19 14:15:00+00:00,short,115063.7,114413.36216654241,114413.36216654241,115375.86216005964,win,1.5756,3
2025-08-21 02:00:00+00:00,2025-08-21 09:00:00+00:00,short,114211.6,113472.4088248136,113472.4088248136,114566.41176408948,win,1.8216,28
2025-08-24 10:30:00+00:00,2025-08-24 11:15:00+00:00,long,114837.1,114640.50041809355,115246.6824623051,114640.50041809355,loss,-0.6336,3
2025-08-29 21:00:00+00:00,2025-08-30 01:45:00+00:00,long,107850.0,107397.19165851273,108793.35071143182,107397.19165851273,loss,-1.3796,19
2025-09-03 12:30:00+00:00,2025-09-03 13:30:00+00:00,short,111206.2,111480.81921966466,110634.07662569862,111480.81921966466,loss,-0.8608,4
2025-09-29 12:30:00+00:00,2025-09-29 13:30:00+00:00,short,112057.0,112289.18838127167,111573.27420568402,112289.18838127167,loss,-0.7416,4
2025-10-03 13:30:00+00:00,2025-10-03 13:45:00+00:00,short,120228.1,120511.84059472417,119636.97376099133,120511.84059472417,loss,-0.828,1
2025-10-16 09:30:00+00:00,2025-10-16 13:45:00+00:00,long,111191.9,110634.30825298221,112353.54947295372,110634.30825298221,loss,-1.6244,17
2025-10-20 15:00:00+00:00,2025-10-20 15:45:00+00:00,short,110969.1,111360.32273511811,110154.0526351706,111360.32273511811,loss,-1.1777,3
2025-10-22 11:00:00+00:00,2025-10-22 11:45:00+00:00,long,107929.4,107463.77383479141,108899.45451085121,107463.77383479141,loss,-1.4143,3
2025-11-07 22:00:00+00:00,2025-11-08 00:30:00+00:00,short,103646.5,102510.64485012222,102510.64485012222,104191.71047194133,win,3.1677,10
2025-11-13 03:15:00+00:00,2025-11-13 05:45:00+00:00,long,102085.8,103248.10260038365,103248.10260038365,101527.89475181585,win,3.2957,10
2025-11-18 02:15:00+00:00,2025-11-18 02:45:00+00:00,long,91643.7,91045.05557839242,92890.8758783491,91045.05557839242,loss,-2.0797,2
