entry,exit,hold,result,net_ret,hurst,rsi_entry,window,ts_entry,ts_exit
43742.01867,43343.66154123639,1,sl,-0.010406967187977924,0.6085437169848471,21.613981486792525,2,2024-01-03 11:45:00,2024-01-03 12:00:00
45913.26985,45576.9,48,timeout,-0.008726201141825134,0.6358194804703188,39.082717926545726,2,2024-01-09 21:15:00,2024-01-10 09:15:00
45567.466140000004,44827.31791356463,2,sl,-0.017542909451260004,0.6382046752781644,44.63938391095956,2,2024-01-10 20:00:00,2024-01-10 20:30:00
46122.13249,46006.2,48,timeout,-0.003913597783561774,0.6592941549836453,35.21418494483625,2,2024-01-11 16:00:00,2024-01-12 04:00:00
42595.17472,41981.56398981573,1,sl,-0.01570563947014774,0.6731876868078241,27.68713780581102,2,2024-01-12 22:00:00,2024-01-12 22:15:00
65499.844059999996,64289.18541045875,4,sl,-0.019783382165494096,0.6448998672918999,32.000846099721386,2,2024-03-05 16:00:00,2024-03-05 17:00:00
70928.17206999999,70189.72876863214,5,sl,-0.011711142425030636,0.5868939049960329,24.459244609203992,2,2024-03-14 15:15:00,2024-03-14 16:30:00
61880.5586,63053.35370472064,6,tp,0.01765256169715062,0.6732568978799854,28.7022859508577,2,2024-04-16 10:15:00,2024-04-16 11:45:00
57421.321229999994,57066.88799905378,2,sl,-0.007472502188281877,0.6171932356016029,33.47319987546257,3,2024-07-07 07:00:00,2024-07-07 07:30:00
57968.985479999996,57516.01377150029,4,sl,-0.0091140354665338,0.6620545281630422,29.796522346929024,3,2024-07-10 12:30:00,2024-07-10 13:30:00
59505.24622,60126.04705748714,2,tp,0.009132707650548098,0.6667510217486267,34.623908456782644,3,2024-07-14 14:15:00,2024-07-14 14:45:00
63950.179299999996,63457.18515170736,2,sl,-0.009009034653052755,0.6623084438910152,33.48623338592549,3,2024-07-16 05:15:00,2024-07-16 05:45:00
63422.32099,62852.56659060165,1,sl,-0.010283499665491334,0.6755407514072954,29.86360112442071,3,2024-07-16 06:30:00,2024-07-16 06:45:00
62986.59030999999,64310.11991311819,32,tp,0.019612879036699848,0.6698973876463109,29.843544409750024,3,2024-07-16 07:15:00,2024-07-16 15:15:00
66797.53325,67379.97699172894,37,tp,0.007319539680440889,0.634978824052593,32.30498570338655,3,2024-07-21 06:15:00,2024-07-21 15:30:00
67256.97104,66813.21828187171,32,sl,-0.00799787009831854,0.6651518644202964,31.32274091048582,3,2024-07-22 06:30:00,2024-07-22 14:30:00
68720.61,68163.45654895896,3,sl,-0.009407516086382847,0.6503411063271672,31.77626721616312,3,2024-07-29 14:00:00,2024-07-29 14:45:00
60717.70985,60275.11110289892,4,sl,-0.008589450609953815,0.5876650521860914,34.12640463300298,3,2024-08-11 11:00:00,2024-08-11 12:00:00
59427.823,59088.66635390705,23,sl,-0.007007034667801077,0.6716438039515171,34.13242330746884,3,2024-08-18 17:15:00,2024-08-18 23:00:00
60013.49865,59482.21084634191,2,sl,-0.010152805045687632,0.5363136812944045,33.46267546547368,3,2024-08-20 14:15:00,2024-08-20 14:45:00
60162.743409999995,61244.22850869543,31,tp,0.016675993736277553,0.6526510830757366,31.079804411486634,3,2024-08-22 02:45:00,2024-08-22 10:30:00
63603.275259999995,64386.55115538148,9,tp,0.011015024535758235,0.6469898061649744,31.55692121507917,3,2024-08-24 21:45:00,2024-08-25 00:00:00
56715.70961,56174.12599650593,14,sl,-0.010849093491348615,0.6522301860367216,29.593340115714184,3,2024-09-11 01:45:00,2024-09-11 05:15:00
74487.43953,75481.80335304876,37,tp,0.011949416080388605,0.6609106576714955,32.11888113434192,3,2024-11-07 06:00:00,2024-11-07 15:15:00
85807.23445,88863.41472380504,21,tp,0.03431681358680628,0.6662699432150639,32.34090669300264,3,2024-11-12 13:30:00,2024-11-12 18:45:00
88680.79625999999,90655.4,48,timeout,0.02086641869803173,0.6303477883533399,34.095965641779046,3,2024-11-13 21:00:00,2024-11-14 09:00:00
90406.61385,89934.92625883782,13,sl,-0.00651740137225785,0.6626680452754485,33.73925739573066,3,2024-11-16 22:45:00,2024-11-17 02:00:00
