entry_dt,exit_dt,side,result,pnl_pct
2022-01-03 15:30:00+00:00,2022-01-03 16:15:00+00:00,short,win,3.3565
2022-01-04 18:45:00+00:00,2022-01-04 19:00:00+00:00,short,loss,-2.7067
2022-01-05 12:45:00+00:00,2022-01-05 14:30:00+00:00,short,loss,-2.1486
2022-01-06 19:45:00+00:00,2022-01-06 20:30:00+00:00,long,loss,-2.1684
2022-01-08 22:45:00+00:00,2022-01-09 00:00:00+00:00,long,loss,-3.6916
2022-01-10 01:15:00+00:00,2022-01-10 04:15:00+00:00,short,loss,-2.2474
2022-01-10 04:45:00+00:00,2022-01-10 05:30:00+00:00,long,loss,-1.6955
2022-01-11 16:30:00+00:00,2022-01-11 17:15:00+00:00,long,loss,-3.2798
2022-01-13 15:45:00+00:00,2022-01-13 20:00:00+00:00,short,win,5.0106
2022-01-14 15:45:00+00:00,2022-01-15 04:15:00+00:00,long,loss,-2.815
2022-01-18 21:30:00+00:00,2022-01-19 03:30:00+00:00,long,loss,-2.1929
2022-01-19 04:45:00+00:00,2022-01-19 07:45:00+00:00,short,win,3.5461
2022-01-19 12:45:00+00:00,2022-01-19 16:00:00+00:00,long,loss,-2.3556
2022-01-20 22:00:00+00:00,2022-01-21 00:00:00+00:00,short,win,6.2259
2022-01-23 16:00:00+00:00,2022-01-23 19:30:00+00:00,short,win,5.3654
2022-01-23 23:00:00+00:00,2022-01-24 00:15:00+00:00,long,loss,-3.7961
2022-01-24 18:00:00+00:00,2022-01-24 20:45:00+00:00,long,win,12.3758
2022-01-26 20:30:00+00:00,2022-01-27 02:00:00+00:00,short,win,10.2249
2022-01-27 23:30:00+00:00,2022-01-28 08:15:00+00:00,long,loss,-3.8862
2022-01-28 09:30:00+00:00,2022-01-28 13:30:00+00:00,short,loss,-2.8976
2022-01-28 15:15:00+00:00,2022-01-28 20:45:00+00:00,long,win,6.5749
2022-01-29 16:30:00+00:00,2022-01-29 18:45:00+00:00,short,loss,-2.3235
2022-01-29 19:15:00+00:00,2022-01-29 20:30:00+00:00,long,win,3.6114
2022-02-06 07:00:00+00:00,2022-02-06 07:45:00+00:00,short,loss,-1.2133
2022-02-06 07:45:00+00:00,2022-02-06 14:30:00+00:00,long,loss,-1.296
2022-02-06 15:15:00+00:00,2022-02-06 17:15:00+00:00,short,cross_exit,-1.9872
2022-02-06 17:15:00+00:00,2022-02-06 18:45:00+00:00,long,loss,-2.0802
2022-02-08 10:45:00+00:00,2022-02-08 15:15:00+00:00,short,win,6.081
2022-02-08 21:30:00+00:00,2022-02-09 02:00:00+00:00,long,loss,-3.598
2022-02-09 03:00:00+00:00,2022-02-09 05:30:00+00:00,short,loss,-2.626
2022-02-10 03:00:00+00:00,2022-02-10 06:00:00+00:00,short,loss,-2.1084
2022-02-10 09:15:00+00:00,2022-02-10 11:15:00+00:00,long,win,3.1173
2022-02-10 14:30:00+00:00,2022-02-10 14:45:00+00:00,short,loss,-3.4453
2022-02-10 15:00:00+00:00,2022-02-10 20:15:00+00:00,long,loss,-4.47
2022-02-10 21:00:00+00:00,2022-02-11 00:15:00+00:00,short,win,7.8768
2022-02-12 17:00:00+00:00,2022-02-12 21:30:00+00:00,long,loss,-2.5596
2022-02-12 22:00:00+00:00,2022-02-13 00:30:00+00:00,short,loss,-2.5118
2022-02-14 08:30:00+00:00,2022-02-14 09:00:00+00:00,long,cross_exit,-0.6997
2022-02-14 09:00:00+00:00,2022-02-14 09:15:00+00:00,short,cross_exit,-0.7888
2022-02-14 09:15:00+00:00,2022-02-14 13:00:00+00:00,long,win,3.3048
2022-02-14 20:15:00+00:00,2022-02-14 22:00:00+00:00,short,loss,-2.4689
2022-02-14 22:15:00+00:00,2022-02-15 01:30:00+00:00,long,win,4.2119
2022-02-16 20:15:00+00:00,2022-02-16 21:45:00+00:00,long,loss,-1.9591
2022-02-21 01:00:00+00:00,2022-02-21 10:15:00+00:00,long,loss,-2.7409
2022-02-21 10:45:00+00:00,2022-02-21 11:30:00+00:00,short,win,4.2352
2022-02-21 17:00:00+00:00,2022-02-21 18:00:00+00:00,long,loss,-3.9886
2022-02-21 18:00:00+00:00,2022-02-21 18:45:00+00:00,short,loss,-4.172
2022-02-22 11:15:00+00:00,2022-02-22 14:45:00+00:00,long,win,5.872
2022-02-23 18:15:00+00:00,2022-02-23 23:15:00+00:00,short,win,4.9369
2022-02-24 16:45:00+00:00,2022-02-24 19:30:00+00:00,long,win,9.1548
2022-02-26 08:45:00+00:00,2022-02-26 11:00:00+00:00,short,loss,-2.5486
2022-02-26 15:30:00+00:00,2022-02-26 18:15:00+00:00,long,loss,-2.4319
2022-02-27 10:15:00+00:00,2022-02-27 12:45:00+00:00,long,win,3.6807
2022-03-02 14:45:00+00:00,2022-03-02 15:00:00+00:00,long,loss,-3.3459
2022-03-06 04:15:00+00:00,2022-03-06 04:30:00+00:00,short,loss,-1.7466
2022-03-06 05:00:00+00:00,2022-03-06 08:15:00+00:00,long,loss,-2.172
2022-03-07 19:00:00+00:00,2022-03-07 22:30:00+00:00,short,loss,-3.5313
2022-03-12 18:00:00+00:00,2022-03-12 18:45:00+00:00,long,cross_exit,-0.6211
2022-03-14 07:00:00+00:00,2022-03-14 09:45:00+00:00,long,win,4.0026
2022-03-14 18:30:00+00:00,2022-03-14 19:30:00+00:00,short,loss,-2.2423
2022-03-17 12:45:00+00:00,2022-03-17 14:45:00+00:00,long,loss,-2.2725
2022-03-17 17:00:00+00:00,2022-03-17 21:45:00+00:00,short,loss,-2.2082
2022-03-17 22:45:00+00:00,2022-03-18 00:00:00+00:00,long,loss,-1.5954
2022-03-18 00:45:00+00:00,2022-03-18 02:30:00+00:00,short,loss,-1.9427
2022-03-21 10:15:00+00:00,2022-03-21 12:15:00+00:00,long,loss,-1.727
2022-03-26 19:00:00+00:00,2022-03-26 19:15:00+00:00,long,cross_exit,-0.817
2022-03-26 19:15:00+00:00,2022-03-26 20:00:00+00:00,short,loss,-0.9926
2022-03-26 20:00:00+00:00,2022-03-26 21:00:00+00:00,long,loss,-1.0319
2022-03-29 17:00:00+00:00,2022-03-29 19:00:00+00:00,short,loss,-2.0479
2022-03-29 19:45:00+00:00,2022-03-29 20:45:00+00:00,long,loss,-1.8931
2022-03-30 18:00:00+00:00,2022-03-30 18:30:00+00:00,long,loss,-1.768
2022-03-30 19:15:00+00:00,2022-03-31 01:15:00+00:00,short,loss,-2.0337
2022-03-31 14:00:00+00:00,2022-03-31 15:00:00+00:00,short,loss,-2.0254
