coin,fg_buy,cooldown,sell_mode,fg_sell,tp_pct,sl_pct,hold_days,total_return,cagr,mdd,trades,win_rate,avg_hold_days,final_balance,bnh_return,vs_bnh
btc,5,0,hold,,0.2,,90.0,-24.85,-3.47,24.85,2,0.0,53.0,7515.23,542.47,-567.32
btc,5,0,hold,,0.1,,90.0,-24.85,-3.47,24.85,2,0.0,53.0,7515.23,542.47,-567.32
btc,5,0,hold,,0.2,0.15,60.0,-15.42,-2.05,15.42,2,0.0,24.0,8458.29,542.47,-557.89
btc,5,0,hold,,0.3,,90.0,-24.85,-3.47,24.85,2,0.0,53.0,7515.23,542.47,-567.32
btc,5,0,hold,,,0.15,90.0,-15.42,-2.05,15.42,2,0.0,24.0,8458.29,542.47,-557.89
btc,5,0,hold,,0.1,0.05,90.0,-9.93,-1.29,9.93,2,0.0,8.5,9006.96,542.47,-552.4
btc,5,0,hold,,0.1,0.1,90.0,-10.44,-1.36,10.44,2,0.0,24.0,8955.84,542.47,-552.92
btc,5,0,hold,,0.1,0.15,90.0,-15.42,-2.05,15.42,2,0.0,24.0,8458.29,542.47,-557.89
btc,5,0,hold,,0.2,0.05,90.0,-9.93,-1.29,9.93,2,0.0,8.5,9006.96,542.47,-552.4
btc,5,0,hold,,0.2,0.1,90.0,-10.44,-1.36,10.44,2,0.0,24.0,8955.84,542.47,-552.92
btc,5,0,hold,,0.3,0.15,90.0,-15.42,-2.05,15.42,2,0.0,24.0,8458.29,542.47,-557.89
btc,5,0,hold,,0.3,0.1,90.0,-10.44,-1.36,10.44,2,0.0,24.0,8955.84,542.47,-552.92
btc,5,0,hold,,,,180.0,-5.48,-0.69,5.48,2,0.0,98.0,9452.28,542.47,-547.95
btc,5,0,hold,,0.3,0.05,90.0,-9.93,-1.29,9.93,2,0.0,8.5,9006.96,542.47,-552.4
btc,5,0,hold,,0.1,,180.0,-5.48,-0.69,5.48,2,0.0,98.0,9452.28,542.47,-547.95
btc,5,0,hold,,0.2,,180.0,-5.48,-0.69,5.48,2,0.0,98.0,9452.28,542.47,-547.95
btc,5,0,hold,,,0.1,90.0,-10.44,-1.36,10.44,2,0.0,24.0,8955.84,542.47,-552.92
btc,5,0,hold,,0.2,0.15,90.0,-15.42,-2.05,15.42,2,0.0,24.0,8458.29,542.47,-557.89
btc,5,0,hold,,,0.05,90.0,-9.93,-1.29,9.93,2,0.0,8.5,9006.96,542.47,-552.4
btc,5,0,hold,,,0.05,180.0,-9.93,-1.29,9.93,2,0.0,8.5,9006.96,542.47,-552.4
btc,5,0,hold,,,0.15,180.0,-15.42,-2.05,15.42,2,0.0,24.0,8458.29,542.47,-557.89
btc,5,0,hold,,0.3,,180.0,-5.48,-0.69,5.48,2,0.0,98.0,9452.28,542.47,-547.95
btc,5,0,hold,,,0.1,180.0,-10.44,-1.36,10.44,2,0.0,24.0,8955.84,542.47,-552.92
btc,5,0,hold,,0.1,0.05,180.0,-9.93,-1.29,9.93,2,0.0,8.5,9006.96,542.47,-552.4
btc,5,0,hold,,0.1,0.15,180.0,-15.42,-2.05,15.42,2,0.0,24.0,8458.29,542.47,-557.89
btc,5,0,hold,,0.1,0.1,180.0,-10.44,-1.36,10.44,2,0.0,24.0,8955.84,542.47,-552.92
btc,5,0,hold,,0.2,0.05,180.0,-9.93,-1.29,9.93,2,0.0,8.5,9006.96,542.47,-552.4
btc,5,0,hold,,0.2,0.1,180.0,-10.44,-1.36,10.44,2,0.0,24.0,8955.84,542.47,-552.92
btc,5,0,hold,,0.3,0.05,180.0,-9.93,-1.29,9.93,2,0.0,8.5,9006.96,542.47,-552.4
btc,5,0,hold,,0.2,0.15,180.0,-15.42,-2.05,15.42,2,0.0,24.0,8458.29,542.47,-557.89
btc,5,0,hold,,0.3,0.1,180.0,-10.44,-1.36,10.44,2,0.0,24.0,8955.84,542.47,-552.92
btc,5,3,fg_sell,50.0,,,,-9.06,-1.17,9.06,2,0.0,40.0,9093.86,542.47,-551.53
btc,5,0,hold,,0.3,0.15,180.0,-15.42,-2.05,15.42,2,0.0,24.0,8458.29,542.47,-557.89
btc,5,3,fg_sell,60.0,,,,-3.72,-0.47,3.72,2,0.0,91.5,9627.87,542.47,-546.19
