retrace_min,retrace_max,tp_ext,sl_buf,leverage,pos_ratio,signal_type,trades,long_trades,short_trades,win_rate,return_pct,max_drawdown,calmar,final_balance,swing_window,coin,timeframe,period,n_bos
0.382,0.786,2.0,0.005,3,0.1,ob_only,52,30,22,32.7,16.46,4.37,3.77,1164.6,8,eth,1H,1y,158
0.5,0.786,1.618,0.005,3,0.2,ob_only,58,33,25,36.2,28.89,7.67,3.77,1288.92,8,eth,1H,1y,158
0.382,0.618,1.272,0.005,7,0.1,ob_only,57,34,23,47.4,34.06,9.13,3.73,1340.57,8,eth,1H,1y,158
0.5,0.786,1.618,0.005,5,0.1,ob_only,58,33,25,36.2,23.87,6.41,3.72,1238.73,8,eth,1H,1y,158
0.382,0.618,1.272,0.005,3,0.2,ob_only,57,34,23,47.4,28.88,7.85,3.68,1288.81,8,eth,1H,1y,158
0.382,0.618,1.272,0.005,5,0.1,ob_only,57,34,23,47.4,23.8,6.56,3.63,1238.04,8,eth,1H,1y,158
0.5,0.786,1.618,0.005,3,0.1,ob_only,58,33,25,36.2,14.07,3.87,3.63,1140.66,8,eth,1H,1y,158
0.382,0.618,1.272,0.005,3,0.1,ob_only,57,34,23,47.4,13.96,3.97,3.52,1139.59,8,eth,1H,1y,158
0.382,0.618,2.0,0.005,7,0.2,ob_only,47,29,18,34.0,72.41,22.12,3.27,1724.07,8,eth,1H,1y,158
0.382,0.618,2.0,0.005,5,0.2,ob_only,47,29,18,34.0,51.39,16.15,3.18,1513.87,8,eth,1H,1y,158
0.382,0.618,1.618,0.005,7,0.2,ob_only,54,31,23,38.9,73.19,23.01,3.18,1731.89,8,eth,1H,1y,158
0.382,0.618,2.0,0.005,7,0.1,ob_only,47,29,18,34.0,35.59,11.48,3.1,1355.92,8,eth,1H,1y,158
0.382,0.618,2.0,0.005,3,0.2,ob_only,47,29,18,34.0,30.37,9.89,3.07,1303.67,8,eth,1H,1y,158
0.382,0.618,2.0,0.005,5,0.1,ob_only,47,29,18,34.0,25.18,8.29,3.04,1251.76,8,eth,1H,1y,158
0.382,0.618,1.618,0.005,5,0.2,ob_only,54,31,23,38.9,51.21,16.88,3.03,1512.12,8,eth,1H,1y,158
0.382,0.618,1.272,0.002,7,0.2,ob_only,58,35,23,39.7,44.15,14.75,2.99,1441.49,8,eth,1H,1y,158
0.382,0.618,2.0,0.005,3,0.1,ob_only,47,29,18,34.0,14.93,5.02,2.97,1149.27,8,eth,1H,1y,158
0.382,0.618,1.272,0.002,5,0.2,ob_only,58,35,23,39.7,31.75,10.74,2.96,1317.45,8,eth,1H,1y,158
0.382,0.618,1.272,0.002,7,0.1,ob_only,58,35,23,39.7,22.24,7.63,2.92,1222.42,8,eth,1H,1y,158
0.382,0.618,1.618,0.005,7,0.1,ob_only,54,31,23,38.9,35.13,12.05,2.91,1351.29,8,eth,1H,1y,158
0.382,0.618,1.272,0.002,3,0.2,ob_only,58,35,23,39.7,19.06,6.57,2.9,1190.56,8,eth,1H,1y,158
0.382,0.618,1.272,0.002,5,0.1,ob_only,58,35,23,39.7,15.87,5.5,2.88,1158.67,8,eth,1H,1y,158
0.382,0.618,1.618,0.005,3,0.2,ob_only,54,31,23,38.9,29.88,10.4,2.87,1298.81,8,eth,1H,1y,158
0.382,0.618,1.272,0.002,3,0.1,ob_only,58,35,23,39.7,9.49,3.33,2.85,1094.94,8,eth,1H,1y,158
0.382,0.618,1.618,0.005,5,0.1,ob_only,54,31,23,38.9,24.7,8.72,2.83,1247.0,8,eth,1H,1y,158
0.382,0.618,1.618,0.005,3,0.1,ob_only,54,31,23,38.9,14.56,5.3,2.75,1145.63,8,eth,1H,1y,158
0.5,0.786,1.618,0.002,3,0.1,both,67,43,24,25.4,8.26,3.18,2.59,1082.64,8,eth,1H,1y,158
0.5,0.786,1.618,0.002,5,0.1,both,67,43,24,25.4,13.61,5.31,2.56,1136.07,8,eth,1H,1y,158
0.5,0.786,1.618,0.002,3,0.2,both,67,43,24,25.4,16.22,6.37,2.55,1162.18,8,eth,1H,1y,158
0.5,0.786,1.618,0.002,7,0.1,both,67,43,24,25.4,18.78,7.43,2.53,1187.84,8,eth,1H,1y,158
0.5,0.786,1.618,0.002,5,0.2,both,67,43,24,25.4,26.18,10.59,2.47,1261.8,8,eth,1H,1y,158
0.382,0.786,1.272,0.005,7,0.2,ob_only,63,34,29,41.3,58.98,24.67,2.39,1589.75,8,eth,1H,1y,158
0.5,0.786,1.618,0.002,7,0.2,both,67,43,24,25.4,35.22,14.78,2.38,1352.21,8,eth,1H,1y,158
0.382,0.786,1.272,0.005,5,0.2,ob_only,63,34,29,41.3,41.63,18.17,2.29,1416.33,8,eth,1H,1y,158
0.382,0.786,1.272,0.005,7,0.1,ob_only,63,34,29,41.3,28.76,13.01,2.21,1287.62,8,eth,1H,1y,158
0.5,0.786,1.272,0.002,3,0.1,ob_only,58,33,25,31.0,7.89,3.63,2.18,1078.95,8,eth,1H,1y,158
0.5,0.786,1.272,0.002,5,0.2,ob_only,58,33,25,31.0,25.79,11.85,2.18,1257.94,8,eth,1H,1y,158
0.382,0.786,1.272,0.005,3,0.2,ob_only,63,34,29,41.3,24.52,11.24,2.18,1245.25,8,eth,1H,1y,158
0.5,0.786,1.272,0.002,7,0.1,ob_only,58,33,25,31.0,18.25,8.37,2.18,1182.49,8,eth,1H,1y,158
0.5,0.786,1.272,0.002,3,0.2,ob_only,58,33,25,31.0,15.69,7.19,2.18,1156.87,8,eth,1H,1y,158
0.5,0.786,1.272,0.002,5,0.1,ob_only,58,33,25,31.0,13.11,6.01,2.18,1131.05,8,eth,1H,1y,158
0.5,0.786,1.272,0.002,7,0.2,ob_only,58,33,25,31.0,35.43,16.39,2.16,1354.28,8,eth,1H,1y,158
0.382,0.786,1.272,0.005,5,0.1,ob_only,63,34,29,41.3,20.32,9.44,2.15,1203.23,8,eth,1H,1y,158
0.382,0.786,1.272,0.005,3,0.1,ob_only,63,34,29,41.3,12.04,5.75,2.09,1120.44,8,eth,1H,1y,158
0.382,0.786,1.272,0.002,5,0.2,ob_only,64,35,29,34.4,27.98,14.58,1.92,1279.85,8,eth,1H,1y,158
0.382,0.786,1.272,0.002,7,0.2,ob_only,64,35,29,34.4,38.26,19.96,1.92,1382.57,8,eth,1H,1y,158
0.382,0.786,1.272,0.002,3,0.2,ob_only,64,35,29,34.4,17.07,8.94,1.91,1170.67,8,eth,1H,1y,158
0.382,0.786,1.272,0.002,7,0.1,ob_only,64,35,29,34.4,19.84,10.37,1.91,1198.44,8,eth,1H,1y,158
0.382,0.786,1.272,0.002,5,0.1,ob_only,64,35,29,34.4,14.26,7.49,1.9,1142.64,8,eth,1H,1y,158
0.382,0.786,1.272,0.005,7,0.2,ob_only,122,67,55,40.2,55.95,29.48,1.9,1559.53,5,eth,1H,1y,234
0.382,0.786,1.272,0.002,3,0.1,ob_only,64,35,29,34.4,8.6,4.54,1.89,1085.98,8,eth,1H,1y,158
0.5,0.786,1.618,0.005,3,0.1,both,65,41,24,30.8,8.27,4.39,1.89,1082.67,8,eth,1H,1y,158
0.5,0.786,1.618,0.005,3,0.2,both,65,41,24,30.8,16.14,8.65,1.87,1161.43,8,eth,1H,1y,158
0.5,0.786,1.618,0.005,5,0.1,both,65,41,24,30.8,13.57,7.24,1.87,1135.68,8,eth,1H,1y,158
0.5,0.786,1.618,0.005,7,0.1,both,65,41,24,30.8,18.66,10.04,1.86,1186.62,8,eth,1H,1y,158
0.382,0.786,1.272,0.005,5,0.2,ob_only,122,67,55,40.2,40.12,21.88,1.83,1401.17,5,eth,1H,1y,234
0.5,0.786,1.618,0.005,5,0.2,both,65,41,24,30.8,25.85,14.14,1.83,1258.48,8,eth,1H,1y,158
0.382,0.786,1.272,0.005,7,0.1,ob_only,122,67,55,40.2,27.98,15.77,1.78,1279.83,5,eth,1H,1y,234
0.5,0.786,1.618,0.005,7,0.2,both,65,41,24,30.8,34.43,19.41,1.77,1344.27,8,eth,1H,1y,158
0.382,0.786,1.272,0.005,3,0.2,ob_only,122,67,55,40.2,23.93,13.64,1.75,1239.3,5,eth,1H,1y,234
0.382,0.786,1.272,0.005,5,0.1,ob_only,122,67,55,40.2,19.88,11.48,1.73,1198.84,5,eth,1H,1y,234
0.5,0.786,1.272,0.005,7,0.1,ob_only,58,33,25,36.2,17.59,10.36,1.7,1175.87,8,eth,1H,1y,158
0.5,0.786,1.272,0.005,5,0.2,ob_only,58,33,25,36.2,24.68,14.56,1.7,1246.78,8,eth,1H,1y,158
0.5,0.786,1.272,0.005,3,0.2,ob_only,58,33,25,36.2,15.15,8.93,1.7,1151.52,8,eth,1H,1y,158
0.382,0.786,1.272,0.005,3,0.1,ob_only,122,67,55,40.2,11.84,7.02,1.69,1118.42,5,eth,1H,1y,234
0.5,0.786,1.272,0.005,5,0.1,ob_only,58,33,25,36.2,12.69,7.48,1.69,1126.86,8,eth,1H,1y,158
0.5,0.786,1.272,0.005,3,0.1,ob_only,58,33,25,36.2,7.67,4.54,1.69,1076.73,8,eth,1H,1y,158
0.5,0.786,1.272,0.005,7,0.2,ob_only,58,33,25,36.2,33.53,19.92,1.68,1335.26,8,eth,1H,1y,158
0.5,0.786,2.0,0.005,3,0.1,both,54,37,17,24.1,7.86,4.84,1.62,1078.58,8,eth,1H,1y,158
0.5,0.786,2.0,0.005,5,0.1,both,54,37,17,24.1,12.72,8.03,1.59,1127.24,8,eth,1H,1y,158
0.5,0.786,2.0,0.005,3,0.2,both,54,37,17,24.1,15.03,9.61,1.56,1150.35,8,eth,1H,1y,158
0.382,0.618,1.618,0.002,5,0.2,ob_only,55,32,23,30.9,29.25,18.78,1.56,1292.47,8,eth,1H,1y,158
0.382,0.618,1.618,0.002,7,0.1,ob_only,55,32,23,30.9,20.93,13.5,1.55,1209.33,8,eth,1H,1y,158
0.382,0.618,1.618,0.002,7,0.2,ob_only,55,32,23,30.9,39.43,25.52,1.55,1394.31,8,eth,1H,1y,158
0.382,0.618,1.618,0.002,3,0.2,ob_only,55,32,23,30.9,18.06,11.67,1.55,1180.56,8,eth,1H,1y,158
0.382,0.618,1.618,0.002,5,0.1,ob_only,55,32,23,30.9,15.13,9.81,1.54,1151.34,8,eth,1H,1y,158
0.5,0.786,2.0,0.005,7,0.1,both,54,37,17,24.1,17.26,11.18,1.54,1172.59,8,eth,1H,1y,158
0.382,0.786,2.0,0.002,7,0.2,ob_only,54,32,22,25.9,48.89,32.02,1.53,1488.89,8,eth,1H,1y,158
0.382,0.618,1.618,0.002,3,0.1,ob_only,55,32,23,30.9,9.17,5.99,1.53,1091.7,8,eth,1H,1y,158
0.382,0.786,2.0,0.002,5,0.2,ob_only,54,32,22,25.9,36.03,23.96,1.5,1360.31,8,eth,1H,1y,158
0.382,0.786,2.0,0.002,7,0.1,ob_only,54,32,22,25.9,25.66,17.38,1.48,1256.63,8,eth,1H,1y,158
0.5,0.786,2.0,0.005,5,0.2,both,54,37,17,24.1,23.39,15.83,1.48,1233.85,8,eth,1H,1y,158
0.382,0.786,2.0,0.002,3,0.2,ob_only,54,32,22,25.9,22.1,15.07,1.47,1220.99,8,eth,1H,1y,158
0.382,0.786,2.0,0.002,5,0.1,ob_only,54,32,22,25.9,18.49,12.71,1.45,1184.9,8,eth,1H,1y,158
0.382,0.618,1.618,0.005,3,0.1,ob_only,103,58,45,36.9,8.78,6.15,1.43,1087.8,5,eth,1H,1y,234
0.382,0.786,2.0,0.002,3,0.1,ob_only,54,32,22,25.9,11.17,7.81,1.43,1111.65,8,eth,1H,1y,158
0.5,0.786,2.0,0.005,3,0.1,fvg_only,20,20,0,20.0,1.56,1.09,1.43,1015.63,5,eth,1H,1y,234
0.382,0.618,1.618,0.005,5,0.1,ob_only,103,58,45,36.9,14.45,10.18,1.42,1144.52,5,eth,1H,1y,234
0.382,0.618,1.618,0.005,7,0.1,ob_only,103,58,45,36.9,19.92,14.14,1.41,1199.22,5,eth,1H,1y,234
0.382,0.618,1.618,0.005,3,0.2,ob_only,103,58,45,36.9,17.22,12.17,1.41,1172.15,5,eth,1H,1y,234
0.5,0.786,2.0,0.005,5,0.1,fvg_only,20,20,0,20.0,2.57,1.82,1.41,1025.67,5,eth,1H,1y,234
0.5,0.786,2.0,0.005,7,0.1,fvg_only,20,20,0,20.0,3.54,2.54,1.4,1035.4,5,eth,1H,1y,234
0.5,0.786,2.0,0.005,3,0.2,fvg_only,20,20,0,20.0,3.06,2.18,1.4,1030.57,5,eth,1H,1y,234
0.382,0.618,1.618,0.005,5,0.2,ob_only,103,58,45,36.9,27.65,19.93,1.39,1276.46,5,eth,1H,1y,234
0.5,0.786,2.0,0.005,7,0.2,both,54,37,17,24.1,30.19,21.88,1.38,1301.87,8,eth,1H,1y,158
0.5,0.786,2.0,0.005,5,0.2,fvg_only,20,20,0,20.0,4.94,3.61,1.37,1049.41,5,eth,1H,1y,234
0.382,0.618,1.618,0.005,7,0.2,ob_only,103,58,45,36.9,36.81,27.35,1.35,1368.09,5,eth,1H,1y,234
0.5,0.786,2.0,0.005,7,0.2,fvg_only,20,20,0,20.0,6.7,5.02,1.34,1067.01,5,eth,1H,1y,234
0.382,0.786,1.618,0.002,3,0.1,both,78,52,26,24.4,5.77,4.31,1.34,1057.65,8,eth,1H,1y,158
