rsi_thresh,sl_atr_mult,tp_mode,leverage,pos_ratio,use_ema200,trades,win_rate,return_pct,max_drawdown,calmar,timeframe
30,1.0,bb_mid,3,0.1,False,105,27.6,-16.83,22.28,-0.76,4h
45,2.0,atr_2x,3,0.1,False,208,47.1,-16.85,30.09,-0.56,4h
35,1.5,bb_mid,7,0.1,True,23,30.4,-17.13,19.24,-0.89,4h
40,2.0,bb_mid,3,0.1,False,210,57.6,-17.38,25.37,-0.69,4h
35,1.5,atr_2x,7,0.1,True,23,26.1,-17.93,24.35,-0.74,4h
35,1.5,atr_3x,3,0.1,True,20,5.0,-18.02,18.02,-1.0,4h
35,1.0,bb_mid,5,0.3,True,24,25.0,-18.07,26.15,-0.69,4h
35,1.5,bb_mid,3,0.1,False,164,43.3,-18.67,25.53,-0.73,4h
40,2.0,bb_mid,5,0.2,True,42,50.0,-18.72,37.47,-0.5,4h
45,1.0,atr_2x,3,0.1,False,263,29.3,-19.39,29.42,-0.66,4h
30,2.0,atr_2x,3,0.1,False,89,43.8,-19.86,30.66,-0.65,4h
40,2.0,atr_3x,3,0.2,True,38,31.6,-20.08,33.76,-0.59,4h
40,1.5,atr_3x,7,0.2,True,39,30.8,-20.38,48.27,-0.42,4h
45,1.5,bb_mid,3,0.2,False,247,51.8,-20.67,48.34,-0.43,4h
35,2.0,atr_2x,5,0.1,True,22,27.3,-20.7,21.38,-0.97,4h
45,2.0,atr_3x,3,0.1,False,193,38.9,-20.72,29.88,-0.69,4h
40,1.5,bb_mid,5,0.1,False,225,50.7,-20.86,42.67,-0.49,4h
35,2.0,bb_mid,3,0.3,True,23,43.5,-21.04,21.04,-1.0,4h
35,1.5,bb_mid,3,0.3,True,23,30.4,-21.86,24.12,-0.91,4h
35,1.0,atr_2x,7,0.2,True,24,20.8,-21.91,31.53,-0.69,4h
40,1.5,atr_2x,3,0.1,False,211,37.4,-22.13,32.02,-0.69,4h
35,1.0,atr_3x,5,0.1,True,23,4.3,-22.16,22.16,-1.0,4h
30,1.5,bb_mid,5,0.1,False,97,42.3,-22.3,38.52,-0.58,4h
