rsi_long,rsi_short,sl_mult,tp_mode,leverage,pos_ratio,use_ema200,trades,trades_per_yr,long_trades,short_trades,win_rate,long_win_rate,short_win_rate,return_pct,max_drawdown,calmar
25,65,2.0,bb_mid,5,0.3,False,42,10.5,5,37,45.2,60.0,43.2,-82.43,89.06,-0.93
25,65,2.0,bb_mid,3,0.5,False,42,10.5,5,37,45.2,60.0,43.2,-82.43,89.06,-0.93
30,65,3.0,atr_3x,5,0.3,False,42,10.5,11,31,50.0,63.6,45.2,-82.57,93.81,-0.88
30,65,3.0,atr_3x,3,0.5,False,42,10.5,11,31,50.0,63.6,45.2,-82.57,93.81,-0.88
25,65,1.5,atr_2x,5,0.5,False,51,12.8,5,46,43.1,60.0,41.3,-82.61,90.22,-0.92
25,65,3.0,atr_2x,3,0.5,False,38,9.5,5,33,55.3,60.0,54.5,-83.52,90.79,-0.92
25,65,3.0,atr_2x,5,0.3,False,38,9.5,5,33,55.3,60.0,54.5,-83.52,90.79,-0.92
30,65,3.0,atr_2x,5,0.3,False,44,11.0,11,33,56.8,63.6,54.5,-83.76,91.04,-0.92
30,65,3.0,atr_2x,3,0.5,False,44,11.0,11,33,56.8,63.6,54.5,-83.76,91.04,-0.92
35,75,2.0,atr_3x,5,0.5,False,44,11.0,24,20,47.7,50.0,45.0,-84.9,93.28,-0.91
25,65,3.0,atr_3x,3,0.5,False,36,9.0,5,31,47.2,60.0,45.2,-86.52,95.21,-0.91
25,65,3.0,atr_3x,5,0.3,False,36,9.0,5,31,47.2,60.0,45.2,-86.52,95.21,-0.91
35,65,2.0,bb_mid,5,0.5,False,63,15.8,26,37,55.6,73.1,43.2,-86.84,97.09,-0.89
30,65,2.0,bb_mid,3,0.5,False,50,12.5,13,37,46.0,53.8,43.2,-87.09,90.77,-0.96
30,65,2.0,bb_mid,5,0.3,False,50,12.5,13,37,46.0,53.8,43.2,-87.09,90.77,-0.96
35,65,1.5,atr_3x,5,0.5,False,69,17.2,26,43,42.0,50.0,37.2,-87.21,92.55,-0.94
30,75,2.0,atr_2x,5,0.5,False,33,8.2,13,20,48.5,53.8,45.0,-87.65,93.27,-0.94
35,75,3.0,bb_mid,5,0.5,False,41,10.2,23,18,65.9,78.3,50.0,-88.51,99.0,-0.89
35,75,3.0,atr_3x,5,0.5,False,37,9.2,19,18,56.8,63.2,50.0,-88.88,99.0,-0.9
30,65,1.5,bb_mid,5,0.5,False,57,14.2,14,43,43.9,57.1,39.5,-89.24,92.58,-0.96
25,65,1.5,bb_mid,5,0.5,False,48,12.0,5,43,41.7,60.0,39.5,-89.59,93.33,-0.96
25,70,2.0,atr_2x,5,0.5,False,35,8.8,5,30,48.6,60.0,46.7,-89.7,95.47,-0.94
30,65,3.0,bb_mid,5,0.3,False,42,10.5,11,31,57.1,72.7,51.6,-89.84,93.64,-0.96
