retrace_min,retrace_max,tp_ext,sl_buf,leverage,pos_ratio,signal_type,trades,win_rate,return_pct,max_drawdown,calmar,final_balance,swing_window,coin,timeframe,n_bos,n_zones
0.5,0.786,1.272,0.002,3,0.2,ob_only,58,27.6,57.47,20.53,2.8,1574.73,5,sol,4H,124,258
0.382,0.786,1.618,0.005,3,0.2,ob_only,62,27.4,55.43,19.83,2.79,1554.26,5,sol,4H,124,258
0.5,0.786,1.618,0.005,7,0.1,ob_only,55,25.5,45.84,16.47,2.78,1458.42,5,sol,4H,124,258
0.382,0.786,1.618,0.005,5,0.1,ob_only,62,27.4,46.26,16.71,2.77,1462.62,5,sol,4H,124,258
0.382,0.786,1.618,0.005,7,0.2,ob_only,62,27.4,116.22,42.07,2.76,2162.19,5,sol,4H,124,258
0.5,0.786,1.272,0.002,7,0.1,both,70,24.3,69.57,25.6,2.72,1695.7,5,sol,4H,124,258
0.382,0.786,1.272,0.002,7,0.1,ob_only,65,29.2,77.13,28.32,2.72,1771.3,5,sol,4H,124,258
0.5,0.786,1.272,0.002,5,0.1,ob_only,58,27.6,47.22,17.41,2.71,1472.25,5,sol,4H,124,258
0.382,0.786,1.618,0.005,3,0.1,ob_only,62,27.4,27.64,10.24,2.7,1276.35,5,sol,4H,124,258
0.5,0.786,1.618,0.005,5,0.2,ob_only,55,25.5,62.53,23.22,2.69,1625.28,5,sol,4H,124,258
0.382,0.786,2.0,0.002,7,0.1,ob_only,62,21.0,85.91,32.31,2.66,1859.13,5,sol,4H,124,258
0.382,0.786,1.272,0.002,3,0.2,ob_only,65,29.2,65.27,24.79,2.63,1652.67,5,sol,4H,124,258
0.5,0.786,1.272,0.002,3,0.2,both,70,24.3,58.85,22.36,2.63,1588.46,5,sol,4H,124,258
0.382,0.786,2.0,0.002,3,0.2,ob_only,62,21.0,73.45,28.35,2.59,1734.47,5,sol,4H,124,258
0.5,0.786,1.272,0.002,5,0.1,both,70,24.3,48.33,18.99,2.54,1483.29,5,sol,4H,124,258
0.5,0.786,2.0,0.002,7,0.2,both,65,18.5,128.06,50.37,2.54,2280.58,5,sol,4H,124,258
0.5,0.786,1.272,0.002,3,0.1,ob_only,58,27.6,27.44,10.81,2.54,1274.45,5,sol,4H,124,258
0.382,0.786,1.272,0.002,5,0.1,ob_only,65,29.2,53.6,21.1,2.54,1535.98,5,sol,4H,124,258
0.5,0.786,1.618,0.005,7,0.2,ob_only,55,25.5,80.03,31.81,2.52,1800.34,5,sol,4H,124,258
0.382,0.786,2.0,0.002,5,0.1,ob_only,62,21.0,60.87,24.18,2.52,1608.7,5,sol,4H,124,258
0.382,0.786,2.0,0.005,5,0.2,both,76,19.7,103.84,42.18,2.46,2038.44,5,sol,4H,124,258
0.5,0.786,2.0,0.002,5,0.2,both,65,18.5,96.02,38.98,2.46,1960.2,5,sol,4H,124,258
0.382,0.786,2.0,0.005,7,0.1,both,76,19.7,76.1,31.52,2.41,1761.04,5,sol,4H,124,258
0.382,0.786,2.0,0.005,7,0.2,both,76,19.7,130.09,54.17,2.4,2300.95,5,sol,4H,124,258
0.382,0.786,2.0,0.005,3,0.2,both,76,19.7,65.78,27.61,2.38,1657.76,5,sol,4H,124,258
0.382,0.786,1.272,0.005,7,0.2,both,84,26.2,117.09,49.31,2.37,2170.85,5,sol,4H,124,258
0.5,0.786,1.272,0.002,3,0.1,both,70,24.3,28.05,11.84,2.37,1280.53,5,sol,4H,124,258
0.382,0.786,2.0,0.002,3,0.1,ob_only,62,21.0,35.81,15.2,2.36,1358.15,5,sol,4H,124,258
0.382,0.786,1.272,0.005,5,0.2,both,84,26.2,88.71,37.78,2.35,1887.05,5,sol,4H,124,258
0.5,0.786,2.0,0.002,7,0.1,both,65,18.5,68.23,28.99,2.35,1682.26,5,sol,4H,124,258
0.382,0.786,1.272,0.002,3,0.1,ob_only,65,29.2,31.07,13.21,2.35,1310.66,5,sol,4H,124,258
0.382,0.786,2.0,0.005,5,0.1,both,76,19.7,55.08,23.51,2.34,1550.79,5,sol,4H,124,258
0.5,0.786,1.618,0.005,3,0.2,both,65,23.1,41.74,17.91,2.33,1417.38,5,sol,4H,124,258
0.5,0.786,1.618,0.005,5,0.1,both,65,23.1,35.07,15.06,2.33,1350.75,5,sol,4H,124,258
0.5,0.786,1.618,0.005,7,0.1,both,65,23.1,48.19,20.7,2.33,1481.92,5,sol,4H,124,258
0.5,0.786,1.618,0.005,3,0.1,both,65,23.1,21.27,9.19,2.31,1212.74,5,sol,4H,124,258
0.5,0.786,2.0,0.002,3,0.2,both,65,18.5,58.53,25.36,2.31,1585.29,5,sol,4H,124,258
0.5,0.786,1.618,0.005,5,0.2,both,65,23.1,65.93,28.72,2.3,1659.28,5,sol,4H,124,258
0.5,0.786,2.0,0.002,7,0.2,ob_only,55,20.0,107.43,47.13,2.28,2074.28,5,sol,4H,124,258
0.5,0.786,2.0,0.002,5,0.2,ob_only,55,20.0,82.49,36.16,2.28,1824.88,5,sol,4H,124,258
