rsi_thresh,vol_mult,sl_atr_mult,tp_mode,leverage,pos_ratio,use_ema200,trades,win_rate,return_pct,max_drawdown,calmar,timeframe
35,2.0,1.0,atr_2x,7,0.2,False,460,27.6,-79.78,82.1,-0.97,1h
30,2.0,1.0,atr_2x,7,0.3,False,303,26.4,-79.84,80.71,-0.99,1h
35,1.2,1.5,atr_3x,7,0.2,False,583,31.4,-80.11,86.21,-0.93,1h
30,2.0,1.5,bb_mid,7,0.2,False,296,37.5,-80.3,80.28,-1.0,1h
30,2.0,2.0,atr_2x,7,0.2,False,279,40.5,-80.6,81.24,-0.99,1h
35,2.0,2.0,atr_3x,5,0.3,False,397,38.0,-80.7,81.97,-0.98,1h
30,1.5,2.0,atr_2x,5,0.3,False,340,41.8,-80.79,82.01,-0.99,1h
35,2.0,1.0,bb_mid,7,0.2,False,467,30.6,-81.17,82.32,-0.99,1h
35,2.0,1.5,atr_2x,7,0.2,False,432,36.8,-81.2,82.68,-0.98,1h
35,1.2,2.0,atr_3x,5,0.3,False,536,38.6,-81.34,88.87,-0.92,1h
30,1.2,1.5,bb_mid,5,0.3,False,385,41.6,-82.01,82.57,-0.99,1h
30,1.5,1.0,atr_3x,7,0.2,False,369,19.5,-82.14,82.14,-1.0,1h
35,2.0,1.0,atr_2x,5,0.3,False,460,27.6,-82.23,84.4,-0.97,1h
35,1.5,1.5,bb_mid,5,0.3,False,575,44.3,-82.33,84.55,-0.97,1h
35,2.0,2.0,atr_2x,7,0.2,False,414,43.7,-82.36,84.03,-0.98,1h
35,1.5,1.0,bb_mid,7,0.2,False,610,33.1,-82.43,83.9,-0.98,1h
30,1.5,2.0,atr_3x,7,0.2,False,330,33.6,-82.51,87.19,-0.95,1h
30,2.0,1.5,bb_mid,5,0.3,False,296,37.5,-82.72,82.7,-1.0,1h
35,1.2,1.5,atr_3x,5,0.3,False,583,31.4,-82.96,88.37,-0.94,1h
30,2.0,2.0,atr_2x,5,0.3,False,279,40.5,-83.08,83.68,-0.99,1h
35,2.0,1.0,bb_mid,5,0.3,False,467,30.6,-83.52,84.59,-0.99,1h
35,2.0,1.5,atr_2x,5,0.3,False,432,36.8,-83.67,85.03,-0.98,1h
35,1.5,1.0,atr_2x,7,0.3,False,600,30.5,-83.69,87.39,-0.96,1h
35,1.2,1.5,bb_mid,7,0.2,False,628,45.1,-83.72,85.54,-0.98,1h
30,2.0,1.0,bb_mid,7,0.3,False,306,27.8,-83.86,83.86,-1.0,1h
30,1.2,2.0,atr_2x,7,0.2,False,362,42.3,-84.04,85.0,-0.99,1h
30,1.2,1.0,atr_3x,7,0.3,False,403,21.8,-84.33,84.76,-0.99,1h
30,1.5,1.0,atr_3x,5,0.3,False,369,19.5,-84.5,84.5,-1.0,1h
35,1.5,1.0,bb_mid,5,0.3,False,610,33.1,-84.76,86.11,-0.98,1h
