rsi_thresh,vol_mult,sl_atr_mult,tp_mode,leverage,pos_ratio,use_ema200,trades,win_rate,return_pct,max_drawdown,calmar,timeframe
30,2.0,1.5,atr_2x,5,0.3,True,11,54.5,19.2,4.84,3.97,1h
30,2.0,2.0,atr_3x,3,0.3,True,11,54.5,19.17,3.81,5.04,1h
30,1.5,2.0,atr_3x,7,0.2,True,15,46.7,19.04,6.24,3.05,1h
30,1.2,2.0,atr_3x,7,0.2,True,15,46.7,19.04,6.24,3.05,1h
30,1.2,2.0,bb_mid,7,0.3,True,15,66.7,18.92,10.3,1.84,1h
30,1.5,2.0,bb_mid,7,0.3,True,15,66.7,18.92,10.3,1.84,1h
30,2.0,1.0,atr_3x,7,0.1,True,11,54.5,18.91,1.58,12.01,1h
35,1.2,1.5,atr_3x,5,0.2,True,47,34.0,18.89,15.87,1.19,1h
35,1.5,1.5,atr_2x,3,0.3,True,47,46.8,18.81,8.64,2.18,1h
35,1.2,2.0,atr_3x,7,0.2,True,43,41.9,18.77,18.73,1.0,1h
30,1.5,2.0,atr_2x,7,0.3,True,15,53.3,18.69,9.35,2.0,1h
30,1.2,2.0,atr_2x,7,0.3,True,15,53.3,18.69,9.35,2.0,1h
30,1.2,1.5,atr_3x,5,0.2,True,15,46.7,18.38,3.38,5.44,1h
30,1.5,1.5,atr_3x,5,0.2,True,15,46.7,18.38,3.38,5.44,1h
30,1.5,1.0,atr_3x,5,0.3,True,15,33.3,18.1,9.46,1.91,1h
30,1.2,1.0,atr_3x,5,0.3,True,15,33.3,18.1,9.46,1.91,1h
35,1.5,1.5,atr_3x,5,0.2,True,44,34.1,18.03,12.96,1.39,1h
30,2.0,1.0,bb_mid,7,0.2,True,11,63.6,18.0,1.91,9.4,1h
30,1.2,1.5,bb_mid,5,0.3,True,15,66.7,17.92,5.26,3.4,1h
30,1.5,1.5,bb_mid,5,0.3,True,15,66.7,17.92,5.26,3.4,1h
30,2.0,1.5,atr_2x,7,0.2,True,11,54.5,17.9,4.52,3.96,1h
35,1.2,1.0,atr_3x,5,0.2,True,51,25.5,17.66,13.54,1.3,1h
35,1.5,2.0,atr_3x,7,0.3,True,41,41.5,17.66,27.05,0.65,1h
35,1.2,2.0,bb_mid,5,0.3,True,47,61.7,17.52,17.99,0.97,1h
35,2.0,1.5,atr_3x,5,0.3,True,28,35.7,17.37,13.38,1.3,1h
35,1.2,1.5,atr_3x,3,0.3,True,47,34.0,17.2,14.33,1.2,1h
30,1.2,1.0,atr_3x,7,0.2,True,15,33.3,16.94,8.85,1.91,1h
30,1.5,1.0,atr_3x,7,0.2,True,15,33.3,16.94,8.85,1.91,1h
30,2.0,1.5,atr_3x,7,0.1,True,11,54.5,16.84,2.27,7.41,1h
30,1.2,1.5,bb_mid,7,0.2,True,15,66.7,16.69,4.92,3.39,1h
30,1.5,1.5,bb_mid,7,0.2,True,15,66.7,16.69,4.92,3.39,1h
25,1.5,1.5,atr_3x,7,0.3,True,2,100.0,16.65,0.11,158.52,1h
25,1.5,1.0,atr_3x,7,0.3,True,2,100.0,16.65,0.11,158.52,1h
25,1.5,2.0,atr_3x,7,0.3,True,2,100.0,16.65,0.11,158.52,1h
35,1.5,1.0,atr_3x,5,0.2,True,46,23.9,16.6,12.41,1.34,1h
35,1.2,2.0,bb_mid,7,0.2,True,47,61.7,16.6,16.84,0.99,1h
30,1.5,1.5,atr_3x,3,0.3,True,15,46.7,16.51,3.04,5.43,1h
30,1.2,1.5,atr_3x,3,0.3,True,15,46.7,16.51,3.04,5.43,1h
35,2.0,1.5,atr_3x,7,0.2,True,28,35.7,16.46,12.54,1.31,1h
35,1.2,1.0,atr_2x,5,0.2,True,53,35.8,16.45,9.39,1.75,1h
30,2.0,2.0,bb_mid,7,0.3,True,11,63.6,16.45,6.22,2.64,1h
35,1.5,1.0,atr_2x,5,0.2,True,49,34.7,16.44,8.45,1.95,1h
