fast_ema,slow_ema,tp_pct,sl_capital,sl_price_pct,leverage,pos_ratio,trades,win_rate,return_pct,max_drawdown,calmar,timeframe
9,21,5.0,1.0,0.3333,3,0.1,3552,13.8,-75.95,76.18,-1.0,15m
12,50,5.0,3.0,0.6,5,0.1,1918,16.5,-75.99,76.84,-0.99,15m
5,50,2.0,2.0,0.6667,3,0.1,3017,20.9,-76.27,76.44,-1.0,15m
9,21,3.0,1.0,0.3333,3,0.1,3552,14.3,-76.48,76.62,-1.0,15m
9,21,3.0,3.0,1.0,3,0.1,3552,24.7,-76.63,76.75,-1.0,15m
12,50,5.0,1.0,0.1429,7,0.1,1918,4.7,-76.82,77.87,-0.99,15m
12,50,2.0,3.0,0.6,5,0.1,1918,20.8,-76.85,77.12,-1.0,15m
12,50,3.0,3.0,0.6,5,0.1,1918,18.0,-77.06,77.5,-0.99,15m
5,26,5.0,2.0,0.6667,3,0.1,4239,21.0,-77.15,77.33,-1.0,15m
9,21,2.0,3.0,1.0,3,0.1,3552,26.5,-77.23,77.32,-1.0,15m
12,50,5.0,2.0,0.2857,7,0.1,1918,9.4,-77.49,78.91,-0.98,15m
9,50,5.0,1.0,0.1429,7,0.1,2254,5.3,-77.5,78.3,-0.99,15m
9,50,3.0,2.0,0.4,5,0.1,2254,14.5,-77.85,77.99,-1.0,15m
12,26,2.0,1.0,0.2,5,0.1,2724,10.5,-77.91,77.99,-1.0,15m
9,21,2.0,1.0,0.3333,3,0.1,3552,15.3,-77.98,78.09,-1.0,15m
12,50,3.0,1.0,0.3333,3,0.2,1918,11.8,-78.03,78.35,-1.0,15m
12,50,2.0,1.0,0.3333,3,0.2,1918,13.9,-78.5,78.5,-1.0,15m
5,26,5.0,1.0,0.3333,3,0.1,4239,15.1,-78.68,78.92,-1.0,15m
9,21,3.0,2.0,0.6667,3,0.1,3552,21.7,-78.72,78.83,-1.0,15m
12,50,3.0,1.0,0.1429,7,0.1,1918,5.4,-78.73,79.22,-0.99,15m
9,21,2.0,2.0,0.6667,3,0.1,3552,23.5,-78.83,78.92,-1.0,15m
12,26,3.0,1.0,0.2,5,0.1,2724,9.1,-78.94,79.12,-1.0,15m
5,26,3.0,1.0,0.3333,3,0.1,4239,15.5,-79.27,79.58,-1.0,15m
12,50,2.0,1.0,0.1429,7,0.1,1918,6.5,-79.28,79.38,-1.0,15m
5,26,3.0,3.0,1.0,3,0.1,4239,23.7,-79.35,79.46,-1.0,15m
12,50,3.0,2.0,0.2857,7,0.1,1918,10.5,-80.11,80.52,-0.99,15m
12,26,5.0,1.0,0.2,5,0.1,2724,8.6,-80.22,80.58,-1.0,15m
5,26,3.0,2.0,0.6667,3,0.1,4239,21.5,-80.42,80.56,-1.0,15m
12,26,5.0,2.0,0.4,5,0.1,2724,15.4,-80.44,81.13,-0.99,15m
5,26,2.0,1.0,0.3333,3,0.1,4239,16.5,-80.54,80.77,-1.0,15m
9,50,5.0,1.0,0.3333,3,0.2,2254,11.7,-80.58,80.58,-1.0,15m
9,50,2.0,2.0,0.4,5,0.1,2254,16.3,-80.65,80.65,-1.0,15m
12,21,3.0,1.0,0.2,5,0.1,3052,9.3,-80.65,80.82,-1.0,15m
12,26,5.0,3.0,0.6,5,0.1,2724,19.8,-80.66,81.43,-0.99,15m
5,26,2.0,3.0,1.0,3,0.1,4239,25.2,-80.68,80.77,-1.0,15m
12,26,2.0,2.0,0.4,5,0.1,2724,18.4,-80.82,81.0,-1.0,15m
5,21,5.0,3.0,1.0,3,0.1,4746,23.8,-81.27,81.44,-1.0,15m
12,26,2.0,3.0,0.6,5,0.1,2724,23.3,-81.32,81.86,-0.99,15m
12,50,5.0,2.0,0.6667,3,0.2,1918,17.7,-81.46,81.9,-0.99,15m
12,50,2.0,2.0,0.6667,3,0.2,1918,22.4,-81.57,81.84,-1.0,15m
9,50,5.0,2.0,0.2857,7,0.1,2254,10.2,-81.94,81.94,-1.0,15m
12,50,3.0,2.0,0.6667,3,0.2,1918,19.3,-81.97,82.33,-1.0,15m
5,26,2.0,2.0,0.6667,3,0.1,4239,22.9,-81.98,82.09,-1.0,15m
12,21,2.0,1.0,0.2,5,0.1,3052,10.4,-82.12,82.19,-1.0,15m
12,50,2.0,2.0,0.2857,7,0.1,1918,12.3,-82.16,82.16,-1.0,15m
9,50,3.0,1.0,0.1429,7,0.1,2254,5.6,-82.4,82.4,-1.0,15m
12,21,5.0,1.0,0.2,5,0.1,3052,8.7,-82.5,82.82,-1.0,15m
9,26,3.0,1.0,0.2,5,0.1,3164,9.4,-82.51,82.74,-1.0,15m
12,26,3.0,2.0,0.4,5,0.1,2724,16.2,-82.73,82.96,-1.0,15m
5,21,3.0,3.0,1.0,3,0.1,4746,24.4,-82.81,82.95,-1.0,15m
9,50,5.0,3.0,0.6,5,0.1,2254,16.7,-82.98,83.0,-1.0,15m
5,21,2.0,3.0,1.0,3,0.1,4746,25.8,-82.99,83.09,-1.0,15m
9,26,2.0,1.0,0.2,5,0.1,3164,10.4,-83.27,83.33,-1.0,15m
9,50,3.0,1.0,0.3333,3,0.2,2254,12.6,-83.3,83.49,-1.0,15m
12,50,5.0,3.0,0.4286,7,0.1,1918,13.3,-83.38,84.6,-0.99,15m
5,21,5.0,1.0,0.3333,3,0.1,4746,15.6,-83.78,83.97,-1.0,15m
9,50,2.0,3.0,0.6,5,0.1,2254,20.6,-83.82,83.98,-1.0,15m
9,26,5.0,2.0,0.4,5,0.1,3164,15.8,-83.94,84.2,-1.0,15m
12,26,3.0,3.0,0.6,5,0.1,2724,20.7,-83.96,84.54,-0.99,15m
12,50,5.0,3.0,1.0,3,0.2,1918,20.8,-84.01,84.04,-1.0,15m
9,26,5.0,1.0,0.2,5,0.1,3164,8.8,-84.22,84.51,-1.0,15m
9,50,3.0,3.0,0.6,5,0.1,2254,18.1,-84.26,84.36,-1.0,15m
12,50,2.0,3.0,1.0,3,0.2,1918,26.1,-84.48,84.81,-1.0,15m
9,50,3.0,2.0,0.2857,7,0.1,2254,11.1,-84.75,84.85,-1.0,15m
9,26,3.0,2.0,0.4,5,0.1,3164,16.6,-84.91,84.98,-1.0,15m
5,21,3.0,1.0,0.3333,3,0.1,4746,15.9,-84.93,85.1,-1.0,15m
9,50,2.0,1.0,0.1429,7,0.1,2254,6.4,-84.97,84.97,-1.0,15m
5,21,2.0,1.0,0.3333,3,0.1,4746,16.8,-85.04,85.18,-1.0,15m
5,21,5.0,2.0,0.6667,3,0.1,4746,21.6,-85.06,85.18,-1.0,15m
12,50,3.0,3.0,0.4286,7,0.1,1918,14.4,-85.33,85.99,-0.99,15m
9,50,5.0,2.0,0.6667,3,0.2,2254,18.2,-85.34,85.37,-1.0,15m
12,26,2.0,1.0,0.3333,3,0.2,2724,16.2,-85.47,85.66,-1.0,15m
9,50,2.0,1.0,0.3333,3,0.2,2254,14.2,-85.58,85.59,-1.0,15m
12,50,2.0,3.0,0.4286,7,0.1,1918,16.7,-85.72,85.75,-1.0,15m
12,21,2.0,2.0,0.4,5,0.1,3052,18.1,-85.75,85.86,-1.0,15m
12,26,2.0,1.0,0.1429,7,0.1,2724,7.9,-85.81,85.9,-1.0,15m
5,21,3.0,2.0,0.6667,3,0.1,4746,22.1,-85.85,85.96,-1.0,15m
12,21,5.0,2.0,0.4,5,0.1,3052,15.7,-85.86,86.08,-1.0,15m
12,21,3.0,2.0,0.4,5,0.1,3052,16.4,-85.9,85.98,-1.0,15m
12,50,3.0,3.0,1.0,3,0.2,1918,22.6,-86.1,86.32,-1.0,15m
9,26,2.0,2.0,0.4,5,0.1,3164,18.1,-86.19,86.28,-1.0,15m
5,50,3.0,1.0,0.2,5,0.1,3017,8.4,-86.26,86.26,-1.0,15m
5,21,2.0,2.0,0.6667,3,0.1,4746,23.3,-86.29,86.36,-1.0,15m
9,50,5.0,3.0,1.0,3,0.2,2254,21.1,-86.3,86.32,-1.0,15m
9,26,5.0,3.0,0.6,5,0.1,3164,19.3,-86.42,86.57,-1.0,15m
5,50,5.0,1.0,0.2,5,0.1,3017,7.8,-86.52,86.52,-1.0,15m
5,50,2.0,1.0,0.2,5,0.1,3017,9.4,-86.99,86.99,-1.0,15m
12,26,3.0,1.0,0.1429,7,0.1,2724,6.8,-87.03,87.21,-1.0,15m
12,26,5.0,1.0,0.3333,3,0.2,2724,13.5,-87.03,87.33,-1.0,15m
12,21,5.0,3.0,0.6,5,0.1,3052,19.6,-87.11,87.28,-1.0,15m
9,50,3.0,2.0,0.6667,3,0.2,2254,19.6,-87.12,87.23,-1.0,15m
12,26,5.0,3.0,1.0,3,0.2,2724,23.7,-87.25,87.8,-0.99,15m
12,26,5.0,1.0,0.1429,7,0.1,2724,6.4,-87.31,87.66,-1.0,15m
9,50,2.0,2.0,0.6667,3,0.2,2254,22.2,-87.37,87.52,-1.0,15m
12,21,2.0,3.0,0.6,5,0.1,3052,22.6,-87.41,87.52,-1.0,15m
9,50,5.0,3.0,0.4286,7,0.1,2254,13.9,-87.5,87.5,-1.0,15m
12,26,3.0,1.0,0.3333,3,0.2,2724,14.2,-87.73,87.87,-1.0,15m
12,26,5.0,2.0,0.6667,3,0.2,2724,20.6,-87.76,88.24,-0.99,15m
12,26,2.0,2.0,0.6667,3,0.2,2724,24.3,-87.77,88.13,-1.0,15m
12,26,2.0,3.0,1.0,3,0.2,2724,27.8,-87.77,87.93,-1.0,15m
12,50,5.0,1.0,0.3333,3,0.3,1918,10.7,-87.98,89.07,-0.99,15m
12,26,5.0,3.0,0.4286,7,0.1,2724,16.3,-88.06,88.67,-0.99,15m
9,50,2.0,2.0,0.2857,7,0.1,2254,12.5,-88.2,88.2,-1.0,15m
12,26,3.0,3.0,1.0,3,0.2,2724,25.1,-88.4,88.65,-1.0,15m
12,21,3.0,1.0,0.1429,7,0.1,3052,7.0,-88.89,89.13,-1.0,15m
12,21,3.0,3.0,0.6,5,0.1,3052,20.5,-88.99,89.02,-1.0,15m
9,50,3.0,3.0,0.4286,7,0.1,2254,15.0,-89.23,89.31,-1.0,15m
12,21,2.0,1.0,0.1429,7,0.1,3052,7.9,-89.3,89.37,-1.0,15m
5,50,5.0,3.0,0.6,5,0.1,3017,17.1,-89.33,89.5,-1.0,15m
9,50,3.0,3.0,1.0,3,0.2,2254,22.5,-89.34,89.44,-1.0,15m
9,26,2.0,3.0,0.6,5,0.1,3164,22.1,-89.37,89.48,-1.0,15m
9,26,3.0,3.0,0.6,5,0.1,3164,20.2,-89.64,89.65,-1.0,15m
12,26,3.0,2.0,0.6667,3,0.2,2724,21.6,-89.67,90.07,-1.0,15m
12,26,2.0,3.0,0.4286,7,0.1,2724,19.3,-89.71,89.98,-1.0,15m
9,50,5.0,1.0,0.2,5,0.2,2254,7.5,-89.81,89.87,-1.0,15m
