rsi_long,rsi_short,sl_mult,tp_mode,leverage,pos_ratio,use_ema200,return_pct,max_drawdown,calmar,trades,win_rate,long_trades,long_win_rate,short_trades,short_win_rate,positive_years,total_years,pos_year_rate,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025,y2026,bh_excess
20,65,3.0,atr_3x,2,0.5,True,76.54,18.95,4.04,53,62.3,0,0.0,53,62.3,8,9,88.9,-16.8,19.7,4.2,10.8,24.2,2.0,1.3,12.6,6.4,27.140000000000008
20,65,3.0,atr_3x,1,0.5,True,37.82,9.44,4.0,53,62.3,0,0.0,53,62.3,8,9,88.9,-8.4,9.8,2.2,6.9,11.9,1.1,0.9,6.5,3.3,-11.579999999999998
30,70,3.0,atr_2x,1,0.3,True,22.48,5.63,3.99,34,67.6,10,60.0,24,70.8,7,9,77.8,0.2,2.6,2.8,7.2,4.9,-2.0,1.2,4.5,-0.6,-26.919999999999998
20,65,3.0,atr_3x,1,0.3,True,22.29,5.74,3.88,53,62.3,0,0.0,53,62.3,8,9,88.9,-5.1,5.8,1.3,4.5,7.1,0.7,0.6,3.9,2.0,-27.11
20,65,3.0,atr_3x,2,0.7,True,104.03,26.9,3.87,53,62.3,0,0.0,53,62.3,8,9,88.9,-23.4,27.7,5.7,11.4,34.2,2.6,1.2,17.1,8.6,54.63
20,65,3.0,atr_3x,3,0.5,True,109.96,28.91,3.8,53,62.3,0,0.0,53,62.3,8,9,88.9,-25.1,29.7,6.1,11.2,36.7,2.7,1.2,18.1,9.2,60.559999999999995
30,75,1.5,atr_2x,3,0.3,True,42.75,11.36,3.76,24,45.8,10,60.0,14,35.7,6,9,66.7,0.6,0.0,1.1,22.5,4.9,-3.4,0.0,8.6,4.2,-6.649999999999999
30,75,1.5,atr_2x,2,0.5,True,47.5,12.63,3.76,24,45.8,10,60.0,14,35.7,6,9,66.7,0.5,0.0,1.2,24.7,5.4,-3.8,0.0,9.5,4.7,-1.8999999999999986
30,75,1.5,atr_2x,2,0.3,True,28.38,7.55,3.76,24,45.8,10,60.0,14,35.7,6,9,66.7,0.5,0.0,0.8,15.4,3.3,-2.3,0.0,5.7,2.8,-21.02
30,75,1.5,atr_2x,1,0.7,True,33.18,8.82,3.76,24,45.8,10,60.0,14,35.7,6,9,66.7,0.5,0.0,0.9,17.8,3.8,-2.6,0.0,6.7,3.3,-16.22
30,75,1.5,atr_2x,1,0.5,True,23.59,6.28,3.76,24,45.8,10,60.0,14,35.7,6,9,66.7,0.5,0.0,0.7,13.0,2.8,-1.9,0.0,4.8,2.4,-25.81
30,75,1.5,atr_2x,1,0.3,True,14.05,3.76,3.74,24,45.8,10,60.0,14,35.7,6,9,66.7,0.3,0.0,0.4,7.9,1.7,-1.1,0.0,2.9,1.4,-35.349999999999994
30,75,1.5,atr_2x,2,0.7,True,66.04,17.73,3.73,24,45.8,10,60.0,14,35.7,6,9,66.7,0.3,0.0,1.4,33.0,7.4,-5.2,0.0,13.2,6.6,16.640000000000008
30,75,1.5,atr_2x,3,0.5,True,70.51,19.0,3.71,24,45.8,10,60.0,14,35.7,6,9,66.7,0.2,0.0,1.4,34.9,7.8,-5.6,0.0,14.2,7.1,21.110000000000007
30,65,2.5,atr_3x,3,0.3,True,74.37,20.32,3.66,69,52.2,10,40.0,59,54.2,7,9,77.8,-14.3,19.6,12.0,17.7,10.6,-5.9,3.6,12.0,6.9,24.970000000000006
30,65,2.5,atr_3x,2,0.5,True,82.38,22.52,3.66,69,52.2,10,40.0,59,54.2,7,9,77.8,-16.1,21.9,13.3,19.2,11.7,-6.6,3.9,13.2,7.6,32.98
30,65,2.5,atr_3x,1,0.7,True,57.8,15.88,3.64,69,52.2,10,40.0,59,54.2,7,9,77.8,-10.9,15.2,9.4,14.3,8.5,-4.6,2.9,9.5,5.4,8.399999999999999
30,65,2.5,atr_3x,2,0.3,True,49.36,13.64,3.62,69,52.2,10,40.0,59,54.2,7,9,77.8,-9.2,13.0,8.1,12.5,7.3,-3.9,2.5,8.2,4.7,-0.03999999999999915
30,65,3.0,atr_2x,2,0.5,True,76.04,21.05,3.61,65,64.6,10,60.0,55,65.5,6,9,66.7,-11.9,29.5,9.0,23.1,17.0,-8.4,-4.2,10.1,1.8,26.640000000000008
20,65,2.5,atr_3x,3,0.7,True,129.12,35.8,3.61,59,54.2,0,0.0,59,54.2,7,9,77.8,-21.9,46.7,1.4,25.2,1.7,-3.5,6.4,31.0,15.2,79.72
30,65,3.0,atr_2x,3,0.3,True,68.65,19.01,3.61,65,64.6,10,60.0,55,65.5,6,9,66.7,-10.6,26.3,8.2,21.4,15.3,-7.6,-3.8,9.2,1.7,19.250000000000007
30,65,2.5,atr_3x,1,0.5,True,40.9,11.39,3.59,69,52.2,10,40.0,59,54.2,7,9,77.8,-7.6,10.8,6.7,10.6,6.2,-3.2,2.2,6.9,3.9,-8.5
