retrace_min,retrace_max,tp_ext,sl_buf,leverage,pos_ratio,signal_type,trades,win_rate,return_pct,max_drawdown,calmar,final_balance,swing_window,coin,timeframe,n_bos,n_zones
0.5,0.786,2.0,0.005,3,0.1,both,167,24.0,14.76,7.13,2.07,1147.57,8,btc,1H,355,842
0.382,0.786,2.0,0.005,5,0.1,ob_only,162,28.4,24.12,11.69,2.06,1241.19,8,btc,1H,355,842
0.382,0.618,2.0,0.005,7,0.2,ob_only,154,30.5,63.31,30.67,2.06,1633.11,8,btc,1H,355,842
0.382,0.786,2.0,0.002,7,0.1,ob_only,168,22.0,26.8,13.12,2.04,1268.04,8,btc,1H,355,842
0.382,0.618,2.0,0.005,5,0.2,ob_only,154,30.5,46.77,22.93,2.04,1467.72,8,btc,1H,355,842
0.382,0.786,2.0,0.002,3,0.2,ob_only,168,22.0,23.13,11.35,2.04,1231.32,8,btc,1H,355,842
0.382,0.786,2.0,0.002,5,0.2,ob_only,168,22.0,37.29,18.25,2.04,1372.86,8,btc,1H,355,842
0.382,0.786,2.0,0.002,5,0.1,ob_only,168,22.0,19.39,9.54,2.03,1193.89,8,btc,1H,355,842
0.382,0.786,2.0,0.002,7,0.2,ob_only,168,22.0,49.63,24.66,2.01,1496.34,8,btc,1H,355,842
0.382,0.786,2.0,0.005,3,0.1,ob_only,162,28.4,14.43,7.17,2.01,1144.31,8,btc,1H,355,842
0.382,0.786,2.0,0.002,3,0.1,ob_only,168,22.0,11.74,5.83,2.01,1117.36,8,btc,1H,355,842
0.382,0.618,2.0,0.005,7,0.1,ob_only,154,30.5,33.18,16.62,2.0,1331.79,8,btc,1H,355,842
0.5,0.786,2.0,0.005,7,0.2,ob_only,146,25.3,53.4,26.83,1.99,1534.05,8,btc,1H,355,842
0.382,0.618,2.0,0.005,3,0.2,ob_only,154,30.5,28.5,14.41,1.98,1285.03,8,btc,1H,355,842
0.5,0.786,2.0,0.005,5,0.2,ob_only,146,25.3,39.5,19.95,1.98,1395.03,8,btc,1H,355,842
0.382,0.618,2.0,0.005,5,0.1,ob_only,154,30.5,23.78,12.15,1.96,1237.81,8,btc,1H,355,842
0.5,0.786,2.0,0.005,7,0.1,ob_only,146,25.3,28.11,14.39,1.95,1281.11,8,btc,1H,355,842
0.5,0.786,2.0,0.005,3,0.2,ob_only,146,25.3,24.18,12.46,1.94,1241.85,8,btc,1H,355,842
0.5,0.786,2.0,0.005,5,0.1,ob_only,146,25.3,20.21,10.49,1.93,1202.11,8,btc,1H,355,842
0.382,0.618,2.0,0.005,3,0.1,ob_only,154,30.5,14.26,7.47,1.91,1142.58,8,btc,1H,355,842
0.5,0.786,2.0,0.005,3,0.1,ob_only,146,25.3,12.16,6.42,1.89,1121.64,8,btc,1H,355,842
0.382,0.618,2.0,0.002,5,0.1,ob_only,159,23.9,18.0,10.02,1.8,1179.99,8,btc,1H,355,842
0.382,0.618,2.0,0.002,3,0.2,ob_only,159,23.9,21.4,11.91,1.8,1213.98,8,btc,1H,355,842
0.382,0.618,2.0,0.002,7,0.1,ob_only,159,23.9,24.71,13.77,1.79,1247.06,8,btc,1H,355,842
0.382,0.618,2.0,0.002,3,0.1,ob_only,159,23.9,10.97,6.13,1.79,1109.66,8,btc,1H,355,842
0.382,0.618,2.0,0.002,5,0.2,ob_only,159,23.9,33.97,19.12,1.78,1339.74,8,btc,1H,355,842
0.382,0.618,2.0,0.002,7,0.2,ob_only,159,23.9,44.44,25.78,1.72,1444.43,8,btc,1H,355,842
0.382,0.618,2.0,0.005,7,0.1,both,195,25.6,31.44,18.99,1.66,1314.41,8,btc,1H,355,842
0.382,0.618,2.0,0.005,5,0.2,both,195,25.6,43.52,26.38,1.65,1435.16,8,btc,1H,355,842
0.382,0.618,2.0,0.005,5,0.1,both,195,25.6,22.78,13.81,1.65,1227.79,8,btc,1H,355,842
0.382,0.618,2.0,0.005,3,0.2,both,195,25.6,27.16,16.43,1.65,1271.6,8,btc,1H,355,842
0.382,0.618,2.0,0.005,3,0.1,both,195,25.6,13.79,8.43,1.64,1137.91,8,btc,1H,355,842
0.382,0.618,2.0,0.005,7,0.2,both,195,25.6,57.22,35.5,1.61,1572.23,8,btc,1H,355,842
0.5,0.786,1.272,0.005,7,0.1,fvg_only,87,29.9,9.32,6.25,1.49,1093.19,3,btc,1H,822,1304
0.5,0.786,1.272,0.005,3,0.1,fvg_only,87,29.9,4.07,2.72,1.49,1040.72,3,btc,1H,822,1304
0.5,0.786,1.272,0.005,5,0.1,fvg_only,87,29.9,6.72,4.5,1.49,1067.24,3,btc,1H,822,1304
0.5,0.786,1.272,0.005,3,0.2,fvg_only,87,29.9,8.03,5.38,1.49,1080.29,3,btc,1H,822,1304
0.5,0.786,1.272,0.005,5,0.2,fvg_only,87,29.9,13.09,8.82,1.48,1130.94,3,btc,1H,822,1304
0.5,0.786,1.272,0.005,7,0.2,fvg_only,87,29.9,17.88,12.15,1.47,1178.85,3,btc,1H,822,1304
0.5,0.786,1.272,0.002,3,0.1,ob_only,162,27.2,5.48,4.18,1.31,1054.82,8,btc,1H,355,842
0.5,0.786,1.272,0.002,5,0.1,ob_only,162,27.2,8.89,6.88,1.29,1088.91,8,btc,1H,355,842
0.5,0.786,1.618,0.005,3,0.1,both,278,29.9,7.47,5.8,1.29,1074.65,5,btc,1H,545,1039
0.5,0.786,1.272,0.002,3,0.2,ob_only,162,27.2,10.51,8.21,1.28,1105.13,8,btc,1H,355,842
0.5,0.786,1.272,0.002,7,0.1,ob_only,162,27.2,12.08,9.52,1.27,1120.77,8,btc,1H,355,842
0.382,0.786,2.0,0.002,3,0.1,both,225,17.3,7.59,6.02,1.26,1075.94,8,btc,1H,355,842
0.5,0.786,1.618,0.005,5,0.1,both,278,29.9,11.94,9.55,1.25,1119.45,5,btc,1H,545,1039
0.5,0.786,1.618,0.005,3,0.2,both,278,29.9,14.01,11.4,1.23,1140.13,5,btc,1H,545,1039
0.5,0.786,1.272,0.002,5,0.2,ob_only,162,27.2,16.39,13.35,1.23,1163.89,8,btc,1H,355,842
0.382,0.786,2.0,0.002,5,0.1,both,225,17.3,12.01,9.84,1.22,1120.12,8,btc,1H,355,842
0.5,0.786,1.618,0.005,7,0.1,both,278,29.9,15.96,13.22,1.21,1159.57,5,btc,1H,545,1039
0.382,0.786,2.0,0.002,3,0.2,both,225,17.3,14.0,11.7,1.2,1140.03,8,btc,1H,355,842
0.382,0.786,1.618,0.002,3,0.1,ob_only,172,25.6,6.14,5.2,1.18,1061.43,8,btc,1H,355,842
0.382,0.786,2.0,0.002,7,0.1,both,225,17.3,15.84,13.52,1.17,1158.4,8,btc,1H,355,842
0.5,0.786,1.272,0.002,7,0.2,ob_only,162,27.2,21.17,18.24,1.16,1211.74,8,btc,1H,355,842
0.5,0.786,1.272,0.005,3,0.1,both,181,31.5,6.03,5.21,1.16,1060.35,8,btc,1H,355,842
0.382,0.618,2.0,0.002,3,0.1,both,212,19.3,8.05,7.01,1.15,1080.52,8,btc,1H,355,842
0.382,0.786,1.618,0.002,5,0.1,ob_only,172,25.6,9.82,8.53,1.15,1098.17,8,btc,1H,355,842
0.382,0.786,1.618,0.002,3,0.2,ob_only,172,25.6,11.51,10.15,1.13,1115.14,8,btc,1H,355,842
0.5,0.786,1.272,0.005,5,0.1,both,181,31.5,9.74,8.62,1.13,1097.37,8,btc,1H,355,842
0.5,0.786,1.618,0.005,5,0.2,both,278,29.9,20.99,18.57,1.13,1209.89,5,btc,1H,545,1039
