fast_ema,slow_ema,tp_pct,sl_capital,sl_price_pct,leverage,pos_ratio,trades,win_rate,return_pct,max_drawdown,calmar,timeframe
9,26,5.0,1.0,0.3333,3,0.1,3194,18.5,-55.53,55.53,-1.0,15m
12,50,2.0,2.0,0.6667,3,0.2,1895,24.6,-55.59,55.59,-1.0,15m
12,50,5.0,1.0,0.3333,3,0.2,1895,15.5,-55.89,56.0,-1.0,15m
12,21,5.0,1.0,0.3333,3,0.1,3068,18.5,-56.28,56.28,-1.0,15m
12,50,3.0,3.0,0.6,5,0.1,1895,21.4,-57.73,57.73,-1.0,15m
9,26,3.0,1.0,0.3333,3,0.1,3194,18.8,-57.87,57.96,-1.0,15m
9,50,3.0,2.0,0.4,5,0.1,2161,18.7,-57.88,57.88,-1.0,15m
12,21,3.0,1.0,0.3333,3,0.1,3068,18.8,-58.29,58.39,-1.0,15m
9,21,5.0,3.0,1.0,3,0.1,3546,25.1,-59.05,59.19,-1.0,15m
9,50,2.0,1.0,0.2,5,0.1,2161,12.9,-59.2,59.2,-1.0,15m
9,50,2.0,1.0,0.3333,3,0.2,2161,18.5,-59.42,59.42,-1.0,15m
12,50,5.0,2.0,0.2857,7,0.1,1895,14.2,-59.5,59.77,-1.0,15m
9,21,3.0,3.0,1.0,3,0.1,3546,25.5,-59.52,59.52,-1.0,15m
9,50,3.0,3.0,0.6,5,0.1,2161,22.2,-59.64,59.95,-0.99,15m
12,50,2.0,2.0,0.2857,7,0.1,1895,16.5,-59.81,59.81,-1.0,15m
9,21,2.0,3.0,1.0,3,0.1,3546,26.7,-60.1,60.1,-1.0,15m
12,50,3.0,1.0,0.3333,3,0.2,1895,16.1,-60.13,60.13,-1.0,15m
12,50,5.0,2.0,0.6667,3,0.2,1895,21.3,-60.3,60.3,-1.0,15m
12,26,5.0,2.0,0.4,5,0.1,2719,20.3,-60.57,61.41,-0.99,15m
9,21,5.0,2.0,0.6667,3,0.1,3546,23.9,-60.69,60.86,-1.0,15m
9,50,5.0,3.0,1.0,3,0.2,2161,23.9,-61.12,61.86,-0.99,15m
9,50,5.0,1.0,0.3333,3,0.2,2161,16.1,-61.14,61.14,-1.0,15m
12,50,5.0,3.0,0.4286,7,0.1,1895,17.7,-61.2,61.23,-1.0,15m
12,50,2.0,3.0,0.4286,7,0.1,1895,20.3,-61.98,61.98,-1.0,15m
9,50,2.0,3.0,0.4286,7,0.1,2161,21.3,-62.04,62.27,-1.0,15m
5,50,2.0,3.0,0.6,5,0.1,2909,22.9,-62.13,62.18,-1.0,15m
5,50,5.0,3.0,0.6,5,0.1,2909,20.8,-62.68,63.28,-0.99,15m
9,21,2.0,2.0,0.6667,3,0.1,3546,25.3,-62.68,62.68,-1.0,15m
9,50,5.0,3.0,0.4286,7,0.1,2161,18.7,-63.12,64.13,-0.98,15m
12,26,5.0,3.0,0.6,5,0.1,2719,23.4,-63.32,64.02,-0.99,15m
9,21,3.0,2.0,0.6667,3,0.1,3546,24.2,-63.35,63.35,-1.0,15m
9,50,5.0,1.0,0.2,5,0.1,2161,10.8,-63.6,63.78,-1.0,15m
12,50,3.0,2.0,0.6667,3,0.2,1895,22.2,-63.8,63.8,-1.0,15m
12,50,3.0,2.0,0.2857,7,0.1,1895,14.7,-63.89,63.89,-1.0,15m
5,50,5.0,2.0,0.4,5,0.1,2909,18.3,-63.96,63.96,-1.0,15m
9,26,5.0,1.0,0.2,5,0.1,3194,14.2,-64.3,64.3,-1.0,15m
5,50,2.0,2.0,0.4,5,0.1,2909,20.0,-64.32,64.32,-1.0,15m
9,50,3.0,2.0,0.6667,3,0.2,2161,23.2,-64.35,64.69,-0.99,15m
12,50,5.0,3.0,1.0,3,0.2,1895,23.3,-64.92,65.58,-0.99,15m
9,50,5.0,2.0,0.2857,7,0.1,2161,14.6,-64.95,64.97,-1.0,15m
9,21,5.0,1.0,0.3333,3,0.1,3546,18.7,-65.3,65.3,-1.0,15m
12,26,2.0,2.0,0.4,5,0.1,2719,21.9,-65.51,65.99,-0.99,15m
9,50,2.0,3.0,1.0,3,0.3,2161,27.3,-65.51,65.59,-1.0,15m
12,26,5.0,1.0,0.2,5,0.1,2719,12.8,-65.55,65.62,-1.0,15m
9,26,2.0,1.0,0.2,5,0.1,3194,15.3,-65.59,65.69,-1.0,15m
12,26,2.0,3.0,0.6,5,0.1,2719,25.3,-65.6,66.0,-0.99,15m
9,50,3.0,1.0,0.2,5,0.1,2161,11.3,-65.71,65.71,-1.0,15m
9,50,3.0,1.0,0.3333,3,0.2,2161,16.6,-65.72,65.72,-1.0,15m
5,50,5.0,1.0,0.2,5,0.1,2909,12.5,-65.8,65.82,-1.0,15m
9,21,2.0,1.0,0.3333,3,0.1,3546,19.7,-65.94,65.94,-1.0,15m
5,50,2.0,2.0,0.6667,3,0.2,2909,23.5,-66.45,66.51,-1.0,15m
5,26,2.0,3.0,1.0,3,0.1,4259,24.5,-66.65,66.96,-1.0,15m
12,50,5.0,1.0,0.1429,7,0.1,1895,7.7,-66.77,66.77,-1.0,15m
9,50,2.0,2.0,0.2857,7,0.1,2161,16.8,-66.88,66.88,-1.0,15m
12,50,3.0,3.0,1.0,3,0.2,1895,24.2,-66.96,67.2,-1.0,15m
5,50,5.0,2.0,0.6667,3,0.2,2909,21.3,-67.02,67.66,-0.99,15m
12,50,3.0,3.0,0.4286,7,0.1,1895,18.4,-67.05,67.05,-1.0,15m
9,50,2.0,2.0,0.6667,3,0.3,2161,25.4,-67.09,67.26,-1.0,15m
9,21,3.0,1.0,0.3333,3,0.1,3546,18.9,-67.18,67.18,-1.0,15m
5,26,3.0,3.0,1.0,3,0.1,4259,23.4,-67.66,68.06,-0.99,15m
5,26,5.0,2.0,0.6667,3,0.1,4259,22.2,-67.84,68.23,-0.99,15m
5,50,2.0,1.0,0.2,5,0.1,2909,13.8,-67.89,67.89,-1.0,15m
5,50,2.0,3.0,1.0,3,0.2,2909,24.5,-67.93,67.93,-1.0,15m
5,26,2.0,2.0,0.6667,3,0.1,4259,23.5,-67.98,68.28,-1.0,15m
12,26,3.0,2.0,0.4,5,0.1,2719,20.7,-68.12,68.71,-0.99,15m
12,21,5.0,1.0,0.2,5,0.1,3068,13.8,-68.15,68.15,-1.0,15m
12,50,2.0,1.0,0.1429,7,0.1,1895,9.1,-68.19,68.19,-1.0,15m
5,50,3.0,3.0,0.6,5,0.1,2909,21.3,-68.19,68.39,-1.0,15m
9,26,3.0,1.0,0.2,5,0.1,3194,14.3,-68.35,68.6,-1.0,15m
12,26,2.0,1.0,0.2,5,0.1,2719,13.9,-68.44,68.55,-1.0,15m
9,50,3.0,3.0,1.0,3,0.2,2161,24.7,-68.48,68.71,-1.0,15m
12,50,3.0,1.0,0.1429,7,0.1,1895,8.1,-68.51,68.51,-1.0,15m
12,26,5.0,2.0,0.6667,3,0.2,2719,24.2,-68.55,69.17,-0.99,15m
5,50,3.0,2.0,0.4,5,0.1,2909,18.6,-68.56,68.56,-1.0,15m
12,21,2.0,1.0,0.2,5,0.1,3068,15.0,-68.59,68.68,-1.0,15m
5,26,5.0,3.0,1.0,3,0.1,4259,23.0,-68.85,69.23,-0.99,15m
5,26,3.0,2.0,0.6667,3,0.1,4259,22.5,-68.9,69.28,-0.99,15m
12,21,2.0,2.0,0.4,5,0.1,3068,22.3,-69.35,69.35,-1.0,15m
12,21,2.0,3.0,0.6,5,0.1,3068,25.6,-69.4,69.56,-1.0,15m
9,26,2.0,2.0,0.4,5,0.1,3194,22.0,-69.47,69.76,-1.0,15m
12,26,3.0,3.0,0.6,5,0.1,2719,23.9,-69.5,70.0,-0.99,15m
5,50,3.0,1.0,0.2,5,0.1,2909,12.8,-69.6,69.6,-1.0,15m
12,50,2.0,1.0,0.3333,3,0.3,1895,18.0,-69.72,69.72,-1.0,15m
