retrace_min,retrace_max,tp_ext,sl_buf,leverage,pos_ratio,signal_type,trades,win_rate,return_pct,max_drawdown,calmar,final_balance,swing_window,coin,timeframe,n_bos,n_zones
0.5,0.786,1.272,0.002,3,0.1,both,48,27.1,10.03,8.46,1.19,1100.32,8,xrp,4H,87,196
0.5,0.786,1.272,0.002,3,0.1,ob_only,44,27.3,8.85,7.67,1.15,1088.54,8,xrp,4H,87,196
0.5,0.786,1.272,0.002,5,0.1,both,48,27.1,15.96,13.84,1.15,1159.58,8,xrp,4H,87,196
0.5,0.786,1.272,0.002,3,0.2,both,48,27.1,18.66,16.46,1.13,1186.62,8,xrp,4H,87,196
0.5,0.786,1.272,0.002,7,0.1,both,48,27.1,21.18,19.02,1.11,1211.84,8,xrp,4H,87,196
0.5,0.786,1.272,0.002,5,0.1,ob_only,44,27.3,13.91,12.6,1.1,1139.08,8,xrp,4H,87,196
0.5,0.786,1.272,0.002,3,0.2,ob_only,44,27.3,16.16,15.01,1.08,1161.57,8,xrp,4H,87,196
0.5,0.786,1.272,0.002,7,0.1,ob_only,44,27.3,18.21,17.38,1.05,1182.13,8,xrp,4H,87,196
0.5,0.786,1.272,0.002,5,0.2,both,48,27.1,27.58,26.39,1.05,1275.82,8,xrp,4H,87,196
0.5,0.786,1.272,0.002,5,0.2,ob_only,44,27.3,23.18,24.24,0.96,1231.76,8,xrp,4H,87,196
0.5,0.786,1.272,0.002,7,0.2,both,48,27.1,33.23,35.48,0.94,1332.26,8,xrp,4H,87,196
0.5,0.786,1.272,0.002,7,0.2,ob_only,44,27.3,26.9,32.82,0.82,1269.0,8,xrp,4H,87,196
0.5,0.786,1.272,0.005,3,0.1,both,48,27.1,7.09,9.64,0.74,1070.88,8,xrp,4H,87,196
0.5,0.786,1.272,0.005,5,0.1,both,48,27.1,10.8,15.7,0.69,1108.02,8,xrp,4H,87,196
0.5,0.786,1.272,0.005,3,0.2,both,48,27.1,12.34,18.62,0.66,1123.41,8,xrp,4H,87,196
0.5,0.786,1.272,0.005,3,0.1,ob_only,44,27.3,5.82,8.97,0.65,1058.17,8,xrp,4H,87,196
0.5,0.786,1.272,0.005,7,0.1,both,48,27.1,13.66,21.46,0.64,1136.65,8,xrp,4H,87,196
0.5,0.786,1.272,0.005,5,0.1,ob_only,44,27.3,8.63,14.65,0.59,1086.29,8,xrp,4H,87,196
0.5,0.786,1.272,0.005,3,0.2,ob_only,44,27.3,9.71,17.4,0.56,1097.08,8,xrp,4H,87,196
0.5,0.786,1.272,0.005,5,0.2,both,48,27.1,16.33,29.57,0.55,1163.28,8,xrp,4H,87,196
0.5,0.786,1.272,0.005,7,0.1,ob_only,44,27.3,10.57,20.1,0.53,1105.69,8,xrp,4H,87,196
0.5,0.786,1.272,0.005,5,0.2,ob_only,44,27.3,11.86,27.81,0.43,1118.57,8,xrp,4H,87,196
0.5,0.786,1.272,0.005,7,0.2,both,48,27.1,16.88,39.39,0.43,1168.8,8,xrp,4H,87,196
0.382,0.618,1.272,0.002,3,0.1,both,55,23.6,5.14,15.26,0.34,1051.45,8,xrp,4H,87,196
0.382,0.786,1.272,0.002,3,0.1,both,60,23.3,5.21,16.29,0.32,1052.11,8,xrp,4H,87,196
0.382,0.618,1.272,0.002,5,0.1,both,55,23.6,7.07,24.3,0.29,1070.71,8,xrp,4H,87,196
0.5,0.786,1.272,0.005,7,0.2,ob_only,44,27.3,10.69,37.26,0.29,1106.92,8,xrp,4H,87,196
0.382,0.786,1.272,0.002,5,0.1,both,60,23.3,7.21,25.83,0.28,1072.11,8,xrp,4H,87,196
