retrace_min,retrace_max,tp_ext,sl_buf,leverage,pos_ratio,signal_type,trades,long_trades,short_trades,win_rate,return_pct,max_drawdown,calmar,final_balance,swing_window,coin,timeframe,period,n_bos
0.382,0.786,1.618,0.005,7,0.2,ob_only,92,46,46,41.3,276.83,17.81,15.54,3768.3,5,xrp,1H,1y,232
0.5,0.786,1.618,0.005,7,0.2,ob_only,87,45,42,40.2,244.2,16.38,14.91,3442.01,5,xrp,1H,1y,232
0.5,0.786,1.618,0.002,7,0.2,ob_only,87,45,42,34.5,227.29,15.69,14.49,3272.9,5,xrp,1H,1y,232
0.382,0.786,1.618,0.002,7,0.2,ob_only,92,46,46,33.7,233.15,17.13,13.61,3331.51,5,xrp,1H,1y,232
0.5,0.786,2.0,0.005,7,0.2,ob_only,72,36,36,34.7,196.75,14.92,13.19,2967.53,5,xrp,1H,1y,232
0.382,0.786,1.618,0.005,5,0.2,ob_only,92,46,46,41.3,166.98,13.01,12.84,2669.79,5,xrp,1H,1y,232
0.5,0.786,1.272,0.002,7,0.2,ob_only,98,48,50,37.8,189.31,14.88,12.72,2893.11,5,xrp,1H,1y,232
0.382,0.618,2.0,0.005,7,0.2,ob_only,74,37,37,39.2,268.08,21.23,12.63,3680.78,5,xrp,1H,1y,232
0.5,0.786,1.618,0.005,5,0.2,ob_only,87,45,42,40.2,149.58,11.94,12.53,2495.85,5,xrp,1H,1y,232
0.5,0.786,1.618,0.002,5,0.2,ob_only,87,45,42,34.5,140.22,11.44,12.25,2402.22,5,xrp,1H,1y,232
0.5,0.786,2.0,0.005,5,0.2,ob_only,72,36,36,34.7,125.43,10.83,11.59,2254.33,5,xrp,1H,1y,232
0.382,0.786,1.618,0.002,5,0.2,ob_only,92,46,46,33.7,143.87,12.52,11.49,2438.74,5,xrp,1H,1y,232
0.382,0.618,1.618,0.002,7,0.2,ob_only,83,45,38,38.6,252.4,22.16,11.39,3524.05,5,xrp,1H,1y,232
0.382,0.786,1.618,0.005,7,0.1,ob_only,92,46,46,41.3,102.69,9.26,11.09,2026.89,5,xrp,1H,1y,232
0.382,0.786,1.272,0.002,7,0.2,ob_only,104,51,53,37.5,208.5,18.81,11.09,3085.01,5,xrp,1H,1y,232
0.5,0.786,1.618,0.005,7,0.1,ob_only,87,45,42,40.2,93.08,8.48,10.98,1930.8,5,xrp,1H,1y,232
0.5,0.786,1.272,0.002,5,0.2,ob_only,98,48,50,37.8,118.5,10.84,10.93,2184.99,5,xrp,1H,1y,232
0.5,0.786,1.618,0.002,7,0.1,ob_only,87,45,42,34.5,87.76,8.14,10.79,1877.56,5,xrp,1H,1y,232
0.382,0.618,2.0,0.005,5,0.2,ob_only,74,37,37,39.2,164.33,15.33,10.72,2643.26,5,xrp,1H,1y,232
0.382,0.786,1.618,0.005,3,0.2,ob_only,92,46,46,41.3,84.27,7.98,10.56,1842.69,5,xrp,1H,1y,232
0.382,0.786,2.0,0.005,7,0.2,ob_only,75,35,40,34.7,180.44,17.17,10.51,2804.39,5,xrp,1H,1y,232
0.5,0.786,1.618,0.005,3,0.2,ob_only,87,45,42,40.2,76.68,7.31,10.5,1766.84,5,xrp,1H,1y,232
0.5,0.786,2.0,0.005,7,0.1,ob_only,72,36,36,34.7,80.29,7.67,10.47,1802.88,5,xrp,1H,1y,232
