rsi_thresh,sl_atr_mult,tp_mode,leverage,pos_ratio,use_ema200,trades,win_rate,return_pct,max_drawdown,calmar,timeframe
30,1.0,atr_3x,5,0.3,True,6,0.0,-21.48,21.48,-1.0,4h
45,1.5,atr_2x,5,0.1,True,47,31.9,-21.5,35.5,-0.61,4h
40,1.5,atr_3x,3,0.2,True,36,27.8,-21.51,37.42,-0.57,4h
45,1.5,bb_mid,3,0.3,True,48,50.0,-21.61,38.46,-0.56,4h
45,1.0,atr_3x,3,0.2,True,52,19.2,-21.7,31.3,-0.69,4h
35,1.5,atr_2x,7,0.3,False,159,41.5,-21.71,66.85,-0.32,4h
40,2.0,bb_mid,5,0.2,True,39,61.5,-21.73,45.62,-0.48,4h
40,2.0,atr_2x,5,0.1,False,191,46.1,-21.78,48.23,-0.45,4h
40,1.0,bb_mid,3,0.2,False,262,38.2,-21.87,38.7,-0.57,4h
35,1.0,bb_mid,7,0.3,True,21,38.1,-22.01,43.6,-0.5,4h
45,1.5,atr_3x,3,0.2,True,44,27.3,-22.34,36.27,-0.62,4h
45,1.5,bb_mid,3,0.2,False,250,49.6,-22.6,41.53,-0.54,4h
40,2.0,atr_3x,3,0.2,True,35,34.3,-22.79,40.69,-0.56,4h
40,1.5,atr_2x,3,0.2,True,39,33.3,-22.97,39.25,-0.59,4h
40,1.0,bb_mid,3,0.3,True,45,40.0,-22.97,34.71,-0.66,4h
45,2.0,atr_2x,3,0.2,False,204,47.1,-22.98,52.94,-0.43,4h
45,1.0,bb_mid,5,0.1,False,282,37.9,-23.09,32.84,-0.7,4h
45,1.0,bb_mid,3,0.2,True,52,36.5,-23.17,25.41,-0.91,4h
40,1.0,atr_3x,7,0.1,True,44,20.5,-23.39,41.04,-0.57,4h
40,1.0,atr_2x,3,0.1,False,252,28.6,-23.41,28.52,-0.82,4h
35,1.5,atr_2x,5,0.2,True,19,26.3,-23.44,31.82,-0.74,4h
40,1.0,atr_2x,5,0.1,True,45,22.2,-23.56,31.48,-0.75,4h
45,1.5,bb_mid,5,0.2,True,48,50.0,-24.03,41.9,-0.57,4h
40,2.0,atr_2x,3,0.2,True,37,40.5,-24.53,40.47,-0.61,4h
45,2.0,atr_3x,7,0.1,False,193,41.5,-24.55,51.89,-0.47,4h
35,1.0,atr_2x,3,0.3,False,181,30.4,-24.66,41.83,-0.59,4h
