rsi_thresh,sl_atr_mult,tp_mode,leverage,pos_ratio,use_ema200,trades,win_rate,return_pct,max_drawdown,calmar,timeframe
40,1.5,atr_2x,5,0.3,False,221,40.3,-69.18,79.75,-0.87,4h
30,1.0,atr_2x,7,0.3,False,132,30.3,-69.27,81.66,-0.85,4h
40,1.0,bb_mid,5,0.3,False,253,38.7,-69.36,74.65,-0.93,4h
45,1.5,bb_mid,5,0.2,False,257,49.0,-69.38,73.12,-0.95,4h
35,1.0,bb_mid,7,0.2,False,197,35.0,-69.7,71.62,-0.97,4h
30,1.0,atr_3x,7,0.2,False,129,22.5,-69.74,74.01,-0.94,4h
30,1.5,atr_2x,5,0.3,False,119,37.0,-69.79,75.21,-0.93,4h
40,1.0,atr_2x,7,0.3,False,243,32.1,-69.85,82.2,-0.85,4h
35,1.5,bb_mid,5,0.2,False,182,42.9,-69.86,73.29,-0.95,4h
40,1.5,bb_mid,5,0.2,False,236,47.5,-70.07,74.73,-0.94,4h
45,2.0,atr_2x,7,0.3,False,221,48.9,-70.57,85.54,-0.82,4h
30,2.0,bb_mid,5,0.3,False,116,49.1,-70.9,81.57,-0.87,4h
45,1.0,atr_3x,7,0.3,False,254,26.4,-71.0,90.5,-0.78,4h
40,1.5,atr_3x,5,0.2,False,206,32.0,-71.93,76.2,-0.94,4h
35,1.0,atr_2x,7,0.3,False,194,31.4,-72.08,79.73,-0.9,4h
45,1.0,atr_2x,7,0.3,False,267,32.2,-72.44,87.6,-0.83,4h
35,1.0,bb_mid,5,0.3,False,197,35.0,-72.6,74.42,-0.98,4h
30,1.0,atr_3x,5,0.3,False,129,22.5,-72.65,76.74,-0.95,4h
35,2.0,bb_mid,7,0.2,False,167,52.7,-72.84,81.92,-0.89,4h
35,2.0,atr_3x,7,0.2,False,148,38.5,-73.25,77.24,-0.95,4h
40,2.0,bb_mid,7,0.2,False,217,56.7,-73.87,81.57,-0.91,4h
35,1.5,atr_2x,7,0.2,False,177,38.4,-74.06,79.11,-0.94,4h
45,1.0,bb_mid,7,0.2,False,278,38.8,-74.62,75.03,-0.99,4h
45,2.0,bb_mid,7,0.2,False,240,57.9,-75.13,82.28,-0.91,4h
35,1.5,atr_3x,3,0.3,False,168,29.2,-75.83,75.83,-1.0,4h
35,2.0,bb_mid,5,0.3,False,167,52.7,-75.9,84.38,-0.9,4h
30,1.5,atr_3x,7,0.2,False,118,30.5,-76.42,80.67,-0.95,4h
45,1.5,atr_2x,7,0.3,False,242,41.7,-76.48,86.75,-0.88,4h
35,2.0,atr_3x,5,0.3,False,148,38.5,-76.54,80.26,-0.95,4h
40,2.0,bb_mid,5,0.3,False,217,56.7,-76.94,84.08,-0.92,4h
35,1.5,atr_2x,5,0.3,False,177,38.4,-77.06,81.76,-0.94,4h
