rsi_thresh,sl_atr_mult,tp_mode,leverage,pos_ratio,use_ema200,trades,trades_per_yr,win_rate,return_pct,max_drawdown,calmar,timeframe
40,1.5,atr_3x,5,0.3,False,589,196.3,31.2,-84.69,88.92,-0.95,1h
45,1.0,atr_2x,5,0.3,False,762,254.0,29.9,-85.23,87.74,-0.97,1h
40,2.0,bb_mid,7,0.2,False,629,209.7,55.3,-85.33,88.44,-0.96,1h
45,1.5,atr_3x,7,0.2,False,641,213.7,30.7,-85.5,89.58,-0.95,1h
45,1.0,bb_mid,5,0.3,False,810,270.0,37.0,-85.63,88.13,-0.97,1h
40,1.5,bb_mid,7,0.3,False,673,224.3,48.9,-85.71,89.6,-0.96,1h
40,2.0,atr_3x,7,0.2,False,533,177.7,37.0,-86.31,91.56,-0.94,1h
40,1.5,atr_2x,7,0.2,False,624,208.0,37.7,-86.84,88.49,-0.98,1h
40,2.0,atr_2x,7,0.2,False,576,192.0,43.8,-87.53,91.42,-0.96,1h
40,2.0,bb_mid,5,0.3,False,629,209.7,55.3,-87.54,90.33,-0.97,1h
45,2.0,bb_mid,7,0.2,False,691,230.3,56.4,-87.7,89.38,-0.98,1h
45,1.5,atr_2x,7,0.2,False,682,227.3,37.7,-87.75,89.98,-0.98,1h
45,1.5,atr_3x,5,0.3,False,641,213.7,30.7,-87.82,91.42,-0.96,1h
45,1.5,bb_mid,7,0.3,False,744,248.0,49.7,-88.56,91.74,-0.97,1h
40,2.0,atr_3x,5,0.3,False,533,177.7,37.0,-88.58,93.18,-0.95,1h
45,1.0,atr_3x,7,0.3,False,729,243.0,23.6,-88.71,92.6,-0.96,1h
40,1.5,atr_2x,5,0.3,False,624,208.0,37.7,-88.9,90.38,-0.98,1h
40,1.0,atr_2x,7,0.3,False,694,231.3,30.7,-88.97,91.54,-0.97,1h
40,2.0,atr_2x,5,0.3,False,576,192.0,43.8,-89.59,93.01,-0.96,1h
35,1.5,atr_3x,7,0.3,False,435,145.0,32.2,-89.6,93.89,-0.95,1h
45,2.0,bb_mid,5,0.3,False,691,230.3,56.4,-89.69,91.19,-0.98,1h
45,1.5,atr_2x,5,0.3,False,682,227.3,37.7,-89.74,91.7,-0.98,1h
40,1.0,bb_mid,7,0.3,False,726,242.0,36.4,-90.01,92.04,-0.98,1h
45,2.0,atr_2x,7,0.2,False,620,206.7,43.1,-90.03,92.76,-0.97,1h
30,2.0,atr_3x,7,0.3,False,247,82.3,36.0,-90.08,93.24,-0.97,1h
45,2.0,atr_3x,7,0.2,False,575,191.7,35.5,-90.14,93.19,-0.97,1h
35,2.0,atr_3x,7,0.3,False,394,131.3,39.1,-91.66,95.65,-0.96,1h
45,2.0,atr_2x,5,0.3,False,620,206.7,43.1,-91.83,94.18,-0.97,1h
45,2.0,atr_3x,5,0.3,False,575,191.7,35.5,-91.99,94.6,-0.97,1h
45,1.0,atr_2x,7,0.3,False,762,254.0,29.9,-94.27,95.43,-0.99,1h
45,1.0,bb_mid,7,0.3,False,810,270.0,37.0,-94.33,95.64,-0.99,1h
40,1.5,atr_3x,7,0.3,False,589,196.3,31.2,-94.5,96.42,-0.98,1h
40,2.0,bb_mid,7,0.3,False,629,209.7,55.3,-95.64,96.91,-0.99,1h
45,1.5,atr_3x,7,0.3,False,641,213.7,30.7,-96.13,97.57,-0.99,1h
40,1.5,atr_2x,7,0.3,False,624,208.0,37.7,-96.27,96.93,-0.99,1h
40,2.0,atr_3x,7,0.3,False,533,177.7,37.0,-96.57,98.29,-0.98,1h
45,2.0,bb_mid,7,0.3,False,691,230.3,56.4,-96.68,97.33,-0.99,1h
45,1.5,atr_2x,7,0.3,False,682,227.3,37.7,-96.74,97.49,-0.99,1h
40,2.0,atr_2x,7,0.3,False,576,192.0,43.8,-96.78,98.13,-0.99,1h
45,2.0,atr_2x,7,0.3,False,620,206.7,43.1,-97.74,98.57,-0.99,1h
45,2.0,atr_3x,7,0.3,False,575,191.7,35.5,-97.95,98.8,-0.99,1h
