macro_span,bull_rsi_long,bear_rsi_long,rsi_short,sl_mult,tp_mode,leverage,pos_ratio,trades,long_trades,short_trades,win_rate,long_win_rate,short_win_rate,return_pct,max_drawdown,calmar
500,40,20,65,1.5,atr_2x,3,0.5,283,167,116,41.3,37.7,46.6,-82.83,88.02,-0.94
500,35,20,70,1.5,atr_2x,3,0.5,179,117,62,38.0,35.9,41.9,-83.58,90.01,-0.93
500,45,20,65,2.0,atr_2x,3,0.5,287,181,106,48.4,44.8,54.7,-83.61,90.3,-0.93
500,45,20,70,1.5,atr_2x,3,0.5,259,197,62,39.0,38.1,41.9,-83.62,87.67,-0.95
500,40,20,70,1.5,atr_2x,3,0.5,229,167,62,38.9,37.7,41.9,-83.7,89.12,-0.94
500,35,20,70,2.0,atr_3x,3,0.7,160,105,55,41.2,37.1,49.1,-83.88,96.14,-0.87
1200,45,20,70,2.0,atr_3x,3,0.5,221,156,65,37.1,37.2,36.9,-84.15,88.51,-0.95
1200,35,25,70,2.0,atr_3x,3,0.5,200,135,65,36.0,35.6,36.9,-84.62,94.02,-0.9
500,40,20,70,2.0,atr_2x,3,0.5,209,153,56,45.9,43.8,51.8,-84.67,90.06,-0.94
800,35,25,70,2.0,atr_2x,3,0.5,224,151,73,43.8,42.4,46.6,-85.25,92.97,-0.92
500,45,20,70,2.0,atr_3x,3,0.7,226,171,55,40.7,38.0,49.1,-85.44,96.21,-0.89
800,35,20,70,2.0,atr_2x,3,0.5,176,103,73,44.3,42.7,46.6,-85.56,90.81,-0.94
800,35,20,70,1.5,atr_3x,3,0.5,196,112,84,30.6,29.5,32.1,-85.64,92.57,-0.93
500,35,25,70,2.0,atr_2x,3,0.5,221,165,56,43.9,41.2,51.8,-85.79,93.15,-0.92
500,40,20,65,2.0,atr_2x,3,0.5,259,153,106,48.3,43.8,54.7,-85.9,91.11,-0.94
800,40,25,70,2.0,atr_3x,3,0.5,261,190,71,36.8,35.3,40.8,-85.97,95.21,-0.9
1200,45,25,70,2.0,atr_3x,3,0.5,263,198,65,36.5,36.4,36.9,-86.03,93.66,-0.92
800,40,20,70,2.0,atr_3x,3,0.5,213,142,71,37.6,35.9,40.8,-86.18,92.76,-0.93
800,45,20,70,1.5,atr_3x,3,0.5,268,184,84,30.6,29.9,32.1,-86.44,92.21,-0.94
500,45,25,70,1.5,atr_3x,3,0.5,321,260,61,31.2,29.2,39.3,-86.48,95.29,-0.91
800,35,25,65,1.5,atr_3x,3,0.5,304,171,133,31.9,27.5,37.6,-86.57,93.99,-0.92
800,35,25,65,2.0,atr_2x,3,0.5,275,151,124,46.2,42.4,50.8,-86.59,92.78,-0.93
500,35,25,65,2.0,atr_3x,3,0.7,262,163,99,41.6,35.6,51.5,-86.62,98.26,-0.88
1200,40,20,70,2.0,atr_3x,3,0.5,201,136,65,36.3,36.0,36.9,-86.7,89.87,-0.96
1200,35,20,70,2.0,atr_2x,3,0.5,162,95,67,42.6,42.1,43.3,-86.83,88.79,-0.98
800,35,20,65,2.0,atr_2x,3,0.5,227,103,124,47.1,42.7,50.8,-86.87,91.48,-0.95
