set,sma_fast,sma_slow,coin,trades,win_rate,return_pct,max_drawdown,calmar,bh_ref
A,20,150,BTC,6,66.7,182.44,25.39,7.19,89.4
A,20,150,ETH,5,60.0,61.24,46.74,1.31,-19.4
A,20,150,XRP,7,28.6,29.09,68.16,0.43,121.6
B,50,200,BTC,4,75.0,86.7,37.18,2.33,89.4
B,50,200,ETH,4,75.0,6.0,61.52,0.1,-19.4
B,50,200,XRP,6,33.3,23.19,68.64,0.34,121.6
C,100,200,BTC,4,75.0,75.4,32.06,2.35,89.4
C,100,200,ETH,4,25.0,-49.67,73.29,-0.68,-19.4
C,100,200,XRP,5,60.0,226.7,52.07,4.35,121.6
