retrace_min,retrace_max,tp_ext,sl_buf,leverage,pos_ratio,signal_type,trades,long_trades,short_trades,win_rate,return_pct,max_drawdown,calmar,final_balance,swing_window,coin,timeframe,period,n_bos
0.382,0.618,2.0,0.002,3,0.2,both,294,182,112,22.4,90.08,19.3,4.67,1900.84,5,xrp,1H,3y,733
0.382,0.786,1.272,0.005,7,0.2,ob_only,325,173,152,37.8,257.31,55.21,4.66,3573.14,5,xrp,1H,3y,733
0.5,0.786,1.618,0.002,3,0.1,both,306,183,123,25.2,33.67,7.27,4.63,1336.74,5,xrp,1H,3y,733
0.5,0.786,1.272,0.002,5,0.1,ob_only,313,167,146,31.6,68.02,14.7,4.63,1680.17,5,xrp,1H,3y,733
0.382,0.786,1.272,0.002,5,0.1,ob_only,336,177,159,34.5,93.72,20.27,4.62,1937.21,5,xrp,1H,3y,733
0.382,0.618,1.618,0.002,5,0.2,both,315,196,119,26.7,159.82,35.12,4.55,2598.19,5,xrp,1H,3y,733
0.382,0.618,2.0,0.005,3,0.2,both,284,176,108,27.5,90.88,19.97,4.55,1908.76,5,xrp,1H,3y,733
0.382,0.786,2.0,0.005,7,0.1,ob_only,267,147,120,29.2,112.87,24.87,4.54,2128.74,5,xrp,1H,3y,733
0.382,0.618,1.272,0.002,3,0.2,ob_only,307,166,141,35.2,84.38,18.59,4.54,1843.79,5,xrp,1H,3y,733
0.5,0.786,1.272,0.002,3,0.1,both,340,198,142,29.4,33.55,7.48,4.49,1335.46,5,xrp,1H,3y,733
0.382,0.618,2.0,0.002,5,0.1,both,294,182,112,22.4,73.09,16.33,4.48,1730.93,5,xrp,1H,3y,733
0.382,0.786,1.272,0.002,5,0.2,both,382,227,155,30.1,153.16,34.24,4.47,2531.63,5,xrp,1H,3y,733
0.382,0.786,2.0,0.002,5,0.2,ob_only,279,153,126,24.4,135.36,30.65,4.42,2353.64,5,xrp,1H,3y,733
0.382,0.618,2.0,0.005,5,0.1,both,284,176,108,27.5,73.84,16.81,4.39,1738.41,5,xrp,1H,3y,733
0.382,0.786,2.0,0.005,3,0.2,ob_only,267,147,120,29.2,94.06,21.54,4.37,1940.62,5,xrp,1H,3y,733
0.382,0.618,1.272,0.002,5,0.1,ob_only,307,166,141,35.2,67.8,15.64,4.33,1677.99,5,xrp,1H,3y,733
