macro_span,bull_rsi_long,bear_rsi_long,rsi_short,sl_mult,tp_mode,leverage,pos_ratio,trades,long_trades,short_trades,win_rate,long_win_rate,short_win_rate,return_pct,max_drawdown,calmar
800,45,25,70,2.0,atr_2x,3,0.5,343,252,91,45.5,46.0,44.0,-97.88,98.98,-0.99
500,40,20,70,1.5,atr_3x,3,0.5,264,192,72,30.3,30.7,29.2,-97.9,98.55,-0.99
1200,40,20,70,2.0,atr_2x,3,0.5,263,159,104,43.7,44.7,42.3,-97.91,98.72,-0.99
1200,40,20,65,2.0,atr_2x,3,0.5,317,159,158,44.8,44.7,44.9,-97.93,98.49,-0.99
500,40,25,70,1.5,atr_2x,3,0.5,349,275,74,37.8,37.5,39.2,-97.94,98.94,-0.99
500,45,25,65,2.0,atr_2x,3,0.5,386,272,114,46.9,46.0,49.1,-97.96,99.01,-0.99
800,40,25,65,1.5,atr_2x,3,0.5,417,255,162,37.9,37.3,38.9,-98.0,98.82,-0.99
800,35,20,70,2.0,atr_2x,3,0.5,211,120,91,41.2,39.2,44.0,-98.01,99.13,-0.99
500,35,20,70,1.5,atr_2x,3,0.5,219,145,74,34.7,32.4,39.2,-98.01,99.21,-0.99
500,40,25,70,2.0,atr_2x,3,0.5,313,248,65,46.0,46.0,46.2,-98.05,99.02,-0.99
500,45,25,65,1.5,atr_3x,3,0.5,410,287,123,31.7,32.1,30.9,-98.07,99.08,-0.99
800,45,20,70,2.0,atr_3x,3,0.5,269,180,89,36.8,38.3,33.7,-98.12,98.89,-0.99
500,40,20,65,1.5,atr_3x,3,0.5,315,192,123,30.8,30.7,30.9,-98.14,98.95,-0.99
800,45,20,65,1.5,atr_3x,3,0.5,360,204,156,30.8,32.8,28.2,-98.26,99.19,-0.99
800,45,20,65,2.0,atr_3x,3,0.5,316,180,136,37.3,38.3,36.0,-98.28,99.04,-0.99
1200,45,25,65,1.5,atr_2x,3,0.5,442,262,180,37.8,37.8,37.8,-98.3,98.86,-0.99
800,35,20,70,1.5,atr_2x,3,0.5,240,139,101,34.6,32.4,37.6,-98.31,99.19,-0.99
800,45,25,70,1.5,atr_3x,3,0.5,363,265,98,30.0,31.3,26.5,-98.32,99.03,-0.99
1200,40,20,65,1.5,atr_2x,3,0.5,364,184,180,37.1,36.4,37.8,-98.43,98.64,-1.0
800,35,20,70,2.0,atr_3x,3,0.5,207,118,89,33.3,33.1,33.7,-98.45,99.37,-0.99
500,45,25,70,2.0,atr_2x,3,0.5,337,272,65,46.0,46.0,46.2,-98.45,99.23,-0.99
500,45,20,65,1.5,atr_2x,3,0.7,356,228,128,40.7,39.9,42.2,-98.46,99.67,-0.99
1200,45,20,70,1.5,atr_3x,3,0.5,306,193,113,29.7,31.6,26.5,-98.54,98.76,-1.0
800,35,20,65,2.0,atr_3x,3,0.5,254,118,136,34.6,33.1,36.0,-98.59,99.39,-0.99
1200,40,25,70,1.5,atr_2x,3,0.5,356,240,116,36.2,35.8,37.1,-98.6,98.77,-1.0
1200,40,20,70,2.0,atr_3x,3,0.5,251,149,102,35.5,36.9,33.3,-98.6,99.19,-0.99
800,35,20,65,1.5,atr_2x,3,0.5,301,139,162,35.9,32.4,38.9,-98.61,99.3,-0.99
500,45,20,70,1.5,atr_2x,3,0.7,302,228,74,39.7,39.9,39.2,-98.63,99.69,-0.99
800,40,20,70,1.5,atr_3x,3,0.5,281,183,98,29.2,30.6,26.5,-98.64,98.99,-1.0
1200,45,25,70,2.0,atr_2x,3,0.5,340,236,104,44.4,45.3,42.3,-98.65,99.0,-1.0
1200,45,25,65,2.0,atr_2x,3,0.5,394,236,158,45.2,45.3,44.9,-98.65,98.93,-1.0
1200,35,20,70,2.0,atr_2x,3,0.5,217,113,104,40.1,38.1,42.3,-98.69,99.31,-0.99
1200,35,20,65,2.0,atr_2x,3,0.5,271,113,158,42.1,38.1,44.9,-98.7,99.19,-1.0
500,40,25,70,2.0,atr_3x,3,0.5,301,237,64,38.5,38.8,37.5,-98.74,98.97,-1.0
1200,45,20,70,2.0,atr_3x,3,0.5,271,169,102,35.8,37.3,33.3,-98.75,99.12,-1.0
500,35,20,70,1.5,atr_3x,3,0.5,216,144,72,26.9,25.7,29.2,-98.78,99.45,-0.99
500,40,25,65,2.0,atr_3x,3,0.5,345,237,108,38.6,38.8,38.0,-98.78,99.02,-1.0
500,40,20,65,2.0,atr_2x,3,0.7,292,178,114,47.6,46.6,49.1,-98.79,99.62,-0.99
1200,35,20,70,1.5,atr_2x,3,0.5,248,132,116,33.9,31.1,37.1,-98.8,99.15,-1.0
800,45,25,65,1.5,atr_3x,3,0.5,421,265,156,30.2,31.3,28.2,-98.8,99.19,-1.0
1200,40,25,70,2.0,atr_2x,3,0.5,318,214,104,43.7,44.4,42.3,-98.8,99.09,-1.0
800,35,25,65,2.0,atr_2x,3,0.5,322,180,142,43.2,40.6,46.5,-98.81,99.37,-0.99
1200,40,25,65,2.0,atr_2x,3,0.5,372,214,158,44.6,44.4,44.9,-98.81,98.93,-1.0
500,40,25,70,1.5,atr_3x,3,0.5,336,264,72,30.1,30.3,29.2,-98.82,98.89,-1.0
1200,45,25,70,1.5,atr_3x,3,0.5,362,249,113,29.3,30.5,26.5,-98.85,98.92,-1.0
800,35,25,70,2.0,atr_2x,3,0.5,271,180,91,41.7,40.6,44.0,-98.91,99.45,-0.99
800,45,20,70,1.5,atr_2x,3,0.7,318,217,101,39.3,40.1,37.6,-98.91,99.68,-0.99
1200,40,20,65,2.0,atr_3x,3,0.5,300,149,151,36.0,36.9,35.1,-98.92,99.27,-1.0
500,35,20,65,1.5,atr_3x,3,0.5,267,144,123,28.1,25.7,30.9,-98.92,99.52,-0.99
500,35,25,65,2.0,atr_2x,3,0.5,310,196,114,43.9,40.8,49.1,-98.93,99.47,-0.99
1200,35,20,70,2.0,atr_3x,3,0.5,213,111,102,32.4,31.5,33.3,-98.93,99.49,-0.99
500,40,25,65,1.5,atr_3x,3,0.5,387,264,123,30.5,30.3,30.9,-98.96,99.12,-1.0
800,35,25,70,1.5,atr_2x,3,0.5,301,200,101,34.6,33.0,37.6,-98.97,99.48,-0.99
500,35,25,65,1.5,atr_2x,3,0.5,345,217,128,36.8,33.6,42.2,-98.99,99.54,-0.99
800,40,20,65,1.5,atr_3x,3,0.5,339,183,156,29.5,30.6,28.2,-99.02,99.4,-1.0
1200,40,25,65,1.5,atr_2x,3,0.5,420,240,180,36.7,35.8,37.8,-99.02,99.19,-1.0
1200,45,20,65,2.0,atr_3x,3,0.5,320,169,151,36.2,37.3,35.1,-99.03,99.25,-1.0
800,40,25,70,1.5,atr_3x,3,0.5,342,244,98,28.7,29.5,26.5,-99.06,99.11,-1.0
1200,45,20,65,1.5,atr_3x,3,0.5,367,193,174,29.7,31.6,27.6,-99.1,99.28,-1.0
800,40,25,70,2.0,atr_3x,3,0.5,307,218,89,36.5,37.6,33.7,-99.11,99.39,-1.0
500,35,25,70,1.5,atr_2x,3,0.5,291,217,74,35.1,33.6,39.2,-99.11,99.59,-1.0
500,40,20,70,2.0,atr_2x,3,0.7,243,178,65,46.5,46.6,46.2,-99.12,99.74,-0.99
800,35,25,65,1.5,atr_2x,3,0.5,362,200,162,35.6,33.0,38.9,-99.15,99.55,-1.0
1200,35,20,65,1.5,atr_2x,3,0.5,312,132,180,34.9,31.1,37.8,-99.16,99.37,-1.0
500,45,20,65,2.0,atr_2x,3,0.7,316,202,114,47.5,46.5,49.1,-99.17,99.74,-0.99
1200,35,20,65,2.0,atr_3x,3,0.5,262,111,151,33.6,31.5,35.1,-99.17,99.54,-1.0
500,45,25,70,2.0,atr_3x,3,0.5,323,259,64,38.1,38.2,37.5,-99.19,99.33,-1.0
500,35,25,70,2.0,atr_2x,3,0.5,261,196,65,42.1,40.8,46.2,-99.19,99.61,-1.0
500,40,20,65,1.5,atr_2x,3,0.7,331,203,128,39.6,37.9,42.2,-99.19,99.71,-0.99
800,35,20,70,1.5,atr_3x,3,0.5,236,138,98,25.8,25.4,26.5,-99.2,99.58,-1.0
500,45,25,65,2.0,atr_3x,3,0.5,367,259,108,38.1,38.2,38.0,-99.21,99.29,-1.0
800,45,20,65,1.5,atr_2x,3,0.7,379,217,162,39.6,40.1,38.9,-99.22,99.75,-0.99
1200,40,20,70,1.5,atr_3x,3,0.5,286,173,113,28.0,28.9,26.5,-99.24,99.36,-1.0
800,40,25,65,2.0,atr_3x,3,0.5,353,218,135,36.8,37.6,35.6,-99.25,99.45,-1.0
1200,35,25,70,2.0,atr_2x,3,0.5,272,168,104,40.8,39.9,42.3,-99.25,99.5,-1.0
1200,35,25,65,2.0,atr_2x,3,0.5,326,168,158,42.3,39.9,44.9,-99.25,99.46,-1.0
1200,35,25,70,1.5,atr_2x,3,0.5,304,188,116,33.9,31.9,37.1,-99.25,99.41,-1.0
500,40,20,70,1.5,atr_2x,3,0.7,277,203,74,38.3,37.9,39.2,-99.28,99.75,-1.0
800,45,25,70,2.0,atr_3x,3,0.5,328,239,89,36.6,37.7,33.7,-99.28,99.43,-1.0
1200,45,25,65,1.5,atr_3x,3,0.5,423,249,174,29.3,30.5,27.6,-99.3,99.41,-1.0
800,40,25,65,1.5,atr_3x,3,0.5,400,244,156,29.0,29.5,28.2,-99.32,99.43,-1.0
500,35,25,70,1.5,atr_3x,3,0.5,288,216,72,27.4,26.9,29.2,-99.32,99.61,-1.0
500,35,25,70,2.0,atr_3x,3,0.5,257,193,64,35.4,34.7,37.5,-99.35,99.61,-1.0
1200,40,25,70,2.0,atr_3x,3,0.5,305,203,102,35.7,36.9,33.3,-99.36,99.52,-1.0
500,35,25,65,2.0,atr_3x,3,0.5,301,193,108,35.9,34.7,38.0,-99.37,99.62,-1.0
800,45,25,65,2.0,atr_3x,3,0.5,374,239,135,36.9,37.7,35.6,-99.39,99.49,-1.0
500,40,20,70,2.0,atr_3x,3,0.7,232,168,64,38.8,39.3,37.5,-99.4,99.78,-1.0
500,45,20,70,2.0,atr_2x,3,0.7,267,202,65,46.4,46.5,46.2,-99.4,99.8,-1.0
500,35,25,65,1.5,atr_3x,3,0.5,339,216,123,28.3,26.9,30.9,-99.4,99.68,-1.0
500,40,20,65,2.0,atr_3x,3,0.7,277,168,109,39.0,39.3,38.5,-99.41,99.8,-1.0
800,35,25,70,2.0,atr_3x,3,0.5,266,177,89,33.8,33.9,33.7,-99.41,99.72,-1.0
1200,40,25,70,1.5,atr_3x,3,0.5,342,229,113,27.8,28.4,26.5,-99.41,99.44,-1.0
800,40,20,70,1.5,atr_2x,3,0.7,295,194,101,38.0,38.1,37.6,-99.42,99.73,-1.0
1200,45,25,70,2.0,atr_3x,3,0.5,325,223,102,36.0,37.2,33.3,-99.43,99.5,-1.0
800,35,20,65,1.5,atr_3x,3,0.5,294,138,156,26.9,25.4,28.2,-99.43,99.72,-1.0
1200,45,20,70,1.5,atr_2x,3,0.7,322,206,116,38.2,38.8,37.1,-99.45,99.65,-1.0
800,35,25,70,1.5,atr_3x,3,0.5,297,199,98,25.9,25.6,26.5,-99.45,99.67,-1.0
800,40,20,65,2.0,atr_2x,3,0.7,311,169,142,46.3,46.2,46.5,-99.47,99.8,-1.0
1200,35,25,65,1.5,atr_2x,3,0.5,368,188,180,34.8,31.9,37.8,-99.47,99.62,-1.0
1200,35,20,70,1.5,atr_3x,3,0.5,244,131,113,25.0,23.7,26.5,-99.48,99.67,-1.0
800,40,20,70,2.0,atr_2x,3,0.7,260,169,91,45.4,46.2,44.0,-99.5,99.82,-1.0
800,35,25,65,2.0,atr_3x,3,0.5,312,177,135,34.6,33.9,35.6,-99.5,99.74,-1.0
500,45,20,70,1.5,atr_3x,3,0.7,287,215,72,32.1,33.0,29.2,-99.51,99.78,-1.0
1200,35,25,70,2.0,atr_3x,3,0.5,267,165,102,33.3,33.3,33.3,-99.51,99.74,-1.0
800,45,25,70,1.5,atr_2x,3,0.7,379,278,101,38.5,38.8,37.6,-99.52,99.84,-1.0
800,45,20,65,2.0,atr_2x,3,0.7,334,192,142,46.7,46.9,46.5,-99.52,99.8,-1.0
1200,40,25,65,2.0,atr_3x,3,0.5,353,203,150,36.0,36.9,34.7,-99.54,99.6,-1.0
1200,40,20,65,1.5,atr_3x,3,0.5,347,173,174,28.2,28.9,27.6,-99.54,99.63,-1.0
800,45,20,70,2.0,atr_2x,3,0.7,283,192,91,45.9,46.9,44.0,-99.55,99.81,-1.0
800,40,20,65,1.5,atr_2x,3,0.7,356,194,162,38.5,38.1,38.9,-99.58,99.8,-1.0
1200,45,25,65,2.0,atr_3x,3,0.5,373,223,150,36.2,37.2,34.7,-99.59,99.63,-1.0
1200,35,25,70,1.5,atr_3x,3,0.5,300,187,113,25.3,24.6,26.5,-99.59,99.76,-1.0
500,35,20,65,2.0,atr_2x,3,0.7,240,126,114,43.8,38.9,49.1,-99.59,99.88,-1.0
500,45,25,65,1.5,atr_2x,3,0.7,428,300,128,40.0,39.0,42.2,-99.59,99.88,-1.0
800,35,25,65,1.5,atr_3x,3,0.5,355,199,156,26.8,25.6,28.2,-99.6,99.79,-1.0
500,45,20,65,1.5,atr_3x,3,0.7,338,215,123,32.2,33.0,30.9,-99.61,99.89,-1.0
500,45,25,70,1.5,atr_2x,3,0.7,374,300,74,39.0,39.0,39.2,-99.63,99.9,-1.0
1200,40,25,65,1.5,atr_3x,3,0.5,403,229,174,28.0,28.4,27.6,-99.64,99.69,-1.0
1200,35,25,65,2.0,atr_3x,3,0.5,315,165,150,34.0,33.3,34.7,-99.65,99.79,-1.0
800,45,25,65,1.5,atr_2x,3,0.7,440,278,162,38.9,38.8,38.9,-99.66,99.87,-1.0
1200,35,20,65,1.5,atr_3x,3,0.5,305,131,174,25.9,23.7,27.6,-99.68,99.81,-1.0
1200,45,20,65,1.5,atr_2x,3,0.7,386,206,180,38.3,38.8,37.8,-99.68,99.79,-1.0
500,45,20,70,2.0,atr_3x,3,0.7,254,190,64,38.2,38.4,37.5,-99.7,99.86,-1.0
500,35,20,70,2.0,atr_2x,3,0.7,191,126,65,41.4,38.9,46.2,-99.7,99.92,-1.0
500,45,20,65,2.0,atr_3x,3,0.7,299,190,109,38.5,38.4,38.5,-99.71,99.86,-1.0
500,35,20,65,1.5,atr_2x,3,0.7,273,145,128,37.0,32.4,42.2,-99.72,99.91,-1.0
500,35,20,70,2.0,atr_3x,3,0.7,188,124,64,34.6,33.1,37.5,-99.73,99.9,-1.0
800,40,25,70,1.5,atr_2x,3,0.7,356,255,101,37.4,37.3,37.6,-99.74,99.86,-1.0
1200,40,20,70,1.5,atr_2x,3,0.7,300,184,116,36.7,36.4,37.1,-99.74,99.79,-1.0
500,35,20,65,2.0,atr_3x,3,0.7,233,124,109,35.6,33.1,38.5,-99.74,99.9,-1.0
800,45,20,70,1.5,atr_3x,3,0.7,302,204,98,30.8,32.8,26.5,-99.75,99.87,-1.0
500,35,20,70,1.5,atr_2x,3,0.7,219,145,74,34.7,32.4,39.2,-99.75,99.93,-1.0
1200,35,25,65,1.5,atr_3x,3,0.5,361,187,174,26.0,24.6,27.6,-99.75,99.87,-1.0
1200,45,25,70,1.5,atr_2x,3,0.7,378,262,116,37.6,37.8,37.1,-99.75,99.82,-1.0
1200,45,20,70,2.0,atr_2x,3,0.7,285,181,104,44.6,45.9,42.3,-99.77,99.85,-1.0
800,35,20,65,2.0,atr_2x,3,0.7,262,120,142,43.1,39.2,46.5,-99.77,99.92,-1.0
500,40,25,65,1.5,atr_2x,3,0.7,403,275,128,39.0,37.5,42.2,-99.78,99.9,-1.0
500,40,20,70,1.5,atr_3x,3,0.7,264,192,72,30.3,30.7,29.2,-99.78,99.86,-1.0
800,35,20,70,2.0,atr_2x,3,0.7,211,120,91,41.2,39.2,44.0,-99.78,99.92,-1.0
800,40,20,70,2.0,atr_3x,3,0.7,248,159,89,36.7,38.4,33.7,-99.79,99.92,-1.0
1200,45,20,65,2.0,atr_2x,3,0.7,339,181,158,45.4,45.9,44.9,-99.79,99.84,-1.0
1200,40,20,70,2.0,atr_2x,3,0.7,263,159,104,43.7,44.7,42.3,-99.8,99.89,-1.0
800,35,20,70,1.5,atr_2x,3,0.7,240,139,101,34.6,32.4,37.6,-99.8,99.92,-1.0
1200,40,20,65,2.0,atr_2x,3,0.7,317,159,158,44.8,44.7,44.9,-99.81,99.88,-1.0
800,40,25,65,2.0,atr_2x,3,0.7,371,229,142,45.8,45.4,46.5,-99.81,99.91,-1.0
500,40,25,70,1.5,atr_2x,3,0.7,349,275,74,37.8,37.5,39.2,-99.81,99.91,-1.0
500,40,25,65,2.0,atr_2x,3,0.7,362,248,114,47.0,46.0,49.1,-99.81,99.92,-1.0
800,40,25,70,2.0,atr_2x,3,0.7,320,229,91,45.0,45.4,44.0,-99.82,99.92,-1.0
800,40,25,65,1.5,atr_2x,3,0.7,417,255,162,37.9,37.3,38.9,-99.82,99.9,-1.0
500,40,20,65,1.5,atr_3x,3,0.7,315,192,123,30.8,30.7,30.9,-99.83,99.92,-1.0
800,45,25,65,2.0,atr_2x,3,0.7,394,252,142,46.2,46.0,46.5,-99.83,99.9,-1.0
500,45,25,70,1.5,atr_3x,3,0.7,359,287,72,31.5,32.1,29.2,-99.83,99.88,-1.0
800,40,20,65,2.0,atr_3x,3,0.7,295,159,136,37.3,38.4,36.0,-99.83,99.94,-1.0
800,45,25,70,2.0,atr_2x,3,0.7,343,252,91,45.5,46.0,44.0,-99.84,99.91,-1.0
800,45,20,65,1.5,atr_3x,3,0.7,360,204,156,30.8,32.8,28.2,-99.85,99.94,-1.0
1200,40,20,65,1.5,atr_2x,3,0.7,364,184,180,37.1,36.4,37.8,-99.85,99.87,-1.0
1200,45,25,65,1.5,atr_2x,3,0.7,442,262,180,37.8,37.8,37.8,-99.86,99.91,-1.0
800,35,20,65,1.5,atr_2x,3,0.7,301,139,162,35.9,32.4,38.9,-99.86,99.94,-1.0
500,40,25,70,2.0,atr_2x,3,0.7,313,248,65,46.0,46.0,46.2,-99.86,99.94,-1.0
800,45,20,70,2.0,atr_3x,3,0.7,269,180,89,36.8,38.3,33.7,-99.86,99.93,-1.0
800,35,20,70,2.0,atr_3x,3,0.7,207,118,89,33.3,33.1,33.7,-99.87,99.96,-1.0
500,45,25,65,1.5,atr_3x,3,0.7,410,287,123,31.7,32.1,30.9,-99.87,99.91,-1.0
500,45,25,65,2.0,atr_2x,3,0.7,386,272,114,46.9,46.0,49.1,-99.87,99.93,-1.0
1200,45,20,70,1.5,atr_3x,3,0.7,306,193,113,29.7,31.6,26.5,-99.87,99.9,-1.0
1200,40,25,70,1.5,atr_2x,3,0.7,356,240,116,36.2,35.8,37.1,-99.88,99.89,-1.0
800,45,20,65,2.0,atr_3x,3,0.7,316,180,136,37.3,38.3,36.0,-99.88,99.94,-1.0
800,45,25,70,1.5,atr_3x,3,0.7,363,265,98,30.0,31.3,26.5,-99.88,99.9,-1.0
1200,35,20,70,1.5,atr_2x,3,0.7,248,132,116,33.9,31.1,37.1,-99.88,99.92,-1.0
800,40,20,70,1.5,atr_3x,3,0.7,281,183,98,29.2,30.6,26.5,-99.88,99.92,-1.0
1200,35,20,70,2.0,atr_2x,3,0.7,217,113,104,40.1,38.1,42.3,-99.88,99.95,-1.0
800,35,20,65,2.0,atr_3x,3,0.7,254,118,136,34.6,33.1,36.0,-99.89,99.96,-1.0
1200,35,20,65,2.0,atr_2x,3,0.7,271,113,158,42.1,38.1,44.9,-99.89,99.94,-1.0
500,35,20,70,1.5,atr_3x,3,0.7,216,144,72,26.9,25.7,29.2,-99.89,99.96,-1.0
1200,40,20,70,2.0,atr_3x,3,0.7,251,149,102,35.5,36.9,33.3,-99.9,99.95,-1.0
500,35,20,65,1.5,atr_3x,3,0.7,267,144,123,28.1,25.7,30.9,-99.91,99.97,-1.0
800,35,25,70,1.5,atr_2x,3,0.7,301,200,101,34.6,33.0,37.6,-99.91,99.96,-1.0
500,45,25,70,2.0,atr_2x,3,0.7,337,272,65,46.0,46.0,46.2,-99.91,99.95,-1.0
1200,45,25,70,2.0,atr_2x,3,0.7,340,236,104,44.4,45.3,42.3,-99.91,99.93,-1.0
800,35,25,65,2.0,atr_2x,3,0.7,322,180,142,43.2,40.6,46.5,-99.92,99.96,-1.0
1200,45,25,65,2.0,atr_2x,3,0.7,394,236,158,45.2,45.3,44.9,-99.92,99.93,-1.0
1200,35,20,70,2.0,atr_3x,3,0.7,213,111,102,32.4,31.5,33.3,-99.92,99.97,-1.0
500,35,25,65,1.5,atr_2x,3,0.7,345,217,128,36.8,33.6,42.2,-99.92,99.97,-1.0
800,35,25,70,2.0,atr_2x,3,0.7,271,180,91,41.7,40.6,44.0,-99.92,99.97,-1.0
1200,45,20,70,2.0,atr_3x,3,0.7,271,169,102,35.8,37.3,33.3,-99.92,99.95,-1.0
1200,40,25,70,2.0,atr_2x,3,0.7,318,214,104,43.7,44.4,42.3,-99.92,99.95,-1.0
1200,40,25,65,1.5,atr_2x,3,0.7,420,240,180,36.7,35.8,37.8,-99.93,99.94,-1.0
500,40,25,70,1.5,atr_3x,3,0.7,336,264,72,30.1,30.3,29.2,-99.93,99.93,-1.0
1200,35,20,65,1.5,atr_2x,3,0.7,312,132,180,34.9,31.1,37.8,-99.93,99.95,-1.0
1200,40,20,65,2.0,atr_3x,3,0.7,300,149,151,36.0,36.9,35.1,-99.93,99.96,-1.0
1200,45,25,70,1.5,atr_3x,3,0.7,362,249,113,29.3,30.5,26.5,-99.93,99.93,-1.0
