return_pct,max_drawdown,sharpe,calmar,trades,win_rate,scenario
-27.73,95.4,0.55,-0.29,0,0.0,BuyHold
141.98,45.76,0.65,3.1,68,39.7,FuturesOnly
17.56,96.44,0.68,0.18,68,39.7,B_partial
