retrace_min,retrace_max,tp_ext,sl_buf,leverage,pos_ratio,signal_type,trades,long_trades,short_trades,win_rate,return_pct,max_drawdown,calmar,final_balance,swing_window,coin,timeframe,period,n_bos
0.382,0.618,1.618,0.005,7,0.2,both,56,41,15,35.7,178.86,40.85,4.38,2788.63,8,eth,4H,3y,128
0.5,0.786,2.0,0.005,7,0.2,both,86,49,37,23.3,177.55,42.33,4.19,2775.55,5,eth,4H,3y,197
0.382,0.618,1.618,0.005,5,0.2,both,56,41,15,35.7,121.41,30.68,3.96,2214.14,8,eth,4H,3y,128
0.382,0.618,1.618,0.002,7,0.2,fvg_only,35,35,0,17.1,73.19,19.16,3.82,1731.94,8,eth,4H,3y,128
0.5,0.786,2.0,0.005,5,0.2,both,86,49,37,23.3,121.66,32.34,3.76,2216.61,5,eth,4H,3y,197
0.382,0.618,1.618,0.005,7,0.1,both,56,41,15,35.7,80.46,22.29,3.61,1804.62,8,eth,4H,3y,128
0.382,0.618,1.618,0.002,5,0.2,fvg_only,35,35,0,17.1,50.59,14.05,3.6,1505.91,8,eth,4H,3y,128
0.382,0.618,1.618,0.002,7,0.2,both,60,42,18,31.7,139.38,38.77,3.59,2393.82,8,eth,4H,3y,128
0.382,0.618,1.618,0.005,3,0.2,both,56,41,15,35.7,67.52,19.34,3.49,1675.21,8,eth,4H,3y,128
0.382,0.618,1.618,0.002,7,0.1,fvg_only,35,35,0,17.1,34.46,10.04,3.43,1344.59,8,eth,4H,3y,128
0.5,0.786,2.0,0.005,7,0.1,both,86,49,37,23.3,81.17,23.82,3.41,1811.68,5,eth,4H,3y,197
0.382,0.618,1.618,0.002,3,0.2,fvg_only,35,35,0,17.1,29.25,8.66,3.38,1292.54,8,eth,4H,3y,128
0.382,0.618,1.618,0.002,5,0.2,both,60,42,18,31.7,97.99,28.99,3.38,1979.88,8,eth,4H,3y,128
0.382,0.618,1.618,0.005,5,0.1,both,56,41,15,35.7,55.01,16.32,3.37,1550.1,8,eth,4H,3y,128
0.382,0.618,1.618,0.002,5,0.1,fvg_only,35,35,0,17.1,24.14,7.27,3.32,1241.39,8,eth,4H,3y,128
0.5,0.786,2.0,0.005,3,0.2,both,86,49,37,23.3,68.26,20.78,3.29,1682.55,5,eth,4H,3y,197
0.382,0.618,1.618,0.002,3,0.1,fvg_only,35,35,0,17.1,14.19,4.42,3.21,1141.89,8,eth,4H,3y,128
0.382,0.618,1.618,0.002,7,0.1,both,60,42,18,31.7,66.63,20.99,3.17,1666.27,8,eth,4H,3y,128
0.382,0.618,1.618,0.002,7,0.2,ob_only,53,35,18,34.0,119.08,37.61,3.17,2190.76,8,eth,4H,3y,128
0.5,0.786,2.0,0.005,5,0.1,both,86,49,37,23.3,55.72,17.61,3.16,1557.19,5,eth,4H,3y,197
0.382,0.618,1.618,0.005,3,0.1,both,56,41,15,35.7,31.42,10.03,3.13,1314.2,8,eth,4H,3y,128
0.382,0.618,1.618,0.002,3,0.2,both,60,42,18,31.7,56.38,18.2,3.1,1563.83,8,eth,4H,3y,128
0.382,0.618,1.618,0.002,5,0.2,ob_only,53,35,18,34.0,85.28,28.03,3.04,1852.8,8,eth,4H,3y,128
0.382,0.618,1.618,0.002,5,0.1,both,60,42,18,31.7,46.32,15.33,3.02,1463.2,8,eth,4H,3y,128
0.5,0.786,2.0,0.005,7,0.2,ob_only,83,44,39,22.9,125.03,42.33,2.95,2250.3,5,eth,4H,3y,197
0.5,0.786,2.0,0.005,3,0.1,both,86,49,37,23.3,31.94,10.94,2.92,1319.41,5,eth,4H,3y,197
0.382,0.618,1.618,0.002,7,0.1,ob_only,53,35,18,34.0,58.8,20.25,2.9,1588.0,8,eth,4H,3y,128
0.382,0.618,1.618,0.002,3,0.1,both,60,42,18,31.7,26.89,9.4,2.86,1268.93,8,eth,4H,3y,128
0.382,0.618,1.618,0.002,3,0.2,ob_only,53,35,18,34.0,49.99,17.54,2.85,1499.92,8,eth,4H,3y,128
0.5,0.786,2.0,0.002,7,0.2,ob_only,84,45,39,20.2,108.73,38.41,2.83,2087.31,5,eth,4H,3y,197
0.382,0.618,1.618,0.002,5,0.1,ob_only,53,35,18,34.0,41.26,14.76,2.79,1412.6,8,eth,4H,3y,128
0.5,0.786,2.0,0.005,5,0.2,ob_only,83,44,39,22.9,90.31,32.34,2.79,1903.11,5,eth,4H,3y,197
0.5,0.786,2.0,0.002,5,0.2,ob_only,84,45,39,20.2,79.37,29.12,2.73,1793.73,5,eth,4H,3y,197
0.382,0.618,1.618,0.002,3,0.1,ob_only,53,35,18,34.0,24.18,9.04,2.67,1241.78,8,eth,4H,3y,128
0.5,0.786,2.0,0.002,7,0.2,both,90,51,39,18.9,101.68,38.41,2.65,2016.76,5,eth,4H,3y,197
0.5,0.786,2.0,0.005,7,0.1,ob_only,83,44,39,22.9,62.58,23.82,2.63,1625.84,5,eth,4H,3y,197
0.5,0.786,2.0,0.002,7,0.1,ob_only,84,45,39,20.2,55.52,21.33,2.6,1555.21,5,eth,4H,3y,197
0.5,0.786,2.0,0.002,5,0.2,both,90,51,39,18.9,75.02,29.12,2.58,1750.21,5,eth,4H,3y,197
0.5,0.786,2.0,0.005,3,0.2,ob_only,83,44,39,22.9,53.28,20.78,2.56,1532.82,5,eth,4H,3y,197
0.5,0.786,2.0,0.002,3,0.2,ob_only,84,45,39,20.2,47.43,18.56,2.56,1474.27,5,eth,4H,3y,197
0.5,0.786,2.0,0.005,5,0.1,ob_only,83,44,39,22.9,44.03,17.61,2.5,1440.28,5,eth,4H,3y,197
0.5,0.786,2.0,0.002,5,0.1,ob_only,84,45,39,20.2,39.33,15.71,2.5,1393.26,5,eth,4H,3y,197
0.382,0.786,1.618,0.002,7,0.2,fvg_only,36,36,0,13.9,60.78,24.38,2.49,1607.81,8,eth,4H,3y,128
0.382,0.618,1.618,0.005,7,0.2,ob_only,52,35,17,34.6,98.39,39.47,2.49,1983.86,8,eth,4H,3y,128
0.5,0.786,2.0,0.002,7,0.1,both,90,51,39,18.9,52.87,21.33,2.48,1528.7,5,eth,4H,3y,197
0.382,0.618,1.618,0.005,5,0.2,ob_only,52,35,17,34.6,72.85,29.53,2.47,1728.48,8,eth,4H,3y,128
0.382,0.618,1.618,0.005,5,0.2,both,89,53,36,31.5,72.9,29.64,2.46,1729.05,5,eth,4H,3y,197
0.382,0.618,1.618,0.005,7,0.2,both,89,53,36,31.5,96.99,39.46,2.46,1969.94,5,eth,4H,3y,197
0.5,0.786,2.0,0.002,3,0.2,both,90,51,39,18.9,45.27,18.56,2.44,1452.71,5,eth,4H,3y,197
0.382,0.618,1.618,0.005,7,0.1,both,89,53,36,31.5,51.84,21.52,2.41,1518.38,5,eth,4H,3y,197
0.382,0.618,1.618,0.005,7,0.1,ob_only,52,35,17,34.6,51.37,21.4,2.4,1513.71,8,eth,4H,3y,128
0.5,0.786,2.0,0.002,5,0.1,both,90,51,39,18.9,37.63,15.71,2.4,1376.26,5,eth,4H,3y,197
0.5,0.786,2.0,0.002,3,0.1,ob_only,84,45,39,20.2,23.25,9.72,2.39,1232.55,5,eth,4H,3y,197
0.382,0.618,1.618,0.005,3,0.2,both,89,53,36,31.5,44.48,18.67,2.38,1444.84,5,eth,4H,3y,197
0.382,0.618,1.618,0.005,3,0.2,ob_only,52,35,17,34.6,43.99,18.55,2.37,1439.85,8,eth,4H,3y,128
0.382,0.786,1.618,0.002,5,0.2,fvg_only,36,36,0,13.9,42.66,18.05,2.36,1426.57,8,eth,4H,3y,128
0.5,0.786,2.0,0.005,3,0.1,ob_only,83,44,39,22.9,25.85,10.94,2.36,1258.47,5,eth,4H,3y,197
0.382,0.618,1.618,0.005,5,0.1,both,89,53,36,31.5,37.04,15.75,2.35,1370.4,5,eth,4H,3y,197
