rsi_long,rsi_short,sl_mult,tp_mode,leverage,pos_ratio,use_ema200,trades,trades_per_yr,long_trades,short_trades,win_rate,long_win_rate,short_win_rate,return_pct,max_drawdown,calmar
25,70,2.0,atr_3x,2,0.3,False,31,7.8,7,24,19.4,42.9,12.5,-45.18,53.45,-0.85
25,70,2.0,atr_2x,3,0.3,False,31,7.8,7,24,29.0,57.1,20.8,-45.19,54.91,-0.82
30,65,3.0,atr_3x,2,0.5,False,43,10.8,12,31,39.5,50.0,35.5,-45.2,65.62,-0.69
25,75,1.5,atr_2x,3,0.3,False,24,6.0,7,17,25.0,28.6,23.5,-45.3,50.3,-0.9
25,75,2.0,bb_mid,2,0.5,False,21,5.2,7,14,33.3,71.4,14.3,-45.71,55.65,-0.82
35,65,2.0,bb_mid,5,0.5,True,8,2.0,3,5,25.0,33.3,20.0,-45.78,49.33,-0.93
35,70,1.5,bb_mid,5,0.5,True,8,2.0,4,4,12.5,25.0,0.0,-45.85,45.85,-1.0
25,75,3.0,bb_mid,2,0.5,False,19,4.8,7,12,42.1,71.4,25.0,-46.18,56.69,-0.81
30,70,3.0,atr_3x,2,0.3,False,32,8.0,12,20,25.0,50.0,10.0,-46.28,53.11,-0.87
25,70,1.5,bb_mid,2,0.3,False,35,8.8,7,28,25.7,28.6,25.0,-46.32,49.04,-0.94
30,65,1.5,bb_mid,2,0.5,False,54,13.5,14,40,40.7,42.9,40.0,-46.34,51.51,-0.9
30,70,2.0,atr_3x,3,0.3,False,36,9.0,12,24,25.0,50.0,12.5,-46.36,57.84,-0.8
35,65,3.0,atr_3x,3,0.3,False,51,12.8,20,31,41.2,50.0,35.5,-46.37,63.58,-0.73
25,75,2.0,atr_2x,3,0.5,False,21,5.2,7,14,33.3,57.1,21.4,-46.41,62.16,-0.75
25,75,2.0,atr_2x,5,0.3,False,21,5.2,7,14,33.3,57.1,21.4,-46.41,62.16,-0.75
35,70,1.5,atr_3x,2,0.3,False,51,12.8,24,27,23.5,33.3,14.8,-46.5,48.41,-0.96
30,75,1.5,bb_mid,3,0.3,False,31,7.8,14,17,29.0,42.9,17.6,-46.53,53.03,-0.88
35,70,2.0,atr_2x,5,0.5,True,7,1.8,3,4,14.3,33.3,0.0,-46.64,46.64,-1.0
25,65,1.5,atr_3x,3,0.3,False,46,11.5,7,39,30.4,28.6,30.8,-46.64,54.04,-0.86
35,65,3.0,atr_2x,3,0.3,False,51,12.8,20,31,47.1,55.0,41.9,-46.7,58.94,-0.79
30,70,2.0,bb_mid,3,0.3,False,37,9.2,12,25,37.8,66.7,24.0,-47.17,54.24,-0.87
30,65,3.0,bb_mid,5,0.3,True,6,1.5,2,4,16.7,0.0,25.0,-47.31,49.44,-0.96
30,65,3.0,bb_mid,3,0.5,True,6,1.5,2,4,16.7,0.0,25.0,-47.31,49.44,-0.96
35,75,1.5,atr_2x,3,0.3,False,41,10.2,24,17,31.7,37.5,23.5,-47.45,52.49,-0.9
25,65,2.0,atr_3x,2,0.5,False,43,10.8,7,36,32.6,42.9,30.6,-47.77,65.18,-0.73
35,70,1.5,bb_mid,2,0.3,False,52,13.0,24,28,30.8,37.5,25.0,-47.8,49.82,-0.96
35,65,1.5,atr_3x,2,0.5,False,63,15.8,24,39,31.7,33.3,30.8,-48.09,58.25,-0.83
30,70,1.5,atr_2x,3,0.3,False,42,10.5,14,28,28.6,42.9,21.4,-48.17,53.15,-0.91
35,75,3.0,atr_3x,5,0.5,True,5,1.2,3,2,20.0,33.3,0.0,-48.31,48.31,-1.0
35,70,3.0,atr_2x,2,0.3,False,40,10.0,20,20,35.0,55.0,15.0,-48.37,53.48,-0.9
30,70,1.5,atr_2x,5,0.5,True,6,1.5,2,4,0.0,0.0,0.0,-48.4,48.4,-1.0
30,70,1.5,bb_mid,5,0.5,True,6,1.5,2,4,0.0,0.0,0.0,-48.4,48.4,-1.0
30,70,1.5,atr_3x,5,0.5,True,6,1.5,2,4,0.0,0.0,0.0,-48.4,48.4,-1.0
30,75,1.5,atr_3x,3,0.3,False,31,7.8,14,17,25.8,35.7,17.6,-48.41,53.07,-0.91
30,75,3.0,atr_3x,2,0.5,False,24,6.0,12,12,29.2,50.0,8.3,-48.46,60.5,-0.8
25,65,2.0,bb_mid,2,0.5,False,44,11.0,7,37,45.5,71.4,40.5,-48.69,58.37,-0.83
35,70,3.0,bb_mid,2,0.3,False,41,10.2,20,21,43.9,60.0,28.6,-48.8,52.98,-0.92
35,70,3.0,atr_3x,2,0.3,False,40,10.0,20,20,30.0,50.0,10.0,-48.9,55.4,-0.88
25,75,2.0,atr_3x,2,0.5,False,21,5.2,7,14,23.8,42.9,14.3,-48.9,60.84,-0.8
25,75,1.5,atr_2x,2,0.5,False,24,6.0,7,17,25.0,28.6,23.5,-49.13,54.25,-0.91
25,70,2.0,atr_2x,2,0.5,False,31,7.8,7,24,29.0,57.1,20.8,-49.14,59.02,-0.83
25,70,1.5,atr_3x,2,0.3,False,34,8.5,7,27,17.6,28.6,14.8,-49.2,52.34,-0.94
30,65,2.0,atr_3x,5,0.5,True,7,1.8,2,5,14.3,0.0,20.0,-49.25,59.15,-0.83
35,70,2.0,bb_mid,5,0.5,True,7,1.8,3,4,14.3,33.3,0.0,-49.33,49.33,-1.0
35,75,2.0,bb_mid,3,0.3,False,34,8.5,20,14,38.2,55.0,14.3,-49.37,58.06,-0.85
30,70,3.0,bb_mid,5,0.3,True,5,1.2,2,3,0.0,0.0,0.0,-49.44,49.44,-1.0
30,70,3.0,bb_mid,3,0.5,True,5,1.2,2,3,0.0,0.0,0.0,-49.44,49.44,-1.0
30,70,3.0,atr_3x,3,0.5,True,5,1.2,2,3,0.0,0.0,0.0,-49.44,49.44,-1.0
30,70,3.0,atr_3x,5,0.3,True,5,1.2,2,3,0.0,0.0,0.0,-49.44,49.44,-1.0
30,70,3.0,atr_2x,3,0.5,True,5,1.2,2,3,0.0,0.0,0.0,-49.44,49.44,-1.0
30,70,3.0,atr_2x,5,0.3,True,5,1.2,2,3,0.0,0.0,0.0,-49.44,49.44,-1.0
35,75,3.0,atr_3x,3,0.3,False,32,8.0,20,12,34.4,50.0,8.3,-49.55,59.19,-0.84
25,65,3.0,atr_3x,3,0.3,False,38,9.5,7,31,36.8,42.9,35.5,-49.79,67.46,-0.74
30,75,1.5,bb_mid,2,0.5,False,31,7.8,14,17,29.0,42.9,17.6,-50.48,57.09,-0.88
30,70,2.0,atr_3x,2,0.5,False,36,9.0,12,24,25.0,50.0,12.5,-50.51,62.07,-0.81
25,65,1.5,atr_3x,2,0.5,False,46,11.5,7,39,30.4,28.6,30.8,-50.71,58.1,-0.87
35,70,2.0,atr_2x,3,0.3,False,44,11.0,20,24,34.1,50.0,20.8,-50.73,60.94,-0.83
35,75,3.0,atr_2x,3,0.3,False,32,8.0,20,12,40.6,55.0,16.7,-50.97,60.11,-0.85
30,70,2.0,bb_mid,2,0.5,False,37,9.2,12,25,37.8,66.7,24.0,-51.23,58.41,-0.88
35,65,3.0,atr_3x,2,0.5,False,51,12.8,20,31,41.2,50.0,35.5,-51.28,67.84,-0.76
35,65,3.0,atr_2x,2,0.5,False,51,12.8,20,31,47.1,55.0,41.9,-51.39,63.36,-0.81
30,70,3.0,bb_mid,3,0.3,False,33,8.2,12,21,42.4,66.7,28.6,-51.47,58.48,-0.88
35,75,1.5,atr_2x,2,0.5,False,41,10.2,24,17,31.7,37.5,23.5,-51.62,56.68,-0.91
35,65,2.0,bb_mid,3,0.3,False,57,14.2,20,37,45.6,55.0,40.5,-51.75,60.03,-0.86
25,70,3.0,atr_3x,2,0.3,False,27,6.8,7,20,18.5,42.9,10.0,-52.18,58.26,-0.9
30,70,1.5,atr_2x,2,0.5,False,42,10.5,14,28,28.6,42.9,21.4,-52.25,57.28,-0.91
35,75,1.5,atr_3x,3,0.3,False,41,10.2,24,17,26.8,33.3,17.6,-52.45,57.71,-0.91
30,75,1.5,atr_3x,2,0.5,False,31,7.8,14,17,25.8,35.7,17.6,-52.46,57.2,-0.92
25,65,1.5,bb_mid,3,0.3,False,47,11.8,7,40,38.3,28.6,40.0,-52.51,56.66,-0.93
30,65,2.0,atr_2x,5,0.5,True,7,1.8,2,5,14.3,0.0,20.0,-52.58,59.15,-0.89
25,75,3.0,atr_3x,3,0.3,False,19,4.8,7,12,21.1,42.9,8.3,-52.77,62.88,-0.84
25,70,2.0,bb_mid,3,0.3,False,32,8.0,7,25,34.4,71.4,24.0,-52.99,59.29,-0.89
30,70,1.5,bb_mid,3,0.3,False,42,10.5,14,28,31.0,42.9,25.0,-53.03,57.28,-0.93
35,75,3.0,atr_2x,5,0.5,True,5,1.2,3,2,20.0,33.3,0.0,-53.4,53.4,-1.0
25,70,3.0,bb_mid,3,0.3,False,28,7.0,7,21,39.3,71.4,28.6,-53.6,60.34,-0.89
35,75,2.0,bb_mid,2,0.5,False,34,8.5,20,14,38.2,55.0,14.3,-53.61,62.29,-0.86
35,65,3.0,atr_2x,5,0.5,True,7,1.8,3,4,28.6,33.3,25.0,-53.63,60.05,-0.89
25,65,3.0,atr_3x,2,0.5,False,38,9.5,7,31,36.8,42.9,35.5,-54.14,71.55,-0.76
35,75,3.0,atr_3x,2,0.5,False,32,8.0,20,12,34.4,50.0,8.3,-54.17,63.66,-0.85
30,75,2.0,bb_mid,5,0.3,False,26,6.5,12,14,38.5,66.7,14.3,-54.29,65.91,-0.82
30,75,2.0,bb_mid,3,0.5,False,26,6.5,12,14,38.5,66.7,14.3,-54.29,65.91,-0.82
