entry_pct,tp_pct,sl_capital,sl_price_pct,leverage,pos_ratio,trades,win_rate,return_pct,max_drawdown,sharpe
1.5,5.0,2.0,0.4,5,0.2,665,13.5,314.61,26.81,11.73
1.5,5.0,3.0,0.6,5,0.3,645,15.7,313.76,52.59,5.97
2.0,3.0,3.0,0.6,5,0.3,360,27.2,308.13,19.88,15.5
1.0,3.0,2.0,0.5,4,0.2,1697,20.3,307.96,13.57,22.7
1.5,3.0,2.0,0.5,4,0.2,694,24.6,307.34,10.47,29.35
2.0,5.0,10.0,3.3333,3,0.3,283,48.8,306.95,27.82,11.03
1.0,5.0,3.0,0.75,4,0.3,1448,16.6,303.04,37.61,8.06
2.0,5.0,5.0,1.0,5,0.3,332,23.8,302.64,26.51,11.42
1.0,5.0,1.0,0.2,5,0.1,1699,9.0,298.08,11.07,26.93
1.5,5.0,1.0,0.3333,3,0.3,671,12.7,296.45,22.72,13.05
2.0,2.0,2.0,0.4,5,0.3,371,31.5,295.41,12.12,24.37
2.0,5.0,3.0,0.6,5,0.2,344,20.1,292.82,12.53,23.36
2.0,3.0,1.0,0.2,5,0.2,365,21.4,292.23,7.56,38.66
1.5,5.0,2.0,0.5,4,0.3,657,14.5,291.93,35.77,8.16
1.0,5.0,1.0,0.3333,3,0.2,1625,10.9,288.82,15.06,19.18
1.5,3.0,2.0,0.6667,3,0.3,680,27.2,281.25,12.67,22.2
1.0,3.0,3.0,0.75,4,0.3,1617,24.9,281.15,30.62,9.18
1.5,3.0,5.0,1.0,5,0.3,660,31.5,280.18,28.17,9.95
1.0,3.0,1.0,0.3333,3,0.2,1762,16.9,277.38,9.38,29.56
1.5,3.0,1.0,0.3333,3,0.2,705,22.6,274.53,5.81,47.25
2.0,5.0,1.0,0.3333,3,0.3,350,16.3,272.15,9.7,28.06
1.5,3.0,3.0,0.75,4,0.3,674,27.4,272.14,22.89,11.89
1.0,3.0,1.0,0.2,5,0.1,1803,14.0,266.35,6.67,39.94
2.0,2.0,1.0,0.25,4,0.3,372,28.8,265.47,5.72,46.41
1.5,2.0,1.0,0.25,4,0.2,726,25.6,263.6,4.55,57.91
1.0,2.0,2.0,0.5,4,0.3,1783,26.7,261.41,23.28,11.23
1.0,2.0,2.0,0.4,5,0.2,1814,24.0,257.39,14.73,17.48
2.0,3.0,2.0,0.5,4,0.3,363,25.9,256.42,14.46,17.74
1.0,5.0,3.0,0.6,5,0.2,1493,14.3,249.55,28.29,8.82
1.0,5.0,2.0,0.5,4,0.2,1538,13.0,249.46,18.73,13.32
2.0,5.0,10.0,2.5,4,0.2,300,42.3,247.74,20.14,12.3
1.5,5.0,1.0,0.25,4,0.2,679,11.2,242.35,15.72,15.42
2.0,3.0,10.0,2.0,5,0.2,335,49.9,234.62,18.23,12.87
1.0,1.0,1.0,0.2,5,0.2,1935,30.3,234.59,9.82,23.88
2.0,2.0,1.0,0.2,5,0.2,372,28.5,230.4,4.12,55.95
2.0,5.0,2.0,0.5,4,0.2,348,19.0,225.51,8.77,25.71
2.0,5.0,3.0,0.75,4,0.3,339,20.4,223.34,19.24,11.61
1.0,3.0,5.0,1.0,5,0.3,1528,29.4,220.64,41.33,5.34
2.0,3.0,2.0,0.4,5,0.2,364,24.5,220.62,12.83,17.2
1.5,1.0,2.0,0.4,5,0.3,738,43.5,220.31,13.67,16.11
1.5,1.0,1.0,0.25,4,0.3,740,38.6,219.12,7.31,29.98
2.0,5.0,1.0,0.25,4,0.2,352,14.8,218.22,7.07,30.89
2.0,2.0,3.0,0.6,5,0.3,369,35.2,209.44,17.9,11.7
2.0,3.0,10.0,2.5,4,0.3,322,53.4,209.12,25.72,8.13
1.5,3.0,1.0,0.2,5,0.1,710,19.4,208.72,3.39,61.52
2.0,3.0,1.0,0.3333,3,0.3,365,23.6,207.98,9.84,21.13
1.0,1.0,1.0,0.25,4,0.3,1926,32.0,200.98,16.77,11.99
2.0,5.0,5.0,1.6667,3,0.2,317,35.6,200.34,9.17,21.85
1.0,2.0,1.0,0.2,5,0.1,1874,19.1,199.6,5.54,36.03
1.0,3.0,2.0,0.6667,3,0.3,1636,23.2,198.36,20.74,9.57
3.0,5.0,2.0,0.4,5,0.3,137,19.7,196.31,14.62,13.43
1.5,1.0,1.0,0.2,5,0.2,740,37.3,193.85,5.85,33.13
1.0,3.0,1.0,0.5,2,0.3,1697,20.3,192.82,10.35,18.63
1.5,3.0,1.0,0.5,2,0.3,694,24.6,189.47,7.96,23.81
2.0,3.0,5.0,1.0,5,0.3,349,33.2,189.23,18.59,10.18
2.0,5.0,5.0,1.25,4,0.2,325,28.6,187.52,16.66,11.26
1.5,3.0,2.0,0.4,5,0.1,701,23.7,185.72,5.59,33.21
2.0,5.0,2.0,0.6667,3,0.3,341,19.9,183.97,12.65,14.55
1.0,5.0,3.0,0.75,4,0.2,1448,16.6,180.14,26.51,6.79
1.5,2.0,3.0,0.6,5,0.2,707,32.8,179.86,10.98,16.38
1.0,2.0,1.0,0.3333,3,0.2,1837,22.7,179.84,9.25,19.45
1.5,2.0,1.0,0.3333,3,0.2,724,28.9,179.45,4.18,42.93
1.0,2.0,3.0,0.6,5,0.2,1757,29.4,177.04,21.86,8.1
1.0,5.0,2.0,0.4,5,0.1,1588,11.8,176.91,11.26,15.71
2.0,2.0,2.0,0.5,4,0.3,370,33.5,176.53,13.2,13.37
1.5,5.0,3.0,0.6,5,0.2,645,15.7,174.4,38.64,4.51
2.0,3.0,1.0,0.25,4,0.2,365,21.6,174.37,7.07,24.68
3.0,3.0,2.0,0.4,5,0.3,141,29.1,169.77,10.67,15.9
2.0,5.0,5.0,1.0,5,0.2,332,23.8,166.48,18.4,9.05
2.0,5.0,10.0,3.3333,3,0.2,283,48.8,166.44,19.24,8.65
2.0,5.0,10.0,2.0,5,0.1,313,39.3,164.08,10.1,16.24
1.0,5.0,1.0,0.5,2,0.3,1538,13.0,163.49,14.34,11.4
1.5,2.0,2.0,0.5,4,0.2,713,31.0,162.71,9.69,16.79
3.0,5.0,1.0,0.2,5,0.3,137,15.3,162.66,9.56,17.02
