fast_ema,slow_ema,tp_pct,sl_capital,sl_price_pct,leverage,pos_ratio,trades,win_rate,return_pct,max_drawdown,calmar,timeframe
5,26,3.0,3.0,0.6,5,0.1,954,17.6,-34.43,44.0,-0.78,1h
9,21,5.0,2.0,0.2857,7,0.1,800,7.4,-34.46,38.11,-0.9,1h
9,50,3.0,1.0,0.1429,7,0.2,492,5.9,-34.48,41.12,-0.84,1h
12,26,2.0,1.0,0.1429,7,0.3,628,10.0,-34.59,44.84,-0.77,1h
12,50,3.0,2.0,0.4,5,0.2,421,11.9,-34.8,41.29,-0.84,1h
9,50,2.0,3.0,0.4286,7,0.1,492,16.7,-34.99,36.21,-0.97,1h
9,21,3.0,1.0,0.3333,3,0.2,800,11.0,-35.03,41.56,-0.84,1h
12,21,5.0,2.0,0.2857,7,0.3,707,7.9,-35.27,58.59,-0.6,1h
5,26,2.0,1.0,0.2,5,0.1,954,9.5,-35.28,40.3,-0.88,1h
9,50,3.0,1.0,0.2,5,0.2,492,6.7,-35.32,37.57,-0.94,1h
9,21,3.0,2.0,0.4,5,0.1,800,12.2,-35.47,40.78,-0.87,1h
5,50,3.0,1.0,0.2,5,0.3,652,8.3,-35.69,45.42,-0.79,1h
5,21,2.0,3.0,0.6,5,0.1,1063,23.9,-35.77,46.15,-0.78,1h
12,21,2.0,2.0,0.6667,3,0.3,707,26.3,-35.81,45.42,-0.79,1h
9,21,2.0,3.0,0.4286,7,0.1,800,18.6,-35.83,43.86,-0.82,1h
5,26,3.0,3.0,1.0,3,0.3,954,26.3,-36.02,60.62,-0.59,1h
12,50,5.0,1.0,0.2,5,0.2,421,3.8,-36.33,38.85,-0.94,1h
5,26,2.0,3.0,1.0,3,0.2,954,33.0,-36.46,48.56,-0.75,1h
9,50,5.0,3.0,0.4286,7,0.2,492,8.9,-36.47,51.79,-0.7,1h
9,26,3.0,1.0,0.1429,7,0.2,732,6.6,-36.48,48.21,-0.76,1h
9,26,3.0,3.0,0.6,5,0.3,732,19.0,-36.56,61.84,-0.59,1h
9,21,3.0,1.0,0.1429,7,0.1,800,5.5,-36.59,40.34,-0.91,1h
5,50,2.0,2.0,0.2857,7,0.1,652,12.6,-36.63,37.68,-0.97,1h
5,21,2.0,3.0,1.0,3,0.2,1063,33.0,-36.71,44.47,-0.83,1h
12,50,2.0,3.0,0.4286,7,0.1,421,15.4,-36.75,38.04,-0.97,1h
5,21,2.0,2.0,0.6667,3,0.2,1063,26.1,-36.85,47.03,-0.78,1h
9,21,3.0,3.0,0.6,5,0.1,800,17.0,-37.0,41.17,-0.9,1h
5,26,3.0,1.0,0.3333,3,0.2,954,11.2,-37.11,49.52,-0.75,1h
5,21,3.0,2.0,0.4,5,0.1,1063,12.8,-37.23,44.83,-0.83,1h
5,50,5.0,2.0,0.2857,7,0.2,652,7.1,-37.28,55.19,-0.68,1h
5,26,3.0,2.0,0.4,5,0.1,954,12.5,-37.8,48.55,-0.78,1h
9,21,2.0,2.0,0.2857,7,0.1,800,13.2,-37.87,43.48,-0.87,1h
5,50,5.0,2.0,0.4,5,0.3,652,9.5,-38.18,64.55,-0.59,1h
5,50,5.0,1.0,0.2,5,0.3,652,5.5,-38.25,48.68,-0.79,1h
12,50,3.0,1.0,0.1429,7,0.2,421,5.2,-38.33,39.02,-0.98,1h
5,26,5.0,1.0,0.3333,3,0.3,954,8.7,-38.35,50.97,-0.75,1h
12,21,5.0,2.0,0.4,5,0.3,707,9.8,-38.36,60.39,-0.64,1h
9,50,2.0,2.0,0.6667,3,0.3,492,24.6,-38.37,39.69,-0.97,1h
12,21,5.0,1.0,0.1429,7,0.3,707,4.7,-38.48,61.43,-0.63,1h
12,26,3.0,2.0,0.2857,7,0.3,628,11.1,-38.67,51.7,-0.75,1h
12,21,3.0,1.0,0.3333,3,0.3,707,11.2,-38.77,48.75,-0.8,1h
12,50,2.0,3.0,0.6,5,0.2,421,22.6,-38.78,39.29,-0.99,1h
9,50,3.0,2.0,0.2857,7,0.2,492,9.8,-38.9,41.87,-0.93,1h
5,26,2.0,3.0,0.6,5,0.1,954,23.1,-38.91,45.55,-0.85,1h
5,26,3.0,2.0,0.2857,7,0.1,954,10.1,-38.92,50.09,-0.78,1h
5,50,3.0,2.0,0.2857,7,0.2,652,10.4,-38.96,48.87,-0.8,1h
5,21,5.0,1.0,0.3333,3,0.3,1063,9.1,-39.0,39.49,-0.99,1h
9,26,3.0,2.0,0.4,5,0.2,732,13.1,-39.05,48.84,-0.8,1h
12,21,5.0,3.0,0.4286,7,0.3,707,11.2,-39.11,75.23,-0.52,1h
9,21,2.0,1.0,0.1429,7,0.1,800,7.2,-39.12,40.79,-0.96,1h
9,21,3.0,2.0,0.6667,3,0.2,800,18.9,-39.18,47.02,-0.83,1h
12,21,3.0,1.0,0.1429,7,0.2,707,6.4,-39.24,51.9,-0.76,1h
5,50,2.0,1.0,0.3333,3,0.3,652,15.0,-39.28,41.44,-0.95,1h
12,50,5.0,1.0,0.1429,7,0.3,421,3.8,-39.58,52.17,-0.76,1h
5,26,2.0,2.0,0.6667,3,0.2,954,25.5,-39.72,49.14,-0.81,1h
12,50,3.0,1.0,0.2,5,0.2,421,5.7,-39.75,39.75,-1.0,1h
5,50,5.0,1.0,0.1429,7,0.3,652,4.6,-39.77,58.66,-0.68,1h
9,50,2.0,2.0,0.2857,7,0.2,492,13.8,-39.92,41.77,-0.96,1h
5,21,5.0,2.0,0.2857,7,0.1,1063,7.7,-39.96,40.52,-0.99,1h
12,50,2.0,1.0,0.1429,7,0.2,421,7.4,-40.22,43.3,-0.93,1h
9,21,3.0,3.0,1.0,3,0.3,800,26.2,-40.23,59.74,-0.67,1h
12,50,2.0,1.0,0.3333,3,0.3,421,12.8,-40.35,40.35,-1.0,1h
5,26,5.0,3.0,0.6,5,0.2,954,14.2,-40.61,56.02,-0.73,1h
12,21,2.0,3.0,0.6,5,0.2,707,24.3,-40.71,50.99,-0.8,1h
9,26,2.0,1.0,0.3333,3,0.3,732,15.3,-40.77,47.65,-0.86,1h
9,26,5.0,2.0,0.4,5,0.3,732,9.6,-40.92,53.42,-0.77,1h
5,26,3.0,3.0,0.4286,7,0.1,954,13.8,-40.93,59.27,-0.69,1h
12,26,2.0,3.0,0.6,5,0.3,628,25.0,-40.96,49.96,-0.82,1h
9,50,2.0,2.0,0.4,5,0.2,492,16.5,-41.15,42.75,-0.96,1h
12,21,2.0,1.0,0.2,5,0.2,707,10.3,-41.2,46.54,-0.89,1h
5,21,5.0,1.0,0.2,5,0.1,1063,5.1,-41.31,41.94,-0.99,1h
9,21,5.0,3.0,0.6,5,0.2,800,13.8,-41.4,59.14,-0.7,1h
9,26,2.0,1.0,0.1429,7,0.2,732,9.0,-41.48,50.02,-0.83,1h
9,26,3.0,3.0,0.4286,7,0.2,732,14.3,-41.71,56.1,-0.74,1h
9,21,3.0,2.0,0.2857,7,0.1,800,9.5,-41.84,45.8,-0.91,1h
5,26,2.0,1.0,0.3333,3,0.2,954,14.7,-41.86,47.64,-0.88,1h
9,21,3.0,1.0,0.2,5,0.2,800,7.9,-41.93,48.66,-0.86,1h
12,50,5.0,2.0,0.2857,7,0.3,421,6.7,-41.95,62.52,-0.67,1h
12,50,2.0,1.0,0.2,5,0.2,421,7.8,-41.99,42.43,-0.99,1h
9,21,3.0,3.0,0.4286,7,0.1,800,13.4,-42.06,51.04,-0.82,1h
5,26,2.0,2.0,0.4,5,0.1,954,16.2,-42.3,46.92,-0.9,1h
9,21,5.0,2.0,0.4,5,0.2,800,9.8,-42.46,57.55,-0.74,1h
12,26,2.0,2.0,0.4,5,0.3,628,18.6,-42.56,44.51,-0.96,1h
