rsi_long,rsi_short,sl_mult,tp_mode,leverage,pos_ratio,use_ema200,trades,trades_per_yr,long_trades,short_trades,long_win_rate,short_win_rate,return_pct,max_drawdown,calmar
35,65,1.5,atr_2x,7,0.3,False,405,101.2,193,212,41.5,43.4,-88.38,98.2,-0.9
30,70,2.0,bb_mid,7,0.3,False,234,58.5,105,129,54.3,52.7,-88.66,96.82,-0.92
35,65,1.5,bb_mid,7,0.3,False,411,102.8,199,212,49.7,45.8,-88.85,97.67,-0.91
35,65,1.0,bb_mid,7,0.3,False,478,119.5,233,245,37.8,34.3,-89.22,95.84,-0.93
25,70,1.5,bb_mid,7,0.3,False,205,51.2,58,147,43.1,44.9,-89.25,97.58,-0.91
35,65,1.0,atr_3x,7,0.3,False,465,116.2,226,239,27.0,25.9,-89.5,97.01,-0.92
35,65,1.5,atr_3x,7,0.3,False,390,97.5,188,202,35.1,34.7,-89.92,98.64,-0.91
25,75,2.0,atr_3x,7,0.3,False,126,31.5,52,74,42.3,41.9,-89.93,95.13,-0.95
35,65,2.0,bb_mid,7,0.3,False,360,90.0,176,184,57.4,54.9,-91.03,97.19,-0.94
30,65,1.5,atr_3x,7,0.3,False,316,79.0,114,202,36.0,34.2,-91.23,97.71,-0.93
30,65,2.0,atr_3x,7,0.3,False,273,68.2,100,173,43.0,41.6,-91.8,98.16,-0.94
35,70,1.0,atr_2x,7,0.3,False,404,101.0,231,173,31.6,33.5,-92.2,94.35,-0.98
25,75,2.0,bb_mid,7,0.3,False,126,31.5,52,74,50.0,50.0,-92.76,97.3,-0.95
30,65,2.0,bb_mid,7,0.3,False,289,72.2,105,184,54.3,54.9,-92.94,98.08,-0.95
35,65,1.0,atr_2x,7,0.3,False,477,119.2,231,246,31.6,33.7,-93.97,95.83,-0.98
25,65,1.5,bb_mid,7,0.3,False,270,67.5,58,212,43.1,45.8,-94.24,98.29,-0.96
25,65,1.5,atr_3x,7,0.3,False,262,65.5,58,204,32.8,34.8,-94.35,98.65,-0.96
25,70,2.0,bb_mid,7,0.3,False,181,45.2,52,129,50.0,52.7,-94.94,98.4,-0.96
25,65,2.0,atr_3x,7,0.3,False,226,56.5,52,174,42.3,41.4,-95.42,98.71,-0.97
25,65,2.0,bb_mid,7,0.3,False,237,59.2,52,185,50.0,55.1,-96.57,98.95,-0.98
