rsi_long,rsi_short,sl_mult,tp_mode,leverage,pos_ratio,use_ema200,trades,trades_per_yr,long_trades,short_trades,long_win_rate,short_win_rate,return_pct,max_drawdown,calmar
30,65,1.5,atr_2x,5,0.3,False,357,89.2,141,216,36.9,41.2,-88.5,90.84,-0.97
30,75,1.5,atr_3x,7,0.2,False,224,56.0,141,83,31.9,25.3,-88.51,90.43,-0.98
30,70,2.0,bb_mid,5,0.2,False,250,62.5,126,124,50.0,46.0,-88.54,90.64,-0.98
25,70,2.0,bb_mid,7,0.2,False,195,48.8,71,124,50.7,46.0,-88.59,92.01,-0.96
35,70,1.0,bb_mid,5,0.2,False,419,104.8,263,156,33.1,26.9,-88.83,89.84,-0.99
30,75,1.0,bb_mid,7,0.2,False,267,66.8,175,92,29.1,27.2,-88.84,89.95,-0.99
25,70,1.5,atr_2x,7,0.3,False,217,54.2,78,139,43.6,34.5,-88.93,92.23,-0.96
30,65,1.5,atr_3x,5,0.3,False,347,86.8,141,206,31.9,32.5,-88.98,92.5,-0.96
30,65,1.0,atr_2x,5,0.3,False,423,105.8,175,248,28.6,31.0,-89.02,90.65,-0.98
35,70,2.0,atr_3x,5,0.2,False,296,74.0,176,120,38.6,31.7,-89.05,92.37,-0.96
25,70,1.5,atr_3x,5,0.3,False,215,53.8,78,137,33.3,26.3,-89.13,91.95,-0.97
35,75,1.5,atr_2x,7,0.2,False,295,73.8,212,83,40.1,32.5,-89.16,92.09,-0.97
25,65,1.5,atr_3x,7,0.3,False,286,71.5,78,208,33.3,32.7,-89.29,93.11,-0.96
30,75,1.0,atr_2x,5,0.3,False,267,66.8,175,92,28.6,23.9,-89.31,90.64,-0.99
30,75,1.5,atr_2x,7,0.2,False,224,56.0,141,83,36.9,32.5,-89.59,90.67,-0.99
30,70,2.0,atr_3x,7,0.2,False,243,60.8,123,120,40.7,31.7,-89.68,94.1,-0.95
30,75,2.0,atr_2x,5,0.3,False,200,50.0,125,75,45.6,34.7,-89.72,92.14,-0.97
25,65,1.0,bb_mid,7,0.3,False,341,85.2,91,250,30.8,34.8,-89.76,92.49,-0.97
35,65,1.0,atr_2x,7,0.2,False,507,126.8,259,248,29.3,31.0,-89.99,91.98,-0.98
25,70,1.5,bb_mid,7,0.3,False,217,54.2,78,139,46.2,40.3,-90.17,93.29,-0.97
25,75,1.5,atr_3x,7,0.3,False,161,40.2,78,83,33.3,25.3,-90.26,92.27,-0.98
35,75,1.0,atr_2x,7,0.2,False,351,87.8,259,92,29.3,23.9,-90.32,92.4,-0.98
35,75,2.0,atr_2x,7,0.2,False,257,64.2,182,75,47.8,34.7,-90.4,93.53,-0.97
25,70,2.0,bb_mid,5,0.3,False,195,48.8,71,124,50.7,46.0,-90.5,93.51,-0.97
30,75,1.5,atr_3x,5,0.3,False,224,56.0,141,83,31.9,25.3,-90.52,92.2,-0.98
35,70,1.0,atr_3x,5,0.2,False,410,102.5,255,155,23.1,15.5,-90.53,91.87,-0.99
35,65,1.5,atr_3x,7,0.2,False,411,102.8,208,203,32.7,32.5,-90.63,93.24,-0.97
30,75,1.0,bb_mid,5,0.3,False,267,66.8,175,92,29.1,27.2,-90.67,91.66,-0.99
30,65,1.0,bb_mid,7,0.2,False,425,106.2,175,250,29.1,34.8,-90.8,91.88,-0.99
30,65,1.5,bb_mid,7,0.2,False,362,90.5,142,220,39.4,47.3,-90.81,92.37,-0.98
35,70,2.0,bb_mid,5,0.2,False,310,77.5,186,124,53.8,46.0,-90.86,92.91,-0.98
35,75,1.5,atr_2x,5,0.3,False,295,73.8,212,83,40.1,32.5,-91.09,93.61,-0.97
30,70,2.0,atr_2x,7,0.2,False,248,62.0,125,123,45.6,39.8,-91.13,93.44,-0.98
30,75,1.5,atr_2x,5,0.3,False,224,56.0,141,83,36.9,32.5,-91.39,92.34,-0.99
25,75,2.0,atr_2x,7,0.3,False,146,36.5,71,75,47.9,34.7,-91.57,95.29,-0.96
30,75,1.5,bb_mid,7,0.2,False,225,56.2,142,83,39.4,37.3,-91.61,92.34,-0.99
25,75,2.0,bb_mid,7,0.3,False,146,36.5,71,75,50.7,44.0,-91.61,94.72,-0.97
30,75,2.0,bb_mid,7,0.2,False,201,50.2,126,75,50.0,44.0,-91.67,93.39,-0.98
30,70,2.0,atr_3x,5,0.3,False,243,60.8,123,120,40.7,31.7,-91.68,95.41,-0.96
35,65,1.0,atr_2x,5,0.3,False,507,126.8,259,248,29.3,31.0,-91.84,93.55,-0.98
35,75,1.5,atr_3x,7,0.2,False,291,72.8,208,83,32.7,25.3,-91.85,93.57,-0.98
25,70,2.0,atr_3x,7,0.2,False,191,47.8,71,120,36.6,31.7,-91.97,94.91,-0.97
35,65,2.0,atr_3x,7,0.2,False,350,87.5,176,174,38.6,38.5,-91.97,94.69,-0.97
35,65,1.0,atr_3x,7,0.2,False,501,125.2,255,246,23.1,23.6,-92.04,93.61,-0.98
35,75,1.0,atr_2x,5,0.3,False,351,87.8,259,92,29.3,23.9,-92.05,93.85,-0.98
35,65,1.5,bb_mid,7,0.2,False,437,109.2,217,220,45.2,47.3,-92.11,94.09,-0.98
35,75,1.0,bb_mid,7,0.2,False,355,88.8,263,92,33.1,27.2,-92.15,93.34,-0.99
35,75,1.0,atr_3x,7,0.2,False,347,86.8,255,92,23.1,17.4,-92.17,93.83,-0.98
35,75,2.0,atr_2x,5,0.3,False,257,64.2,182,75,47.8,34.7,-92.25,94.87,-0.97
30,65,1.0,bb_mid,5,0.3,False,425,106.2,175,250,29.1,34.8,-92.48,93.42,-0.99
