macro_span,bull_rsi_long,bear_rsi_long,rsi_short,sl_mult,tp_mode,leverage,pos_ratio,trades,long_trades,short_trades,win_rate,long_win_rate,short_win_rate,return_pct,max_drawdown,calmar
500,35,25,65,2.0,atr_3x,3,0.5,249,145,104,38.2,36.6,40.4,-97.69,99.33,-0.98
500,40,25,70,2.0,atr_2x,3,0.5,239,173,66,42.3,42.8,40.9,-97.83,98.26,-1.0
1200,40,20,70,2.0,atr_2x,3,0.5,197,98,99,42.6,41.8,43.4,-97.89,98.34,-1.0
800,35,25,65,2.0,atr_2x,3,0.5,271,141,130,42.1,43.3,40.8,-97.91,98.91,-0.99
1200,35,20,65,1.5,atr_3x,3,0.5,249,84,165,30.1,29.8,30.3,-97.91,98.28,-1.0
500,35,25,70,2.0,atr_3x,3,0.5,211,145,66,37.0,36.6,37.9,-97.91,99.5,-0.98
800,35,25,70,1.5,atr_2x,3,0.5,253,154,99,33.2,35.7,29.3,-98.02,98.16,-1.0
500,35,20,70,1.5,atr_2x,3,0.7,174,98,76,35.1,38.8,30.3,-98.03,99.06,-0.99
800,40,20,70,2.0,atr_2x,3,0.5,191,107,84,40.8,43.0,38.1,-98.04,98.45,-1.0
500,45,20,65,1.5,atr_2x,3,0.5,266,143,123,35.7,36.4,35.0,-98.05,98.38,-1.0
800,35,25,70,2.0,atr_3x,3,0.5,223,139,84,36.3,37.4,34.5,-98.06,99.51,-0.99
1200,40,20,70,1.5,atr_2x,3,0.5,223,109,114,34.5,35.8,33.3,-98.06,98.39,-1.0
1200,45,20,70,2.0,atr_3x,3,0.5,210,111,99,37.6,36.9,38.4,-98.07,98.95,-0.99
800,35,20,65,1.5,atr_3x,3,0.5,239,92,147,28.9,29.3,28.6,-98.17,98.64,-1.0
500,35,20,65,2.0,atr_3x,3,0.7,190,86,104,38.9,37.2,40.4,-98.23,99.77,-0.98
800,35,25,65,2.0,atr_3x,3,0.5,265,139,126,37.0,37.4,36.5,-98.26,99.52,-0.99
500,35,20,70,2.0,atr_3x,3,0.7,152,86,66,37.5,37.2,37.9,-98.32,99.84,-0.98
500,40,25,65,2.0,atr_2x,3,0.5,281,173,108,43.1,42.8,43.5,-98.34,98.62,-1.0
500,35,20,65,2.0,atr_2x,3,0.7,195,87,108,44.1,44.8,43.5,-98.35,99.54,-0.99
800,45,20,70,2.0,atr_3x,3,0.5,204,120,84,36.3,37.5,34.5,-98.36,99.12,-0.99
500,40,25,65,2.0,atr_3x,3,0.5,275,171,104,38.5,37.4,40.4,-98.36,98.86,-0.99
1200,40,20,70,1.5,atr_3x,3,0.5,223,109,114,29.6,30.3,28.9,-98.38,98.54,-1.0
1200,40,20,65,2.0,atr_3x,3,0.5,241,98,143,37.8,36.7,38.5,-98.41,98.91,-0.99
1200,40,20,65,2.0,atr_2x,3,0.5,245,98,147,43.3,41.8,44.2,-98.43,98.83,-1.0
500,35,25,65,1.5,atr_3x,3,0.5,280,160,120,30.4,29.4,31.7,-98.44,98.72,-1.0
500,35,25,70,1.5,atr_3x,3,0.5,236,160,76,28.8,29.4,27.6,-98.48,98.8,-1.0
500,40,25,70,2.0,atr_3x,3,0.5,237,171,66,37.6,37.4,37.9,-98.52,99.06,-0.99
1200,40,20,65,1.5,atr_2x,3,0.5,276,109,167,35.5,35.8,35.3,-98.54,98.79,-1.0
800,45,20,65,2.0,atr_3x,3,0.5,246,120,126,37.0,37.5,36.5,-98.55,99.18,-0.99
1200,45,20,70,2.0,atr_2x,3,0.5,210,111,99,42.9,42.3,43.4,-98.56,98.87,-1.0
500,45,25,70,2.0,atr_2x,3,0.5,252,186,66,42.5,43.0,40.9,-98.57,99.07,-0.99
500,40,25,70,1.5,atr_2x,3,0.5,266,190,76,34.2,35.8,30.3,-98.58,98.67,-1.0
500,35,20,65,1.5,atr_2x,3,0.7,221,98,123,36.7,38.8,35.0,-98.59,98.9,-1.0
500,45,20,70,1.5,atr_3x,3,0.5,215,139,76,28.8,29.5,27.6,-98.59,99.05,-1.0
500,45,20,65,1.5,atr_3x,3,0.5,260,139,121,30.4,29.5,31.4,-98.63,98.9,-1.0
1200,45,20,70,1.5,atr_2x,3,0.5,239,125,114,34.3,35.2,33.3,-98.67,98.89,-1.0
800,40,20,70,1.5,atr_2x,3,0.5,218,119,99,32.6,35.3,29.3,-98.67,98.9,-1.0
800,40,20,70,1.5,atr_3x,3,0.5,218,119,99,28.4,30.3,26.3,-98.68,98.81,-1.0
1200,45,20,65,2.0,atr_3x,3,0.5,254,111,143,37.8,36.9,38.5,-98.68,99.1,-1.0
1200,35,25,70,2.0,atr_3x,3,0.5,229,130,99,36.7,35.4,38.4,-98.68,99.55,-0.99
800,40,20,65,2.0,atr_2x,3,0.5,237,107,130,41.8,43.0,40.8,-98.7,99.03,-1.0
1200,40,25,70,2.0,atr_2x,3,0.5,252,153,99,42.5,41.8,43.4,-98.72,98.95,-1.0
800,40,25,70,2.0,atr_2x,3,0.5,248,164,84,41.1,42.7,38.1,-98.76,98.98,-1.0
800,35,25,65,1.5,atr_2x,3,0.5,303,154,149,34.0,35.7,32.2,-98.76,98.91,-1.0
800,45,20,70,2.0,atr_2x,3,0.5,205,121,84,41.0,43.0,38.1,-98.79,99.05,-1.0
1200,35,25,70,1.5,atr_3x,3,0.5,256,142,114,28.9,28.9,28.9,-98.79,98.91,-1.0
500,40,25,65,1.5,atr_2x,3,0.5,313,190,123,35.5,35.8,35.0,-98.84,98.99,-1.0
1200,35,20,70,1.5,atr_2x,3,0.7,200,86,114,35.5,38.4,33.3,-98.86,99.11,-1.0
500,45,25,65,2.0,atr_2x,3,0.5,294,186,108,43.2,43.0,43.5,-98.9,99.11,-1.0
500,45,25,65,2.0,atr_3x,3,0.5,287,183,104,38.3,37.2,40.4,-98.91,99.24,-1.0
1200,45,20,65,2.0,atr_2x,3,0.5,258,111,147,43.4,42.3,44.2,-98.93,99.2,-1.0
800,35,25,70,1.5,atr_3x,3,0.5,251,152,99,27.9,28.9,26.3,-98.93,99.03,-1.0
1200,40,20,65,1.5,atr_3x,3,0.5,274,109,165,30.3,30.3,30.3,-98.93,99.12,-1.0
