window,train_start,train_end,test_end,train_sharpe,oos_n,oos_n_tp,oos_n_sl,oos_n_timeout,oos_win_rate,oos_avg_win,oos_avg_loss,oos_expectancy,oos_total_ret,oos_mdd,oos_sharpe,oos_profit_factor,oos_max_consec_loss,oos_pos_size,param_entry_pct,param_rsi_thresh,param_sl_atr,param_rr_ratio,param_hurst_thresh,param_use_ema200
1,2022-01-01,2023-07-01,2024-01-01,0.658,6,0,3,3,0.0,0.0,-0.338,-0.338,-0.05,0.05,-1.037,0.0,6,0.0223,1.0,40,1.5,2.0,0.5,True
2,2022-07-01,2024-01-01,2024-07-01,0.912,17,4,7,6,23.5,2.13,-0.229,0.326,0.12,0.06,1.034,2.86,6,0.0222,0.5,35,2.0,2.5,0.5,True
3,2023-01-01,2024-07-01,2025-01-01,2.274,33,13,16,4,39.4,1.519,-0.63,0.2168,0.36,0.16,0.997,1.568,5,0.0504,0.3,35,2.0,2.0,0.5,True
4,2023-07-01,2025-01-01,2025-07-01,2.128,20,7,12,1,35.0,1.316,-0.8,-0.0591,-0.06,0.2,-0.238,0.886,4,0.0466,0.3,35,2.0,2.0,0.5,True
5,2024-01-01,2025-07-01,2026-01-01,1.708,17,4,12,1,23.5,1.091,-0.613,-0.2123,-0.14,0.27,-1.075,0.547,11,0.0386,0.3,35,2.0,2.0,0.5,True
