entry_pct,tp_pct,sl_capital,sl_price_pct,leverage,pos_ratio,trades,win_rate,return_pct,max_drawdown,sharpe
1.5,2.0,5.0,1.0,5,0.2,360,42.8,85.8,13.9,6.17
1.5,1.0,1.0,0.25,4,0.3,386,38.9,85.43,6.23,13.72
1.5,2.0,1.0,0.3333,3,0.3,377,26.5,84.53,6.34,13.33
1.5,2.0,2.0,0.6667,3,0.3,367,36.0,84.14,8.08,10.42
1.5,5.0,3.0,0.75,4,0.3,348,17.8,84.01,21.62,3.89
2.0,1.0,1.0,0.25,4,0.3,189,49.7,83.95,3.09,27.21
2.0,2.0,1.0,0.2,5,0.2,184,28.8,82.86,3.46,23.92
2.0,2.0,2.0,0.5,4,0.3,181,35.4,81.66,9.59,8.51
2.0,5.0,1.0,0.3333,3,0.3,173,15.6,81.18,5.73,14.16
1.5,5.0,5.0,1.0,5,0.3,338,21.0,80.93,32.07,2.52
1.5,2.0,10.0,2.0,5,0.2,340,57.4,80.83,16.86,4.79
1.0,3.0,1.0,0.3333,3,0.3,1080,15.0,79.68,19.57,4.07
1.5,2.0,2.0,0.4,5,0.2,374,27.5,78.56,8.44,9.31
1.0,1.0,1.0,0.2,5,0.1,1171,33.3,78.27,4.15,18.88
1.0,2.0,1.0,0.2,5,0.1,1137,18.3,77.1,7.58,10.17
2.0,5.0,2.0,0.5,4,0.3,171,16.4,76.14,10.32,7.38
2.0,2.0,2.0,0.4,5,0.2,182,34.1,75.96,6.47,11.74
2.0,5.0,2.0,0.4,5,0.2,172,15.7,75.85,7.29,10.41
1.5,1.0,2.0,0.4,5,0.3,384,43.0,75.65,11.11,6.81
1.0,3.0,1.0,0.2,5,0.1,1107,12.6,75.64,8.94,8.46
1.5,2.0,3.0,1.0,3,0.3,360,42.8,75.27,12.58,5.98
1.0,2.0,2.0,0.4,5,0.2,1107,23.1,73.65,28.79,2.56
2.0,3.0,2.0,0.5,4,0.3,176,25.0,73.49,10.83,6.79
1.0,5.0,1.0,0.25,4,0.2,1055,8.1,72.96,16.09,4.53
1.5,5.0,1.0,0.3333,3,0.3,366,11.5,72.64,18.42,3.94
1.5,2.0,2.0,0.5,4,0.2,371,31.5,72.03,7.32,9.83
1.5,2.0,5.0,1.6667,3,0.3,351,53.3,71.89,13.23,5.44
2.0,5.0,1.0,0.25,4,0.2,175,14.3,71.66,4.5,15.92
2.0,1.0,2.0,0.5,4,0.3,189,56.1,71.35,5.69,12.54
2.0,2.0,3.0,0.6,5,0.2,181,38.7,71.16,9.61,7.4
2.0,2.0,1.0,0.3333,3,0.3,183,32.8,70.97,5.24,13.55
1.5,3.0,1.0,0.3333,3,0.3,372,18.0,70.58,6.18,11.42
1.5,5.0,2.0,0.6667,3,0.3,350,16.9,70.05,14.93,4.69
3.0,2.0,2.0,0.4,5,0.3,58,46.6,69.06,3.76,18.34
1.0,5.0,1.0,0.2,5,0.1,1072,7.7,68.85,9.96,6.91
2.0,3.0,2.0,0.4,5,0.2,177,23.7,68.82,6.96,9.89
1.5,3.0,1.0,0.25,4,0.2,374,16.3,68.37,6.02,11.36
3.0,2.0,1.0,0.2,5,0.3,58,41.4,68.34,2.3,29.68
2.0,3.0,1.0,0.3333,3,0.3,178,23.0,68.32,5.14,13.28
2.0,1.0,1.0,0.2,5,0.2,189,48.1,68.29,2.09,32.65
1.0,3.0,2.0,0.4,5,0.3,1069,16.0,68.19,36.83,1.85
1.5,3.0,2.0,0.5,4,0.2,365,22.5,67.97,10.58,6.42
1.5,1.0,1.0,0.2,5,0.2,387,36.2,66.83,4.77,14.01
1.0,1.0,2.0,0.5,4,0.3,1145,42.7,66.81,30.86,2.16
1.0,1.0,1.0,0.3333,3,0.2,1154,38.1,66.56,8.73,7.62
1.0,5.0,1.0,0.3333,3,0.3,1038,9.3,66.25,20.9,3.17
2.0,5.0,3.0,0.6,5,0.2,170,18.2,65.9,10.64,6.19
1.0,2.0,1.0,0.3333,3,0.2,1115,21.9,64.5,12.85,5.02
1.5,5.0,1.0,0.25,4,0.2,367,10.1,64.38,13.6,4.73
2.0,1.0,5.0,1.0,5,0.3,187,64.2,63.9,8.64,7.4
1.5,5.0,2.0,0.5,4,0.2,356,14.3,63.74,19.11,3.34
1.0,5.0,2.0,0.5,4,0.3,1001,12.0,63.14,28.04,2.25
1.5,3.0,3.0,0.75,4,0.2,360,27.5,63.12,8.03,7.86
1.5,2.0,3.0,0.75,4,0.2,366,37.2,61.92,8.26,7.5
1.5,2.0,5.0,1.25,4,0.2,357,47.1,61.89,12.13,5.1
1.0,2.0,2.0,0.5,4,0.3,1095,25.8,61.89,40.04,1.55
2.0,3.0,3.0,0.6,5,0.2,175,27.4,61.57,13.42,4.59
2.0,1.0,3.0,0.6,5,0.2,189,59.8,61.32,5.28,11.62
1.5,3.0,2.0,0.6667,3,0.2,361,27.1,61.22,5.52,11.09
2.0,1.0,3.0,0.75,4,0.3,189,60.8,61.01,7.83,7.8
2.0,3.0,1.0,0.25,4,0.2,179,21.2,60.94,3.58,17.03
2.0,2.0,1.0,0.25,4,0.2,183,30.1,60.08,3.58,16.79
3.0,2.0,3.0,0.6,5,0.3,58,48.3,59.98,5.21,11.51
1.5,3.0,2.0,0.4,5,0.2,369,18.7,59.74,13.17,4.54
3.0,5.0,10.0,2.0,5,0.3,53,39.6,59.19,24.88,2.38
2.0,1.0,2.0,0.4,5,0.2,189,53.4,58.96,3.7,15.93
3.0,2.0,10.0,2.0,5,0.3,55,67.3,58.94,12.35,4.77
1.5,5.0,2.0,0.4,5,0.2,362,11.9,58.03,22.91,2.53
1.5,3.0,5.0,1.0,5,0.2,353,31.2,57.84,14.44,4.0
2.0,3.0,5.0,1.0,5,0.3,172,32.6,57.49,23.94,2.4
