retrace_min,retrace_max,tp_ext,sl_buf,leverage,pos_ratio,signal_type,trades,long_trades,short_trades,win_rate,return_pct,max_drawdown,calmar,final_balance,swing_window,coin,timeframe,period,n_bos
0.5,0.786,1.272,0.002,5,0.2,fvg_only,5,5,0,40.0,6.26,1.22,5.12,1062.6,5,sol,1H,3m,60
0.382,0.618,2.0,0.002,3,0.1,both,42,22,20,35.7,10.91,2.13,5.12,1109.1,3,sol,1H,3m,107
0.5,0.786,1.272,0.002,3,0.2,fvg_only,5,5,0,40.0,3.75,0.73,5.11,1037.53,5,sol,1H,3m,60
0.5,0.786,1.272,0.002,5,0.1,fvg_only,5,5,0,40.0,3.13,0.61,5.11,1031.26,5,sol,1H,3m,60
0.5,0.786,1.272,0.002,7,0.1,fvg_only,5,5,0,40.0,4.38,0.86,5.11,1043.79,5,sol,1H,3m,60
0.5,0.786,1.272,0.002,3,0.1,fvg_only,5,5,0,40.0,1.87,0.37,5.1,1018.75,5,sol,1H,3m,60
0.5,0.786,2.0,0.002,7,0.1,ob_only,42,21,21,33.3,19.54,3.85,5.07,1195.41,3,sol,1H,3m,107
0.5,0.786,2.0,0.002,3,0.2,ob_only,42,21,21,33.3,16.65,3.31,5.03,1166.53,3,sol,1H,3m,107
0.5,0.786,2.0,0.002,5,0.1,ob_only,42,21,21,33.3,13.8,2.77,4.99,1137.96,3,sol,1H,3m,107
0.382,0.618,2.0,0.005,7,0.1,both,42,22,20,40.5,24.4,4.89,4.99,1243.96,3,sol,1H,3m,107
0.5,0.786,1.618,0.002,7,0.2,ob_only,48,25,23,39.6,37.49,7.59,4.94,1374.94,3,sol,1H,3m,107
0.382,0.618,2.0,0.005,3,0.2,both,42,22,20,40.5,20.73,4.2,4.94,1207.29,3,sol,1H,3m,107
0.5,0.786,2.0,0.002,3,0.1,ob_only,42,21,21,33.3,8.18,1.67,4.91,1081.78,3,sol,1H,3m,107
0.382,0.618,2.0,0.005,5,0.1,both,42,22,20,40.5,17.12,3.51,4.88,1171.22,3,sol,1H,3m,107
0.5,0.786,2.0,0.002,7,0.2,both,44,24,20,31.8,38.88,8.06,4.82,1388.77,3,sol,1H,3m,107
0.5,0.786,1.618,0.002,5,0.2,ob_only,48,25,23,39.6,26.19,5.47,4.79,1261.88,3,sol,1H,3m,107
0.382,0.618,2.0,0.005,3,0.1,both,42,22,20,40.5,10.09,2.11,4.77,1100.88,3,sol,1H,3m,107
0.5,0.786,2.0,0.002,5,0.2,both,44,24,20,31.8,27.29,5.82,4.69,1272.89,3,sol,1H,3m,107
0.5,0.786,1.618,0.002,7,0.1,ob_only,48,25,23,39.6,18.01,3.85,4.67,1180.09,3,sol,1H,3m,107
0.5,0.786,1.618,0.002,3,0.2,ob_only,48,25,23,39.6,15.34,3.31,4.63,1153.42,3,sol,1H,3m,107
0.5,0.786,2.0,0.002,7,0.1,both,44,24,20,31.8,18.83,4.1,4.59,1188.28,3,sol,1H,3m,107
0.5,0.786,1.618,0.002,5,0.1,ob_only,48,25,23,39.6,12.71,2.77,4.59,1127.06,3,sol,1H,3m,107
0.5,0.786,2.0,0.002,3,0.2,both,44,24,20,31.8,16.06,3.52,4.56,1160.57,3,sol,1H,3m,107
0.5,0.786,2.0,0.002,5,0.1,both,44,24,20,31.8,13.31,2.94,4.52,1133.11,3,sol,1H,3m,107
0.5,0.786,1.618,0.002,3,0.1,ob_only,48,25,23,39.6,7.53,1.67,4.52,1075.27,3,sol,1H,3m,107
0.5,0.786,2.0,0.002,3,0.1,both,44,24,20,31.8,7.9,1.77,4.45,1079.01,3,sol,1H,3m,107
0.5,0.786,1.618,0.002,7,0.2,both,51,29,22,37.3,35.27,8.06,4.37,1352.71,3,sol,1H,3m,107
0.5,0.786,1.618,0.002,5,0.2,both,51,29,22,37.3,24.73,5.82,4.25,1247.29,3,sol,1H,3m,107
0.5,0.786,1.618,0.002,7,0.1,both,51,29,22,37.3,17.05,4.1,4.16,1170.52,3,sol,1H,3m,107
0.5,0.786,1.618,0.005,3,0.2,fvg_only,5,5,0,40.0,4.52,1.09,4.15,1045.24,5,sol,1H,3m,60
0.5,0.786,1.618,0.005,7,0.2,fvg_only,5,5,0,40.0,10.54,2.54,4.15,1105.36,5,sol,1H,3m,60
0.5,0.786,1.618,0.005,7,0.1,fvg_only,5,5,0,40.0,5.28,1.27,4.15,1052.77,5,sol,1H,3m,60
0.5,0.786,1.618,0.005,5,0.2,fvg_only,5,5,0,40.0,7.53,1.82,4.15,1075.33,5,sol,1H,3m,60
0.5,0.786,1.618,0.005,3,0.1,fvg_only,5,5,0,40.0,2.26,0.55,4.14,1022.63,5,sol,1H,3m,60
0.5,0.786,1.618,0.005,5,0.1,fvg_only,5,5,0,40.0,3.77,0.91,4.14,1037.71,5,sol,1H,3m,60
0.5,0.786,1.618,0.002,3,0.2,both,51,29,22,37.3,14.54,3.52,4.13,1145.4,3,sol,1H,3m,107
0.5,0.786,1.618,0.002,5,0.1,both,51,29,22,37.3,12.05,2.94,4.1,1120.52,3,sol,1H,3m,107
0.5,0.786,1.618,0.002,3,0.1,both,51,29,22,37.3,7.15,1.77,4.03,1071.53,3,sol,1H,3m,107
0.382,0.618,1.272,0.002,7,0.2,ob_only,49,23,26,42.9,36.27,9.09,3.99,1362.68,3,sol,1H,3m,107
0.382,0.618,1.272,0.002,5,0.2,ob_only,49,23,26,42.9,25.31,6.56,3.86,1253.14,3,sol,1H,3m,107
0.382,0.618,1.272,0.002,7,0.1,ob_only,49,23,26,42.9,17.4,4.63,3.76,1173.99,3,sol,1H,3m,107
0.382,0.618,1.272,0.002,3,0.2,ob_only,49,23,26,42.9,14.82,3.98,3.72,1148.21,3,sol,1H,3m,107
0.382,0.618,1.272,0.002,5,0.1,ob_only,49,23,26,42.9,12.27,3.32,3.69,1122.72,3,sol,1H,3m,107
0.382,0.618,1.272,0.002,3,0.1,ob_only,49,23,26,42.9,7.27,2.01,3.62,1072.69,3,sol,1H,3m,107
0.5,0.786,1.272,0.002,7,0.2,ob_only,54,28,26,40.7,25.61,7.1,3.61,1256.14,3,sol,1H,3m,107
0.5,0.786,1.618,0.002,3,0.1,fvg_only,6,6,0,16.7,1.4,0.39,3.61,1014.02,8,sol,1H,3m,41
0.382,0.786,2.0,0.002,7,0.2,ob_only,45,22,23,31.1,32.69,9.09,3.6,1326.91,3,sol,1H,3m,107
0.5,0.786,1.618,0.002,5,0.1,fvg_only,6,6,0,16.7,2.32,0.65,3.59,1023.24,8,sol,1H,3m,41
0.5,0.786,1.618,0.002,3,0.2,fvg_only,6,6,0,16.7,2.78,0.78,3.59,1027.81,8,sol,1H,3m,41
0.5,0.786,1.618,0.002,7,0.1,fvg_only,6,6,0,16.7,3.24,0.9,3.58,1032.36,8,sol,1H,3m,41
0.5,0.786,1.272,0.002,5,0.2,ob_only,54,28,26,40.7,18.17,5.11,3.55,1181.7,3,sol,1H,3m,107
0.5,0.786,1.618,0.002,5,0.2,fvg_only,6,6,0,16.7,4.59,1.29,3.55,1045.86,8,sol,1H,3m,41
