retrace_min,retrace_max,tp_ext,sl_buf,leverage,pos_ratio,signal_type,trades,long_trades,short_trades,win_rate,return_pct,max_drawdown,calmar,final_balance,swing_window,coin,timeframe,period,n_bos
0.382,0.786,2.0,0.002,3,0.1,fvg_only,2,2,0,50.0,3.24,0.13,24.05,1032.38,5,btc,4H,3m,15
0.382,0.618,2.0,0.002,3,0.1,fvg_only,2,2,0,50.0,3.24,0.13,24.05,1032.38,5,btc,4H,3m,15
0.382,0.786,2.0,0.002,5,0.1,fvg_only,2,2,0,50.0,5.39,0.22,24.02,1053.92,5,btc,4H,3m,15
0.382,0.618,2.0,0.002,5,0.1,fvg_only,2,2,0,50.0,5.39,0.22,24.02,1053.92,5,btc,4H,3m,15
0.382,0.618,2.0,0.002,3,0.2,fvg_only,2,2,0,50.0,6.47,0.27,24.01,1064.67,5,btc,4H,3m,15
0.382,0.786,2.0,0.002,3,0.2,fvg_only,2,2,0,50.0,6.47,0.27,24.01,1064.67,5,btc,4H,3m,15
0.382,0.786,2.0,0.002,7,0.1,fvg_only,2,2,0,50.0,7.54,0.31,24.0,1075.41,5,btc,4H,3m,15
0.382,0.618,2.0,0.002,7,0.1,fvg_only,2,2,0,50.0,7.54,0.31,24.0,1075.41,5,btc,4H,3m,15
0.382,0.618,2.0,0.002,5,0.2,fvg_only,2,2,0,50.0,10.76,0.45,23.97,1107.58,5,btc,4H,3m,15
0.382,0.786,2.0,0.002,5,0.2,fvg_only,2,2,0,50.0,10.76,0.45,23.97,1107.58,5,btc,4H,3m,15
0.382,0.786,2.0,0.002,7,0.2,fvg_only,2,2,0,50.0,15.03,0.63,23.92,1150.33,5,btc,4H,3m,15
0.382,0.618,2.0,0.002,7,0.2,fvg_only,2,2,0,50.0,15.03,0.63,23.92,1150.33,5,btc,4H,3m,15
0.382,0.618,1.618,0.002,3,0.1,fvg_only,2,2,0,50.0,2.59,0.13,19.22,1025.88,5,btc,4H,3m,15
0.382,0.786,1.618,0.002,3,0.1,fvg_only,2,2,0,50.0,2.59,0.13,19.22,1025.88,5,btc,4H,3m,15
