entry_pct,tp_pct,sl_capital,sl_price_pct,leverage,pos_ratio,trades,win_rate,return_pct,max_drawdown,sharpe
1.0,2.0,5.0,1.6667,3,0.2,385,47.8,-5.48,14.96,-0.37
1.0,3.0,3.0,1.0,3,0.3,397,27.5,-5.55,35.66,-0.16
1.0,1.0,5.0,2.5,2,0.1,393,72.3,-5.59,7.54,-0.74
1.0,3.0,10.0,10.0,1,0.2,171,76.6,-5.7,12.27,-0.46
1.0,1.0,3.0,3.0,1,0.1,379,73.6,-5.77,6.11,-0.94
1.0,1.0,5.0,5.0,1,0.1,334,82.0,-5.85,6.6,-0.89
1.0,5.0,3.0,3.0,1,0.1,264,36.0,-5.85,6.32,-0.93
1.5,2.0,10.0,2.5,4,0.2,130,56.9,-5.89,21.78,-0.27
1.0,5.0,10.0,5.0,2,0.1,209,49.8,-6.03,11.82,-0.51
1.0,5.0,5.0,5.0,1,0.2,209,49.8,-6.03,11.82,-0.51
1.0,3.0,2.0,2.0,1,0.3,342,40.9,-6.19,12.27,-0.5
1.0,5.0,5.0,2.5,2,0.2,289,34.3,-6.27,17.3,-0.36
1.0,5.0,10.0,2.5,4,0.1,289,34.3,-6.27,17.3,-0.36
1.0,1.0,5.0,1.25,4,0.1,433,58.4,-6.34,12.31,-0.52
1.0,2.0,10.0,10.0,1,0.2,212,83.0,-6.49,13.3,-0.49
1.0,3.0,5.0,1.0,5,0.2,397,27.5,-6.73,38.91,-0.17
1.0,3.0,5.0,1.25,4,0.2,383,31.6,-6.76,24.86,-0.27
1.0,3.0,5.0,5.0,1,0.2,248,62.1,-7.05,11.18,-0.63
1.0,3.0,10.0,5.0,2,0.1,248,62.1,-7.05,11.18,-0.63
1.0,1.0,5.0,1.6667,3,0.1,415,64.1,-7.19,8.57,-0.84
0.5,5.0,5.0,2.5,2,0.1,709,34.1,-7.2,17.37,-0.41
1.0,1.0,2.0,2.0,1,0.3,403,68.0,-7.36,8.62,-0.85
1.0,3.0,10.0,2.5,4,0.1,327,46.5,-7.36,16.76,-0.44
1.0,3.0,5.0,2.5,2,0.2,327,46.5,-7.36,16.76,-0.44
1.0,5.0,5.0,1.0,5,0.3,373,18.8,-7.38,63.55,-0.12
1.5,3.0,10.0,3.3333,3,0.3,119,53.8,-7.44,29.78,-0.25
1.0,2.0,10.0,3.3333,3,0.2,325,64.0,-7.47,24.1,-0.31
1.0,1.0,3.0,1.5,2,0.2,424,62.3,-7.56,10.18,-0.74
0.5,3.0,10.0,10.0,1,0.3,305,77.4,-7.58,28.74,-0.26
1.0,2.0,5.0,5.0,1,0.3,283,71.7,-7.66,12.59,-0.61
1.0,3.0,5.0,1.6667,3,0.1,357,36.4,-7.71,11.13,-0.69
1.0,3.0,3.0,1.5,2,0.3,371,35.0,-7.9,18.1,-0.44
1.5,5.0,10.0,3.3333,3,0.2,114,40.4,-7.92,20.48,-0.39
0.5,3.0,3.0,3.0,1,0.1,887,50.1,-8.58,9.6,-0.89
1.0,5.0,3.0,1.5,2,0.2,332,23.8,-8.7,18.81,-0.46
1.0,5.0,5.0,1.6667,3,0.1,321,25.2,-8.91,13.99,-0.64
1.0,3.0,10.0,10.0,1,0.3,171,76.6,-9.15,18.17,-0.5
