retrace_min,retrace_max,tp_ext,sl_buf,leverage,pos_ratio,signal_type,trades,long_trades,short_trades,win_rate,return_pct,max_drawdown,calmar,final_balance,swing_window,coin,timeframe,period,n_bos
0.5,0.786,2.0,0.002,3,0.1,ob_only,39,24,15,35.9,5.65,1.49,3.79,1056.47,3,eth,1H,3m,91
0.5,0.786,1.618,0.002,3,0.2,both,42,25,17,38.1,11.95,3.16,3.78,1119.47,3,eth,1H,3m,91
0.5,0.786,1.618,0.005,5,0.1,both,40,24,16,50.0,12.39,3.29,3.77,1123.92,3,eth,1H,3m,91
0.382,0.786,1.272,0.002,5,0.1,ob_only,48,30,18,45.8,10.78,2.86,3.77,1107.82,3,eth,1H,3m,91
0.5,0.786,2.0,0.002,7,0.2,both,40,25,15,35.0,26.18,6.95,3.77,1261.77,3,eth,1H,3m,91
0.382,0.618,1.272,0.005,7,0.2,ob_only,38,24,14,55.3,31.52,8.37,3.77,1315.16,3,eth,1H,3m,91
0.5,0.786,1.618,0.002,5,0.1,both,42,25,17,38.1,9.9,2.64,3.76,1098.99,3,eth,1H,3m,91
0.5,0.786,1.618,0.002,3,0.1,both,42,25,17,38.1,5.87,1.58,3.71,1058.71,3,eth,1H,3m,91
0.5,0.786,2.0,0.002,5,0.2,both,40,25,15,35.0,18.43,4.97,3.71,1184.27,3,eth,1H,3m,91
0.5,0.786,1.272,0.005,7,0.2,ob_only,40,23,17,55.0,33.31,8.98,3.71,1333.1,3,eth,1H,3m,91
0.382,0.786,1.272,0.002,3,0.1,ob_only,48,30,18,45.8,6.39,1.72,3.7,1063.86,3,eth,1H,3m,91
0.5,0.786,1.618,0.005,3,0.1,both,40,24,16,50.0,7.31,1.98,3.69,1073.13,3,eth,1H,3m,91
0.382,0.618,1.272,0.005,7,0.2,both,40,26,14,55.0,30.77,8.37,3.68,1307.71,3,eth,1H,3m,91
0.5,0.786,2.0,0.002,7,0.1,both,40,25,15,35.0,12.75,3.48,3.67,1127.5,3,eth,1H,3m,91
