rsi_thresh,sl_atr_mult,tp_mode,leverage,pos_ratio,use_ema200,trades,trades_per_yr,win_rate,return_pct,max_drawdown,calmar,timeframe
45,2.0,atr_2x,7,0.3,False,648,216.0,49.4,-90.1,93.97,-0.96,1h
40,1.5,bb_mid,7,0.2,False,661,220.3,47.5,-90.21,91.13,-0.99,1h
40,2.0,atr_2x,7,0.3,False,572,190.7,48.8,-90.48,94.02,-0.96,1h
40,1.5,atr_3x,7,0.2,False,585,195.0,31.5,-90.56,91.57,-0.99,1h
45,1.5,bb_mid,5,0.3,False,759,253.0,50.3,-90.99,91.88,-0.99,1h
40,1.0,atr_2x,7,0.3,False,693,231.0,32.2,-91.22,94.54,-0.96,1h
40,1.5,bb_mid,5,0.3,False,661,220.3,47.5,-91.82,92.64,-0.99,1h
35,1.0,atr_3x,7,0.3,False,505,168.3,24.4,-91.85,93.23,-0.99,1h
40,1.5,atr_3x,5,0.3,False,585,195.0,31.5,-92.19,93.07,-0.99,1h
40,1.0,atr_3x,7,0.3,False,657,219.0,25.3,-92.5,94.95,-0.97,1h
45,1.0,bb_mid,7,0.3,False,813,271.0,41.1,-92.74,93.74,-0.99,1h
35,1.0,atr_2x,7,0.3,False,519,173.0,30.4,-92.75,93.85,-0.99,1h
35,1.0,bb_mid,7,0.3,False,531,177.0,34.7,-92.77,93.48,-0.99,1h
40,2.0,atr_3x,7,0.3,False,527,175.7,40.6,-93.68,96.28,-0.97,1h
35,1.5,atr_3x,7,0.3,False,446,148.7,31.6,-94.43,95.76,-0.99,1h
35,1.5,bb_mid,7,0.3,False,487,162.3,45.8,-94.47,95.49,-0.99,1h
35,1.5,atr_2x,7,0.3,False,464,154.7,39.0,-94.86,96.11,-0.99,1h
45,1.5,atr_3x,7,0.3,False,659,219.7,33.2,-95.0,95.9,-0.99,1h
40,2.0,bb_mid,7,0.3,False,616,205.3,58.0,-95.28,96.14,-0.99,1h
40,1.0,bb_mid,7,0.3,False,712,237.3,37.8,-95.31,96.05,-0.99,1h
45,1.5,atr_2x,7,0.3,False,706,235.3,40.7,-95.45,96.94,-0.98,1h
45,2.0,bb_mid,7,0.3,False,708,236.0,59.5,-96.16,96.93,-0.99,1h
40,1.5,atr_2x,7,0.3,False,629,209.7,39.6,-96.16,97.24,-0.99,1h
45,1.5,bb_mid,7,0.3,False,759,253.0,50.3,-96.96,97.36,-1.0,1h
40,1.5,bb_mid,7,0.3,False,661,220.3,47.5,-97.32,97.68,-1.0,1h
40,1.5,atr_3x,7,0.3,False,585,195.0,31.5,-97.63,97.97,-1.0,1h
