entry_pct,tp_pct,sl_capital,sl_price_pct,leverage,pos_ratio,trades,win_rate,return_pct,max_drawdown,sharpe
2.0,5.0,2.0,0.5,4,0.2,512,18.0,355.27,16.34,21.74
2.0,3.0,1.0,0.3333,3,0.3,539,22.6,353.99,8.23,42.99
2.0,5.0,10.0,2.0,5,0.3,461,34.3,351.39,52.75,6.66
2.0,5.0,5.0,1.6667,3,0.3,475,32.4,348.23,27.53,12.65
1.5,5.0,2.0,0.5,4,0.3,968,13.6,348.07,31.91,10.91
1.0,3.0,2.0,0.4,5,0.2,2687,16.6,339.87,44.13,7.7
1.0,2.0,1.0,0.3333,3,0.3,2825,21.2,337.91,27.88,12.12
1.5,3.0,2.0,0.5,4,0.2,1021,22.4,322.18,16.19,19.9
1.5,3.0,3.0,0.75,4,0.3,1000,26.3,321.87,35.92,8.96
1.5,5.0,2.0,0.4,5,0.2,981,12.2,315.18,23.48,13.42
1.5,2.0,2.0,0.5,4,0.3,1043,28.9,314.84,37.81,8.33
2.0,3.0,1.0,0.25,4,0.2,541,21.1,312.23,5.98,52.21
3.0,3.0,3.0,0.6,5,0.3,205,32.7,303.66,12.85,23.63
1.5,5.0,1.0,0.3333,3,0.3,993,11.3,301.36,16.4,18.37
2.0,5.0,1.0,0.3333,3,0.2,523,16.6,299.49,7.2,41.57
3.0,3.0,1.0,0.2,5,0.3,206,23.8,296.51,6.0,49.41
1.5,2.0,2.0,0.4,5,0.2,1046,26.5,288.77,21.49,13.44
3.0,5.0,1.0,0.2,5,0.3,203,14.8,284.47,8.69,32.73
1.5,3.0,2.0,0.6667,3,0.3,1009,25.2,272.75,25.31,10.78
2.0,2.0,2.0,0.5,4,0.3,536,32.5,269.09,11.96,22.49
1.0,5.0,1.0,0.3333,3,0.3,2532,9.4,268.84,35.9,7.49
1.5,5.0,3.0,0.6,5,0.3,950,14.6,265.76,45.74,5.81
1.0,2.0,1.0,0.2,5,0.1,2877,17.8,259.15,8.93,29.03
2.0,5.0,1.0,0.2,5,0.1,531,15.1,252.05,3.71,68.01
1.5,5.0,1.0,0.25,4,0.2,1008,9.8,251.45,16.32,15.41
1.5,3.0,5.0,1.25,4,0.3,938,35.0,251.24,58.3,4.31
2.0,2.0,2.0,0.4,5,0.2,539,30.8,250.38,8.04,31.16
1.5,2.0,1.0,0.3333,3,0.3,1051,24.5,250.37,14.38,17.41
1.5,2.0,1.0,0.25,4,0.2,1058,22.2,244.34,11.01,22.19
3.0,5.0,2.0,0.4,5,0.3,203,17.2,237.67,12.46,19.08
2.0,3.0,2.0,0.6667,3,0.3,528,28.2,236.7,13.13,18.02
3.0,3.0,2.0,0.4,5,0.3,206,26.7,233.48,10.3,22.67
1.5,3.0,1.0,0.3333,3,0.2,1035,18.9,230.67,9.15,25.22
2.0,2.0,1.0,0.3333,3,0.3,543,29.3,230.21,7.02,32.77
3.0,3.0,5.0,1.0,5,0.3,203,37.9,225.98,17.95,12.59
2.0,2.0,3.0,0.6,5,0.2,536,35.6,222.4,9.75,22.82
1.5,3.0,5.0,1.0,5,0.3,969,30.1,221.77,60.6,3.66
2.0,5.0,10.0,3.3333,3,0.3,414,45.9,221.58,34.04,6.51
3.0,3.0,2.0,0.5,4,0.3,206,31.1,219.8,8.53,25.76
2.0,2.0,3.0,0.75,4,0.3,536,37.9,219.48,16.24,13.51
1.5,3.0,10.0,2.0,5,0.3,868,44.7,218.04,68.01,3.21
2.0,5.0,10.0,2.5,4,0.3,440,38.6,217.18,54.41,3.99
2.0,5.0,1.0,0.5,2,0.3,512,18.0,215.93,12.5,17.27
3.0,5.0,3.0,0.6,5,0.3,200,20.0,215.01,19.32,11.13
2.0,3.0,5.0,1.0,5,0.2,520,33.5,214.67,12.87,16.68
2.0,5.0,3.0,1.5,2,0.3,486,31.1,213.67,17.55,12.17
2.0,5.0,2.0,0.6667,3,0.2,510,20.4,212.96,12.05,17.67
2.0,2.0,1.0,0.25,4,0.2,544,27.4,212.5,4.41,48.13
1.0,5.0,2.0,0.4,5,0.3,2485,10.2,212.26,59.03,3.6
2.0,5.0,2.0,1.0,2,0.3,500,25.0,212.09,10.59,20.02
2.0,5.0,3.0,1.0,3,0.2,500,25.0,212.09,10.59,20.02
1.5,1.0,1.0,0.2,5,0.3,1084,31.0,209.78,33.77,6.21
2.0,5.0,10.0,2.0,5,0.2,461,34.3,208.6,38.58,5.41
1.5,3.0,1.0,0.2,5,0.1,1050,16.1,203.32,6.73,30.22
2.0,5.0,2.0,0.4,5,0.1,517,17.4,203.11,7.1,28.61
1.0,3.0,1.0,0.2,5,0.1,2788,11.9,202.63,16.18,12.52
1.5,2.0,3.0,0.6,5,0.2,1039,31.3,200.56,39.77,5.04
1.0,2.0,2.0,0.4,5,0.2,2796,22.7,198.62,40.68,4.88
1.5,3.0,1.0,0.5,2,0.3,1021,22.4,198.37,12.36,16.05
1.5,2.0,3.0,0.75,4,0.3,1029,34.5,197.99,42.98,4.61
3.0,3.0,1.0,0.25,4,0.3,206,24.8,197.9,6.12,32.32
2.0,5.0,3.0,0.6,5,0.1,511,20.4,197.32,9.11,21.65
2.0,3.0,2.0,0.5,4,0.2,529,24.8,197.05,8.87,22.21
2.0,3.0,5.0,1.25,4,0.3,512,36.5,196.85,21.14,9.31
2.0,3.0,3.0,0.75,4,0.2,528,29.7,191.15,11.59,16.49
1.0,3.0,1.0,0.3333,3,0.2,2717,15.1,190.18,25.09,7.58
