retrace_min,retrace_max,tp_ext,sl_buf,leverage,pos_ratio,signal_type,trades,long_trades,short_trades,win_rate,return_pct,max_drawdown,calmar,final_balance,swing_window,coin,timeframe,period,n_bos
0.5,0.786,1.618,0.002,7,0.1,ob_only,190,103,87,25.3,19.13,10.21,1.87,1191.3,8,btc,1H,3y,492
0.5,0.786,1.618,0.002,5,0.2,ob_only,190,103,87,25.3,26.65,14.28,1.87,1266.5,8,btc,1H,3y,492
0.5,0.786,1.618,0.002,5,0.1,ob_only,190,103,87,25.3,13.85,7.4,1.87,1138.49,8,btc,1H,3y,492
0.5,0.786,1.618,0.002,3,0.2,ob_only,190,103,87,25.3,16.51,8.81,1.87,1165.13,8,btc,1H,3y,492
0.5,0.786,1.618,0.002,3,0.1,ob_only,190,103,87,25.3,8.4,4.5,1.87,1084.0,8,btc,1H,3y,492
0.5,0.786,1.618,0.002,7,0.2,ob_only,190,103,87,25.3,35.73,19.45,1.84,1357.32,8,btc,1H,3y,492
0.382,0.786,2.0,0.002,3,0.1,ob_only,197,107,90,21.8,7.48,5.7,1.31,1074.8,8,btc,1H,3y,492
0.382,0.786,2.0,0.002,5,0.1,ob_only,197,107,90,21.8,11.97,9.45,1.27,1119.74,8,btc,1H,3y,492
0.382,0.786,2.0,0.002,3,0.2,ob_only,197,107,90,21.8,14.05,11.38,1.23,1140.52,8,btc,1H,3y,492
0.382,0.786,2.0,0.002,7,0.1,ob_only,197,107,90,21.8,16.01,13.32,1.2,1160.1,8,btc,1H,3y,492
0.5,0.786,1.272,0.005,7,0.2,fvg_only,62,62,0,30.6,13.94,12.15,1.15,1139.35,3,btc,1H,3y,1168
0.5,0.786,1.272,0.005,7,0.1,fvg_only,62,62,0,30.6,7.21,6.25,1.15,1072.06,3,btc,1H,3y,1168
0.5,0.786,1.272,0.005,5,0.2,fvg_only,62,62,0,30.6,10.15,8.82,1.15,1101.54,3,btc,1H,3y,1168
0.5,0.786,1.272,0.005,5,0.1,fvg_only,62,62,0,30.6,5.19,4.5,1.15,1051.92,3,btc,1H,3y,1168
0.5,0.786,1.272,0.005,3,0.2,fvg_only,62,62,0,30.6,6.2,5.38,1.15,1062.04,3,btc,1H,3y,1168
0.5,0.786,1.272,0.005,3,0.1,fvg_only,62,62,0,30.6,3.14,2.72,1.15,1031.41,3,btc,1H,3y,1168
0.5,0.786,1.618,0.002,3,0.1,both,207,120,87,23.2,5.68,5.01,1.13,1056.79,8,btc,1H,3y,492
0.382,0.786,2.0,0.002,5,0.2,ob_only,197,107,90,21.8,21.1,19.14,1.1,1211.01,8,btc,1H,3y,492
0.5,0.786,1.618,0.002,5,0.1,both,207,120,87,23.2,9.12,8.32,1.1,1091.22,8,btc,1H,3y,492
0.5,0.786,1.618,0.002,3,0.2,both,207,120,87,23.2,10.73,10.01,1.07,1107.3,8,btc,1H,3y,492
0.5,0.786,1.618,0.002,7,0.1,both,207,120,87,23.2,12.26,11.71,1.05,1122.59,8,btc,1H,3y,492
0.382,0.786,2.0,0.005,3,0.1,ob_only,184,101,83,27.2,7.49,7.39,1.01,1074.88,8,btc,1H,3y,492
0.382,0.786,2.0,0.005,5,0.1,ob_only,184,101,83,27.2,11.89,12.07,0.99,1118.94,8,btc,1H,3y,492
0.382,0.786,2.0,0.005,3,0.2,ob_only,184,101,83,27.2,13.9,14.34,0.97,1138.98,8,btc,1H,3y,492
0.5,0.786,1.618,0.002,5,0.2,both,207,120,87,23.2,16.33,16.84,0.97,1163.35,8,btc,1H,3y,492
0.382,0.786,2.0,0.002,7,0.2,ob_only,197,107,90,21.8,25.9,26.84,0.96,1258.99,8,btc,1H,3y,492
0.382,0.786,2.0,0.005,7,0.1,ob_only,184,101,83,27.2,15.76,16.56,0.95,1157.59,8,btc,1H,3y,492
0.5,0.786,2.0,0.005,3,0.1,fvg_only,61,61,0,19.7,2.75,2.99,0.92,1027.49,3,btc,1H,3y,1168
0.5,0.786,2.0,0.005,5,0.1,fvg_only,61,61,0,19.7,4.46,4.96,0.9,1044.58,3,btc,1H,3y,1168
0.5,0.786,2.0,0.005,3,0.2,fvg_only,61,61,0,19.7,5.28,5.93,0.89,1052.75,3,btc,1H,3y,1168
0.382,0.786,2.0,0.005,5,0.2,ob_only,184,101,83,27.2,20.43,22.95,0.89,1204.27,8,btc,1H,3y,492
0.5,0.786,2.0,0.005,7,0.1,fvg_only,61,61,0,19.7,6.07,6.9,0.88,1060.67,3,btc,1H,3y,1168
0.5,0.786,1.618,0.002,7,0.2,both,207,120,87,23.2,20.49,23.65,0.87,1204.91,8,btc,1H,3y,492
0.5,0.786,1.618,0.005,3,0.1,ob_only,181,99,82,28.7,4.6,5.33,0.86,1046.05,8,btc,1H,3y,492
0.5,0.786,2.0,0.005,5,0.2,fvg_only,61,61,0,19.7,8.29,9.77,0.85,1082.89,3,btc,1H,3y,1168
0.5,0.786,1.618,0.005,5,0.1,ob_only,181,99,82,28.7,7.21,8.78,0.82,1072.11,8,btc,1H,3y,492
0.5,0.786,2.0,0.005,7,0.2,fvg_only,61,61,0,19.7,10.89,13.52,0.81,1108.9,3,btc,1H,3y,1168
0.5,0.786,1.618,0.005,3,0.2,ob_only,181,99,82,28.7,8.37,10.47,0.8,1083.66,8,btc,1H,3y,492
0.382,0.786,2.0,0.005,7,0.2,ob_only,184,101,83,27.2,24.34,30.86,0.79,1243.39,8,btc,1H,3y,492
0.5,0.786,1.618,0.005,7,0.1,ob_only,181,99,82,28.7,9.42,12.14,0.78,1094.18,8,btc,1H,3y,492
0.382,0.618,2.0,0.005,3,0.1,ob_only,167,96,71,28.7,5.69,8.1,0.7,1056.93,8,btc,1H,3y,492
0.5,0.786,1.618,0.005,5,0.2,ob_only,181,99,82,28.7,11.94,17.29,0.69,1119.37,8,btc,1H,3y,492
0.5,0.786,1.618,0.005,3,0.1,both,193,112,81,27.5,3.94,5.83,0.68,1039.42,8,btc,1H,3y,492
0.382,0.618,2.0,0.005,5,0.1,ob_only,167,96,71,28.7,8.84,13.39,0.66,1088.44,8,btc,1H,3y,492
0.382,0.786,1.272,0.002,3,0.1,ob_only,217,119,98,32.3,4.52,6.94,0.65,1045.22,8,btc,1H,3y,492
0.382,0.618,2.0,0.005,3,0.2,ob_only,167,96,71,28.7,10.21,16.0,0.64,1102.1,8,btc,1H,3y,492
0.5,0.786,1.618,0.005,5,0.1,both,193,112,81,27.5,6.08,9.58,0.63,1060.81,8,btc,1H,3y,492
0.382,0.786,1.272,0.002,5,0.1,ob_only,217,119,98,32.3,7.18,11.44,0.63,1071.84,8,btc,1H,3y,492
0.382,0.786,1.272,0.002,3,0.2,ob_only,217,119,98,32.3,8.4,13.65,0.62,1084.01,8,btc,1H,3y,492
0.382,0.618,2.0,0.005,7,0.1,ob_only,167,96,71,28.7,11.43,18.57,0.62,1114.31,8,btc,1H,3y,492
0.5,0.786,1.618,0.005,3,0.2,both,193,112,81,27.5,7.0,11.41,0.61,1069.97,8,btc,1H,3y,492
0.382,0.786,1.272,0.002,7,0.1,ob_only,217,119,98,32.3,9.54,15.83,0.6,1095.38,8,btc,1H,3y,492
0.5,0.786,1.618,0.005,7,0.1,both,193,112,81,27.5,7.81,13.22,0.59,1078.07,8,btc,1H,3y,492
0.5,0.786,1.618,0.005,7,0.2,ob_only,181,99,82,28.7,13.75,24.04,0.57,1137.55,8,btc,1H,3y,492
0.382,0.786,1.272,0.002,5,0.2,ob_only,217,119,98,32.3,12.45,22.19,0.56,1124.5,8,btc,1H,3y,492
0.382,0.618,2.0,0.002,3,0.1,ob_only,177,101,76,22.6,4.03,7.3,0.55,1040.28,8,btc,1H,3y,492
0.382,0.618,2.0,0.005,5,0.2,ob_only,167,96,71,28.7,14.18,26.08,0.54,1141.85,8,btc,1H,3y,492
0.5,0.786,2.0,0.005,3,0.1,fvg_only,53,53,0,15.1,1.8,3.38,0.53,1017.97,8,btc,1H,3y,492
0.5,0.786,1.618,0.005,5,0.2,both,193,112,81,27.5,9.59,18.47,0.52,1095.89,8,btc,1H,3y,492
0.382,0.786,2.0,0.005,3,0.1,both,201,123,78,24.4,4.85,9.36,0.52,1048.46,8,btc,1H,3y,492
0.5,0.786,2.0,0.005,5,0.1,fvg_only,53,53,0,15.1,2.85,5.57,0.51,1028.46,8,btc,1H,3y,492
0.5,0.786,2.0,0.005,3,0.1,fvg_only,62,62,0,16.1,2.1,4.1,0.51,1021.04,5,btc,1H,3y,756
0.5,0.786,2.0,0.005,5,0.1,fvg_only,62,62,0,16.1,3.35,6.74,0.5,1033.53,5,btc,1H,3y,756
0.382,0.786,1.272,0.002,7,0.2,ob_only,217,119,98,32.3,15.1,30.24,0.5,1151.0,8,btc,1H,3y,492
0.5,0.786,2.0,0.005,3,0.2,fvg_only,53,53,0,15.1,3.33,6.65,0.5,1033.26,8,btc,1H,3y,492
0.382,0.618,2.0,0.002,5,0.1,ob_only,177,101,76,22.6,6.09,12.11,0.5,1060.91,8,btc,1H,3y,492
0.5,0.786,2.0,0.005,7,0.1,fvg_only,53,53,0,15.1,3.78,7.72,0.49,1037.77,8,btc,1H,3y,492
0.5,0.786,2.0,0.005,3,0.2,fvg_only,62,62,0,16.1,3.93,8.03,0.49,1039.32,5,btc,1H,3y,756
0.382,0.786,2.0,0.005,5,0.1,both,201,123,78,24.4,7.36,15.15,0.49,1073.55,8,btc,1H,3y,492
0.382,0.618,2.0,0.002,3,0.2,ob_only,177,101,76,22.6,6.93,14.49,0.48,1069.28,8,btc,1H,3y,492
0.5,0.786,2.0,0.005,7,0.1,fvg_only,62,62,0,16.1,4.48,9.31,0.48,1044.8,5,btc,1H,3y,756
0.382,0.786,2.0,0.005,3,0.2,both,201,123,78,24.4,8.38,17.92,0.47,1083.81,8,btc,1H,3y,492
0.5,0.786,2.0,0.005,5,0.2,fvg_only,62,62,0,16.1,5.94,13.05,0.46,1059.39,5,btc,1H,3y,756
0.5,0.786,2.0,0.005,5,0.2,fvg_only,53,53,0,15.1,4.95,10.86,0.46,1049.53,8,btc,1H,3y,492
0.382,0.618,2.0,0.002,7,0.1,ob_only,177,101,76,22.6,7.63,16.84,0.45,1076.32,8,btc,1H,3y,492
0.382,0.786,2.0,0.005,7,0.1,both,201,123,78,24.4,9.25,20.61,0.45,1092.49,8,btc,1H,3y,492
