adx_thresh,sl_mult,leverage,pos_ratio,trades,trades_per_yr,long_trades,short_trades,win_rate,long_win_rate,short_win_rate,return_pct,max_drawdown,calmar,macd_fast,macd_slow,macd_sig
20,0.0,2,1.0,22,5.5,11,11,40.9,36.4,45.5,-100.0,101.01,-0.99,12,26,9
25,3.0,5,0.5,44,11.0,21,23,27.3,23.8,30.4,-100.0,100.0,-1.0,12,26,9
25,3.0,3,1.0,33,8.2,15,18,30.3,33.3,27.8,-100.0,100.02,-1.0,12,26,9
25,2.0,5,1.0,7,1.8,4,3,42.9,25.0,66.7,-100.0,101.01,-0.99,12,26,9
25,0.0,5,0.5,10,2.5,5,5,50.0,40.0,60.0,-100.0,101.19,-0.99,12,26,9
20,0.0,3,1.0,10,2.5,5,5,50.0,40.0,60.0,-100.0,107.37,-0.93,12,26,9
25,0.0,5,0.3,28,7.0,14,14,35.7,35.7,35.7,-100.0,167.87,-0.6,12,26,9
20,2.0,5,1.0,62,15.5,30,32,33.9,26.7,40.6,-100.0,100.0,-1.0,8,21,9
25,3.0,5,1.0,6,1.5,3,3,50.0,33.3,66.7,-100.0,140.5,-0.71,12,26,9
20,3.0,5,1.0,51,12.8,24,27,41.2,33.3,48.1,-100.0,100.0,-1.0,8,26,9
20,0.0,5,0.5,65,16.2,33,32,35.4,24.2,46.9,-100.0,100.0,-1.0,8,21,9
20,0.0,5,1.0,7,1.8,4,3,57.1,25.0,100.0,-100.0,117.51,-0.85,8,21,9
25,0.0,3,0.5,38,9.5,19,19,36.8,26.3,47.4,-100.0,458.11,-0.22,8,21,9
25,0.0,3,1.0,38,9.5,19,19,36.8,26.3,47.4,-100.0,304.08,-0.33,8,21,9
25,0.0,5,0.3,38,9.5,19,19,36.8,26.3,47.4,-100.0,458.11,-0.22,8,21,9
25,0.0,5,0.5,38,9.5,19,19,36.8,26.3,47.4,-100.0,438.18,-0.23,8,21,9
25,0.0,5,1.0,26,6.5,13,13,38.5,23.1,53.8,-100.0,117.51,-0.85,8,21,9
25,0.0,5,1.0,10,2.5,5,5,60.0,40.0,80.0,-100.0,116.53,-0.86,8,26,9
25,0.0,5,0.5,32,8.0,16,16,40.6,31.2,50.0,-100.0,105.37,-0.95,8,26,9
25,0.0,5,0.3,32,8.0,16,16,40.6,31.2,50.0,-100.0,279.52,-0.36,8,26,9
25,0.0,3,1.0,10,2.5,5,5,60.0,40.0,80.0,-100.0,114.07,-0.88,8,26,9
25,0.0,3,0.5,32,8.0,16,16,40.6,31.2,50.0,-100.0,279.52,-0.36,8,26,9
25,0.0,3,0.3,32,8.0,16,16,40.6,31.2,50.0,-100.0,260.47,-0.38,8,26,9
25,0.0,2,1.0,32,8.0,16,16,40.6,31.2,50.0,-100.0,204.73,-0.49,8,26,9
25,0.0,2,0.5,32,8.0,16,16,40.6,31.2,50.0,-100.0,273.74,-0.37,8,26,9
25,0.0,2,0.3,32,8.0,16,16,40.6,31.2,50.0,-100.0,197.25,-0.51,8,26,9
25,3.0,5,1.0,20,5.0,9,11,45.0,33.3,54.5,-100.0,100.02,-1.0,8,26,9
25,3.0,3,1.0,37,9.2,17,20,37.8,29.4,45.0,-100.0,100.42,-1.0,8,26,9
25,2.0,5,1.0,37,9.2,17,20,32.4,29.4,35.0,-100.0,100.0,-1.0,8,26,9
20,2.0,5,1.0,56,14.0,27,29,35.7,29.6,41.4,-100.0,100.0,-1.0,8,26,9
20,0.0,5,1.0,7,1.8,4,3,57.1,25.0,100.0,-100.0,280.57,-0.36,8,26,9
20,0.0,5,0.5,7,1.8,4,3,57.1,25.0,100.0,-100.0,140.29,-0.71,8,26,9
20,0.0,3,1.0,7,1.8,4,3,57.1,25.0,100.0,-100.0,168.34,-0.59,8,26,9
20,2.0,5,1.0,8,2.0,4,4,50.0,25.0,75.0,-100.0,115.95,-0.86,12,21,9
25,0.0,3,0.3,38,9.5,19,19,36.8,26.3,47.4,-100.0,316.3,-0.32,8,21,9
25,0.0,2,1.0,38,9.5,19,19,36.8,26.3,47.4,-100.0,491.85,-0.2,8,21,9
25,3.0,5,1.0,7,1.8,4,3,57.1,25.0,100.0,-100.0,120.47,-0.83,12,21,9
25,0.0,5,1.0,7,1.8,4,3,57.1,25.0,100.0,-100.0,120.47,-0.83,12,21,9
25,0.0,5,0.5,30,7.5,15,15,36.7,33.3,40.0,-100.0,101.1,-0.99,12,21,9
25,0.0,5,0.3,30,7.5,15,15,36.7,33.3,40.0,-100.0,190.6,-0.52,12,21,9
25,0.0,3,1.0,10,2.5,5,5,50.0,40.0,60.0,-100.0,105.88,-0.94,12,21,9
25,0.0,3,0.5,30,7.5,15,15,36.7,33.3,40.0,-100.0,190.6,-0.52,12,21,9
25,0.0,3,0.3,30,7.5,15,15,36.7,33.3,40.0,-100.0,210.09,-0.48,12,21,9
25,0.0,2,1.0,30,7.5,15,15,36.7,33.3,40.0,-100.0,137.51,-0.73,12,21,9
25,0.0,2,0.5,30,7.5,15,15,36.7,33.3,40.0,-100.0,213.78,-0.47,12,21,9
25,0.0,2,0.3,30,7.5,15,15,36.7,33.3,40.0,-100.0,176.34,-0.57,12,21,9
25,3.0,3,1.0,35,8.8,16,19,34.3,31.2,36.8,-100.0,100.14,-1.0,12,21,9
25,0.0,2,0.5,38,9.5,19,19,36.8,26.3,47.4,-100.0,346.13,-0.29,8,21,9
20,0.0,2,1.0,7,1.8,4,3,57.1,25.0,100.0,-100.0,112.23,-0.89,8,26,9
25,2.0,5,1.0,7,1.8,4,3,42.9,25.0,66.7,-100.0,104.58,-0.96,12,21,9
25,2.0,5,1.0,42,10.5,20,22,31.0,25.0,36.4,-100.0,100.07,-1.0,8,21,9
20,0.0,5,1.0,7,1.8,4,3,57.1,25.0,100.0,-100.0,120.47,-0.83,12,21,9
20,0.0,3,1.0,10,2.5,5,5,50.0,40.0,60.0,-100.0,105.88,-0.94,12,21,9
25,3.0,3,1.0,42,10.5,20,22,35.7,25.0,45.5,-100.0,101.3,-0.99,8,21,9
20,3.0,5,1.0,7,1.8,4,3,57.1,25.0,100.0,-100.0,120.47,-0.83,12,21,9
25,3.0,5,1.0,27,6.8,13,14,37.0,23.1,50.0,-100.0,100.59,-0.99,8,21,9
25,0.0,2,0.3,38,9.5,19,19,36.8,26.3,47.4,-100.0,215.38,-0.46,8,21,9
25,0.0,5,1.0,7,1.8,4,3,57.1,25.0,100.0,-100.0,124.41,-0.8,12,26,9
