rsi_thresh,vol_mult,sl_atr_mult,tp_mode,leverage,pos_ratio,use_ema200,trades,win_rate,return_pct,max_drawdown,calmar,timeframe
25,1.2,1.0,atr_3x,3,0.3,True,6,33.3,3.15,1.08,2.91,1h
25,1.5,1.0,atr_3x,3,0.3,True,6,33.3,3.15,1.08,2.91,1h
35,2.0,1.0,atr_3x,5,0.1,True,64,28.1,3.11,4.49,0.69,1h
25,1.2,1.0,atr_2x,7,0.3,True,6,33.3,3.1,2.52,1.23,1h
25,1.5,1.0,atr_2x,7,0.3,True,6,33.3,3.1,2.52,1.23,1h
25,2.0,1.0,atr_2x,7,0.3,True,6,33.3,3.1,2.52,1.23,1h
25,2.0,2.0,atr_3x,3,0.3,True,6,50.0,3.04,1.98,1.53,1h
25,1.2,2.0,atr_3x,3,0.3,True,6,50.0,3.04,1.98,1.53,1h
35,1.2,1.0,atr_3x,5,0.1,True,88,27.3,3.04,4.31,0.71,1h
25,1.5,2.0,atr_3x,3,0.3,True,6,50.0,3.04,1.98,1.53,1h
25,1.2,2.0,bb_mid,7,0.2,True,6,50.0,3.02,3.07,0.98,1h
25,1.5,2.0,bb_mid,7,0.2,True,6,50.0,3.02,3.07,0.98,1h
35,2.0,1.0,atr_2x,5,0.2,True,65,36.9,3.02,7.44,0.41,1h
25,2.0,2.0,bb_mid,7,0.2,True,6,50.0,3.02,3.07,0.98,1h
35,2.0,1.5,atr_3x,5,0.3,True,64,32.8,2.98,18.24,0.16,1h
35,2.0,1.5,atr_3x,7,0.2,True,64,32.8,2.94,17.12,0.17,1h
35,2.0,1.5,atr_3x,7,0.3,True,64,32.8,2.78,24.67,0.11,1h
35,2.0,1.0,atr_2x,3,0.3,True,65,36.9,2.76,6.71,0.41,1h
25,1.5,1.0,bb_mid,5,0.2,True,6,33.3,2.66,1.2,2.22,1h
25,1.2,1.0,bb_mid,5,0.2,True,6,33.3,2.66,1.2,2.22,1h
25,2.0,1.0,bb_mid,5,0.2,True,6,33.3,2.66,1.2,2.22,1h
25,2.0,1.5,bb_mid,5,0.3,True,6,33.3,2.55,2.55,1.0,1h
25,1.2,1.5,atr_3x,5,0.2,True,6,33.3,2.55,1.7,1.5,1h
35,2.0,1.5,atr_3x,5,0.2,True,64,32.8,2.55,12.52,0.2,1h
25,1.2,1.5,bb_mid,5,0.3,True,6,33.3,2.55,2.55,1.0,1h
25,1.5,1.5,bb_mid,5,0.3,True,6,33.3,2.55,2.55,1.0,1h
25,1.5,1.5,atr_3x,5,0.2,True,6,33.3,2.55,1.7,1.5,1h
25,2.0,1.5,atr_3x,5,0.2,True,6,33.3,2.55,1.7,1.5,1h
25,2.0,1.0,atr_3x,7,0.1,True,6,33.3,2.45,0.84,2.91,1h
25,1.5,1.0,atr_3x,7,0.1,True,6,33.3,2.45,0.84,2.91,1h
25,1.2,1.0,atr_3x,7,0.1,True,6,33.3,2.45,0.84,2.91,1h
25,2.0,1.0,bb_mid,3,0.3,True,6,33.3,2.4,1.08,2.22,1h
25,1.2,1.0,bb_mid,3,0.3,True,6,33.3,2.4,1.08,2.22,1h
25,1.5,1.0,bb_mid,3,0.3,True,6,33.3,2.4,1.08,2.22,1h
35,2.0,1.5,atr_3x,3,0.3,True,64,32.8,2.39,11.33,0.21,1h
25,1.2,1.5,bb_mid,7,0.2,True,6,33.3,2.39,2.38,1.0,1h
25,2.0,1.5,bb_mid,7,0.2,True,6,33.3,2.39,2.38,1.0,1h
25,1.5,1.5,bb_mid,7,0.2,True,6,33.3,2.39,2.38,1.0,1h
25,1.2,2.0,atr_3x,7,0.1,True,6,50.0,2.37,1.54,1.54,1h
25,2.0,2.0,atr_3x,7,0.1,True,6,50.0,2.37,1.54,1.54,1h
25,1.5,2.0,atr_3x,7,0.1,True,6,50.0,2.37,1.54,1.54,1h
25,1.5,1.5,atr_3x,3,0.3,True,6,33.3,2.31,1.53,1.5,1h
25,1.2,1.5,atr_3x,3,0.3,True,6,33.3,2.31,1.53,1.5,1h
25,2.0,1.5,atr_3x,3,0.3,True,6,33.3,2.31,1.53,1.5,1h
25,2.0,1.0,atr_2x,5,0.3,True,6,33.3,2.25,1.8,1.25,1h
25,1.2,1.0,atr_2x,5,0.3,True,6,33.3,2.25,1.8,1.25,1h
25,1.5,1.0,atr_2x,5,0.3,True,6,33.3,2.25,1.8,1.25,1h
35,2.0,1.0,atr_2x,7,0.1,True,65,36.9,2.22,5.25,0.42,1h
25,2.0,2.0,bb_mid,5,0.2,True,6,50.0,2.18,2.2,0.99,1h
