fast_ema,slow_ema,tp_pct,sl_capital,sl_price_pct,leverage,pos_ratio,trades,win_rate,return_pct,max_drawdown,calmar,timeframe
5,26,3.0,3.0,1.0,3,0.1,4012,25.1,-58.57,60.74,-0.96,15m
5,50,5.0,3.0,0.6,5,0.1,2800,17.9,-58.78,60.94,-0.96,15m
12,21,2.0,1.0,0.3333,3,0.1,2904,15.4,-58.93,59.77,-0.99,15m
9,26,2.0,2.0,0.6667,3,0.1,2997,25.0,-59.19,59.6,-0.99,15m
5,26,5.0,2.0,0.6667,3,0.1,4012,20.8,-59.36,59.63,-1.0,15m
9,26,2.0,3.0,1.0,3,0.1,2997,29.6,-59.58,59.98,-0.99,15m
9,21,3.0,2.0,0.6667,3,0.1,3374,21.8,-59.69,59.86,-1.0,15m
12,50,2.0,2.0,0.4,5,0.1,1803,16.9,-59.87,60.39,-0.99,15m
9,50,3.0,2.0,0.6667,3,0.2,2057,20.4,-60.0,60.69,-0.99,15m
12,50,3.0,1.0,0.2,5,0.1,1803,6.9,-60.19,60.37,-1.0,15m
12,50,5.0,1.0,0.1429,7,0.1,1803,4.8,-60.31,61.48,-0.98,15m
12,50,2.0,3.0,0.6,5,0.1,1803,22.8,-60.52,60.89,-0.99,15m
12,50,2.0,3.0,1.0,3,0.2,1803,30.8,-60.72,63.63,-0.95,15m
9,50,5.0,2.0,0.4,5,0.1,2057,11.6,-61.03,61.34,-1.0,15m
9,50,2.0,3.0,0.6,5,0.1,2057,23.1,-61.13,61.87,-0.99,15m
9,50,3.0,2.0,0.4,5,0.1,2057,13.6,-61.48,62.03,-0.99,15m
5,50,2.0,1.0,0.3333,3,0.1,2800,14.3,-61.56,62.11,-0.99,15m
9,26,2.0,1.0,0.3333,3,0.1,2997,15.0,-62.18,62.52,-0.99,15m
9,21,3.0,1.0,0.3333,3,0.1,3374,13.6,-62.36,62.39,-1.0,15m
9,21,2.0,3.0,1.0,3,0.1,3374,29.6,-62.52,62.69,-1.0,15m
9,50,5.0,2.0,0.6667,3,0.2,2057,17.4,-62.58,62.93,-0.99,15m
12,50,3.0,2.0,0.6667,3,0.2,1803,19.9,-62.83,63.46,-0.99,15m
12,50,5.0,2.0,0.6667,3,0.2,1803,17.2,-62.96,63.29,-0.99,15m
12,50,2.0,1.0,0.2,5,0.1,1803,8.7,-63.22,63.72,-0.99,15m
12,50,5.0,1.0,0.3333,3,0.2,1803,9.5,-63.44,64.28,-0.99,15m
5,26,3.0,2.0,0.6667,3,0.1,4012,21.8,-63.81,64.77,-0.99,15m
9,21,2.0,1.0,0.3333,3,0.1,3374,15.9,-64.42,64.58,-1.0,15m
12,26,5.0,2.0,0.4,5,0.1,2586,14.4,-64.58,64.58,-1.0,15m
5,50,5.0,2.0,0.4,5,0.1,2800,13.7,-64.96,66.67,-0.97,15m
9,21,2.0,2.0,0.6667,3,0.1,3374,25.0,-65.23,65.39,-1.0,15m
5,21,5.0,3.0,1.0,3,0.1,4539,24.5,-65.7,67.17,-0.98,15m
9,50,3.0,1.0,0.2,5,0.1,2057,7.0,-65.73,65.73,-1.0,15m
5,26,2.0,3.0,1.0,3,0.1,4012,28.5,-65.86,67.43,-0.98,15m
12,26,3.0,3.0,1.0,3,0.2,2586,26.6,-65.92,66.81,-0.99,15m
12,50,3.0,1.0,0.1429,7,0.1,1803,5.5,-65.97,65.97,-1.0,15m
9,50,5.0,1.0,0.2,5,0.1,2057,6.1,-66.01,66.11,-1.0,15m
