rsi_thresh,vol_mult,sl_atr_mult,tp_mode,leverage,pos_ratio,use_ema200,trades,win_rate,return_pct,max_drawdown,calmar,timeframe
25,2.0,1.0,bb_mid,5,0.2,False,134,30.6,-41.11,41.11,-1.0,1h
35,1.5,2.0,atr_3x,3,0.1,False,490,38.4,-41.13,49.03,-0.84,1h
30,2.0,1.0,atr_3x,3,0.1,False,259,18.5,-41.25,42.51,-0.97,1h
25,2.0,1.0,atr_3x,7,0.1,False,132,22.0,-41.3,41.56,-0.99,1h
35,1.2,1.0,bb_mid,7,0.3,True,77,33.8,-41.41,52.51,-0.79,1h
25,1.2,1.5,bb_mid,7,0.1,False,158,41.1,-41.43,43.69,-0.95,1h
35,2.0,2.0,atr_3x,3,0.1,False,386,38.1,-41.45,43.07,-0.96,1h
30,1.2,2.0,atr_2x,5,0.1,False,321,45.8,-41.77,45.28,-0.92,1h
30,1.5,2.0,atr_2x,3,0.2,False,297,45.5,-41.81,45.65,-0.92,1h
25,1.5,2.0,atr_3x,3,0.2,False,145,36.6,-41.84,43.0,-0.97,1h
25,2.0,1.5,atr_3x,5,0.1,False,125,29.6,-41.85,43.99,-0.95,1h
25,1.5,1.0,bb_mid,3,0.3,False,167,31.1,-41.91,44.76,-0.94,1h
35,1.5,1.5,atr_2x,3,0.1,False,555,38.4,-41.92,46.16,-0.91,1h
25,2.0,2.0,atr_3x,7,0.1,False,121,37.2,-41.99,43.07,-0.97,1h
25,1.5,1.0,atr_3x,7,0.1,False,165,22.4,-42.2,43.54,-0.97,1h
30,1.5,1.5,atr_2x,5,0.1,False,314,37.6,-42.37,46.17,-0.92,1h
35,2.0,1.0,bb_mid,3,0.1,False,464,32.3,-42.44,42.86,-0.99,1h
25,1.5,2.0,bb_mid,5,0.2,False,151,51.7,-42.53,55.9,-0.76,1h
35,1.5,2.0,atr_2x,3,0.1,False,512,44.7,-42.81,45.58,-0.94,1h
30,1.5,1.0,atr_2x,3,0.2,False,341,28.7,-42.86,48.64,-0.88,1h
35,1.5,1.0,bb_mid,7,0.3,True,63,31.7,-42.96,48.19,-0.89,1h
25,1.5,1.5,bb_mid,3,0.2,False,152,39.5,-42.98,44.86,-0.96,1h
25,1.5,1.5,atr_2x,3,0.2,False,149,36.2,-43.24,44.71,-0.97,1h
25,1.2,2.0,atr_2x,7,0.1,False,151,44.4,-43.32,45.02,-0.96,1h
35,1.2,1.0,atr_2x,3,0.1,False,673,28.7,-43.5,44.86,-0.97,1h
25,1.2,1.0,atr_2x,7,0.2,False,176,33.0,-43.57,49.47,-0.88,1h
30,1.2,1.5,atr_2x,3,0.2,False,342,38.9,-43.97,49.87,-0.88,1h
25,1.5,1.5,atr_3x,5,0.1,False,148,29.7,-44.16,45.09,-0.98,1h
35,1.5,1.0,bb_mid,3,0.1,False,620,33.9,-44.17,45.77,-0.96,1h
30,2.0,1.5,atr_2x,5,0.1,False,247,37.2,-44.23,47.34,-0.93,1h
35,1.5,1.5,atr_3x,3,0.1,False,534,31.8,-44.26,50.86,-0.87,1h
25,1.2,1.5,atr_3x,3,0.2,False,154,31.2,-44.42,45.53,-0.98,1h
35,2.0,1.0,atr_3x,3,0.1,False,441,21.5,-44.59,46.32,-0.96,1h
25,2.0,1.5,bb_mid,7,0.1,False,128,38.3,-44.77,46.47,-0.96,1h
35,1.5,1.5,bb_mid,3,0.1,False,572,46.2,-44.79,47.51,-0.94,1h
30,1.2,1.5,atr_3x,5,0.1,False,332,31.0,-44.85,53.15,-0.84,1h
35,2.0,1.5,atr_3x,3,0.1,False,413,30.8,-45.08,48.19,-0.94,1h
30,1.2,1.0,atr_3x,3,0.2,False,367,23.7,-45.09,46.45,-0.97,1h
25,1.2,2.0,bb_mid,3,0.3,False,155,51.6,-45.19,57.16,-0.79,1h
35,1.2,2.0,bb_mid,3,0.1,False,597,55.8,-45.26,47.85,-0.95,1h
30,2.0,1.0,atr_2x,5,0.1,False,262,26.3,-45.36,45.38,-1.0,1h
35,1.2,2.0,atr_2x,3,0.1,False,560,45.2,-45.39,46.62,-0.97,1h
35,2.0,1.0,atr_3x,7,0.3,True,43,23.3,-45.45,50.02,-0.91,1h
35,1.5,1.0,atr_3x,7,0.3,True,63,23.8,-45.45,52.72,-0.86,1h
30,1.2,2.0,atr_3x,5,0.1,False,313,38.3,-45.62,49.75,-0.92,1h
30,1.5,1.0,bb_mid,5,0.1,False,343,32.4,-45.66,46.94,-0.97,1h
25,1.5,1.0,bb_mid,5,0.2,False,167,31.1,-45.73,48.68,-0.94,1h
35,2.0,2.0,bb_mid,3,0.1,False,424,53.1,-45.73,45.73,-1.0,1h
30,2.0,2.0,atr_3x,5,0.1,False,230,37.0,-45.88,52.27,-0.88,1h
25,2.0,1.5,atr_2x,3,0.3,False,126,38.1,-46.11,49.32,-0.93,1h
30,1.2,1.0,bb_mid,5,0.1,False,377,33.7,-46.17,48.08,-0.96,1h
25,1.2,1.0,atr_2x,5,0.3,False,176,33.0,-46.47,52.36,-0.89,1h
35,1.2,1.0,atr_3x,7,0.3,True,76,23.7,-46.71,64.78,-0.72,1h
35,1.2,1.0,bb_mid,3,0.1,False,685,34.6,-46.75,48.67,-0.96,1h
25,1.2,1.0,atr_3x,3,0.3,False,175,24.0,-46.8,48.37,-0.97,1h
35,1.5,2.0,bb_mid,3,0.1,False,539,53.8,-46.89,48.55,-0.97,1h
30,1.5,2.0,atr_3x,3,0.2,False,290,38.3,-47.15,53.83,-0.88,1h
25,1.2,2.0,atr_3x,3,0.2,False,149,36.2,-47.27,48.33,-0.98,1h
30,1.5,2.0,bb_mid,3,0.2,False,305,54.8,-47.41,51.45,-0.92,1h
25,1.5,2.0,atr_3x,7,0.1,False,145,36.6,-47.56,48.78,-0.98,1h
30,1.2,2.0,bb_mid,5,0.1,False,331,54.7,-47.67,51.66,-0.92,1h
25,1.5,2.0,atr_2x,3,0.3,False,147,44.2,-47.7,49.7,-0.96,1h
30,1.5,2.0,atr_2x,7,0.1,False,297,45.5,-47.82,51.8,-0.92,1h
25,2.0,1.5,atr_3x,3,0.2,False,125,29.6,-48.15,50.41,-0.96,1h
35,1.2,2.0,atr_3x,3,0.1,False,533,37.7,-48.3,51.66,-0.93,1h
30,1.5,1.0,atr_2x,7,0.1,False,341,28.7,-48.47,54.33,-0.89,1h
25,1.5,1.5,bb_mid,7,0.1,False,152,39.5,-48.48,50.46,-0.96,1h
